cm,K,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,cm,kW/m2,kW/m2,kW/m2,kW/m2,cm,kW/m2,kW/m2
z,T_CL,X_O2,X_CO2,X_FUEL,X_H2O,X_N2,r_rad1,HF-Rad_fraction,radHF-Rad_fraction,HF-WSGGM,radHF-WSGGM,r_rad2,HF_hori-Rad_fraction,HF_hori-WSGGM
5.30E+01,646.4130683,1.73E-01,2.03E-02,4.14E-05,4.06E-02,7.66E-01,,,,,,,,
5.40E+01,637.1644306,1.74E-01,1.97E-02,3.34E-05,3.94E-02,7.67E-01,,,,,,,,
5.50E+01,628.3004675,1.75E-01,1.92E-02,2.71E-05,3.83E-02,7.67E-01,,,,,,,,
5.60E+01,619.5365383,1.76E-01,1.86E-02,2.18E-05,3.73E-02,7.68E-01,,,,,,,,
5.70E+01,610.8184658,1.77E-01,1.81E-02,1.74E-05,3.62E-02,7.68E-01,,,,,,,,
5.80E+01,602.6646476,1.78E-01,1.76E-02,1.38E-05,3.53E-02,7.69E-01,,,,,,,,
5.90E+01,595.1563165,1.79E-01,1.72E-02,1.10E-05,3.44E-02,7.69E-01,,,,,,,,
6.00E+01,587.5400964,1.80E-01,1.68E-02,8.69E-06,3.35E-02,7.70E-01,,,,,,,,
6.10E+01,578.15061,1.81E-01,1.63E-02,7.72E-06,3.25E-02,7.71E-01,,,,,,,,
6.20E+01,570.1837849,1.81E-01,1.58E-02,6.89E-06,3.16E-02,7.71E-01,,,,,,,,
6.30E+01,563.8363025,1.82E-01,1.55E-02,5.93E-06,3.09E-02,7.72E-01,,,,,,,,
6.40E+01,557.8780987,1.83E-01,1.51E-02,5.08E-06,3.02E-02,7.72E-01,,,,,,,,
6.50E+01,552.1515604,1.83E-01,1.48E-02,4.31E-06,2.96E-02,7.72E-01,,,,,,,,
6.60E+01,546.6023557,1.84E-01,1.45E-02,3.60E-06,2.89E-02,7.73E-01,,,,,,,,
6.70E+01,541.2836,1.84E-01,1.42E-02,2.98E-06,2.83E-02,7.73E-01,,,,,,,,
6.80E+01,536.1300361,1.85E-01,1.38E-02,2.42E-06,2.77E-02,7.73E-01,,,,,,,,
6.90E+01,531.1641397,1.85E-01,1.36E-02,1.93E-06,2.71E-02,7.74E-01,,,,,,,,
7.00E+01,526.3433456,1.86E-01,1.33E-02,1.52E-06,2.66E-02,7.74E-01,,,,,,,,
7.10E+01,521.6155486,1.87E-01,1.30E-02,1.18E-06,2.60E-02,7.74E-01,,,,,,,,
7.20E+01,516.9985338,1.87E-01,1.27E-02,9.07E-07,2.55E-02,7.75E-01,,,,,,,,
7.30E+01,512.5299954,1.87E-01,1.25E-02,6.92E-07,2.50E-02,7.75E-01,,,,,,,,
7.40E+01,508.1838001,1.88E-01,1.22E-02,5.24E-07,2.45E-02,7.75E-01,,,,,,,,
7.50E+01,503.9881595,1.88E-01,1.20E-02,3.96E-07,2.40E-02,7.76E-01,,,,,,,,
7.60E+01,500.036871,1.89E-01,1.18E-02,3.04E-07,2.35E-02,7.76E-01,,,,,,,,
7.70E+01,496.2591105,1.89E-01,1.16E-02,2.35E-07,2.31E-02,7.76E-01,,,,,,,,
7.80E+01,492.6786791,1.90E-01,1.13E-02,1.84E-07,2.27E-02,7.76E-01,,,,,,,,
7.90E+01,489.2283529,1.90E-01,1.12E-02,1.44E-07,2.23E-02,7.77E-01,,,,,,,,
8.00E+01,485.8743814,1.90E-01,1.10E-02,1.14E-07,2.19E-02,7.77E-01,,,,,,,,
8.10E+01,482.6349863,1.91E-01,1.08E-02,9.12E-08,2.15E-02,7.77E-01,,,,,,,,
8.20E+01,479.5265707,1.91E-01,1.06E-02,7.35E-08,2.12E-02,7.77E-01,,,,,,,,
8.30E+01,476.5592587,1.91E-01,1.04E-02,5.99E-08,2.08E-02,7.78E-01,,,,,,,,
8.40E+01,473.6890286,1.91E-01,1.03E-02,4.87E-08,2.05E-02,7.78E-01,,,,,,,,
8.50E+01,470.8864191,1.92E-01,1.01E-02,3.96E-08,2.02E-02,7.78E-01,,,,,,,,
8.60E+01,468.1180838,1.92E-01,9.94E-03,3.21E-08,1.99E-02,7.78E-01,,,,,,,,
8.70E+01,465.2906863,1.92E-01,9.78E-03,2.59E-08,1.96E-02,7.78E-01,,,,,,,,
8.80E+01,462.4496914,1.93E-01,9.62E-03,2.07E-08,1.92E-02,7.78E-01,,,,,,,,
8.90E+01,460.0467471,1.93E-01,9.48E-03,1.74E-08,1.90E-02,7.79E-01,,,,,,,,
9.00E+01,455.7419909,1.93E-01,9.26E-03,1.38E-08,1.85E-02,7.79E-01,,,,,,,,
9.10E+01,452.845446,1.94E-01,8.98E-03,1.08E-08,1.80E-02,7.79E-01,,,,,,,,
9.20E+01,450.2537931,1.94E-01,8.88E-03,9.53E-09,1.78E-02,7.79E-01,,,,,,,,
9.30E+01,447.778632,1.94E-01,8.76E-03,8.42E-09,1.75E-02,7.80E-01,,,,,,,,
9.40E+01,445.4479742,1.95E-01,8.57E-03,6.88E-09,1.71E-02,7.80E-01,,,,,,,,
9.50E+01,443.1179981,1.95E-01,8.56E-03,6.51E-09,1.71E-02,7.80E-01,,,,,,,,
9.60E+01,440.7995344,1.95E-01,8.31E-03,5.18E-09,1.66E-02,7.80E-01,,,,,,,,
9.70E+01,438.4810706,1.95E-01,8.27E-03,4.80E-09,1.65E-02,7.80E-01,,,,,,,,
9.80E+01,436.2971736,1.95E-01,8.13E-03,4.12E-09,1.63E-02,7.80E-01,,,,,,,,
9.90E+01,434.1848886,1.96E-01,8.00E-03,3.54E-09,1.60E-02,7.80E-01,,,,,,,,
1.00E+02,432.131878,1.96E-01,7.94E-03,3.26E-09,1.59E-02,7.80E-01,,,,,,,,
