r(cm),T_mean(K),T_rms(K),fv_mean(ppm),fv_rms(ppm)
-9.4,458.18,225.12,0.041216,0.12372
-9.2,464.07,229.28,0.042525,0.12833
-9,469.96,233.43,0.043829,0.13293
-8.8,475.86,237.58,0.045132,0.13752
-8.6,482.04,242.29,0.046532,0.14308
-8.4,488.3,247.18,0.047958,0.14889
-8.2,494.57,252.07,0.049384,0.1547
-8,501.17,257.53,0.051117,0.16168
-7.8,507.85,263.13,0.052923,0.16896
-7.6,514.53,268.73,0.054728,0.17623
-7.4,522.25,275.25,0.057221,0.18662
-7.2,529.98,281.77,0.059721,0.19703
-7,537.18,287.53,0.062527,0.20901
-6.8,544.24,293.03,0.06548,0.22168
-6.6,551.17,298.08,0.068705,0.23543
-6.4,557.96,302.41,0.071985,0.24936
-6.2,564.72,306.58,0.075225,0.2626
-6,571.91,310.68,0.078219,0.27432
-5.8,579.22,314.8,0.081072,0.28576
-5.6,587.06,318.89,0.084425,0.29772
-5.4,595.44,323.12,0.088365,0.31193
-5.2,604.11,327.48,0.092546,0.32648
-5,613.76,331.78,0.097901,0.34341
-4.8,623.73,336.21,0.10339,0.36067
-4.6,635.19,341,0.10941,0.37825
-4.4,647.49,345.96,0.11584,0.39611
-4.2,661.04,351.13,0.12298,0.41514
-4,676.18,356.76,0.1311,0.43601
-3.8,692.25,361.98,0.14012,0.45812
-3.6,712.69,368.17,0.15187,0.48462
-3.4,734.04,373.85,0.16529,0.51377
-3.2,755.07,378.42,0.18028,0.54436
-3,776.9,382.95,0.19738,0.57869
-2.8,798.72,387.13,0.21527,0.61272
-2.6,820.7,390.43,0.23465,0.64689
-2.4,843.3,392.77,0.25622,0.68366
-2.2,866.36,394.58,0.28044,0.72297
-2,889.95,396.01,0.30899,0.76663
-1.8,913.93,396.94,0.34517,0.81571
-1.6,937.7,397.48,0.38794,0.86936
-1.4,960.86,396.79,0.44181,0.93143
-1.2,982.65,395.09,0.50135,0.99105
-1,1002.1,391.96,0.56435,1.0455
-0.8,1017.9,387.13,0.62603,1.0858
-0.6,1030.8,381.64,0.68055,1.1134
-0.4,1040.3,375.99,0.72106,1.1237
-0.2,1045.8,372.23,0.7422,1.1247
-0,1050.1,369.03,0.75678,1.1224
0,1050.1,369.03,0.75678,1.1224
0.2,1045.8,372.23,0.7422,1.1247
0.4,1040.3,375.99,0.72106,1.1237
0.6,1030.8,381.64,0.68055,1.1134
0.8,1017.9,387.13,0.62603,1.0858
1,1002.1,391.96,0.56435,1.0455
1.2,982.65,395.09,0.50135,0.99105
1.4,960.86,396.79,0.44181,0.93143
1.6,937.7,397.48,0.38794,0.86936
1.8,913.93,396.94,0.34517,0.81571
2,889.95,396.01,0.30899,0.76663
2.2,866.36,394.58,0.28044,0.72297
2.4,843.3,392.77,0.25622,0.68366
2.6,820.7,390.43,0.23465,0.64689
2.8,798.72,387.13,0.21527,0.61272
3,776.9,382.95,0.19738,0.57869
3.2,755.07,378.42,0.18028,0.54436
3.4,734.04,373.85,0.16529,0.51377
3.6,712.69,368.17,0.15187,0.48462
3.8,692.25,361.98,0.14012,0.45812
4,676.18,356.76,0.1311,0.43601
4.2,661.04,351.13,0.12298,0.41514
4.4,647.49,345.96,0.11584,0.39611
4.6,635.19,341,0.10941,0.37825
4.8,623.73,336.21,0.10339,0.36067
5,613.76,331.78,0.097901,0.34341
5.2,604.11,327.48,0.092546,0.32648
5.4,595.44,323.12,0.088365,0.31193
5.6,587.06,318.89,0.084425,0.29772
5.8,579.22,314.8,0.081072,0.28576
6,571.91,310.68,0.078219,0.27432
6.2,564.72,306.58,0.075225,0.2626
6.4,557.96,302.41,0.071985,0.24936
6.6,551.17,298.08,0.068705,0.23543
6.8,544.24,293.03,0.06548,0.22168
7,537.18,287.53,0.062527,0.20901
7.2,529.98,281.77,0.059721,0.19703
7.4,522.25,275.25,0.057221,0.18662
7.6,514.53,268.73,0.054728,0.17623
7.8,507.85,263.13,0.052923,0.16896
8,501.17,257.53,0.051117,0.16168
8.2,494.57,252.07,0.049384,0.1547
8.4,488.3,247.18,0.047958,0.14889
8.6,482.04,242.29,0.046532,0.14308
8.8,475.86,237.58,0.045132,0.13752
9,469.96,233.43,0.043829,0.13293
9.2,464.07,229.28,0.042525,0.12833
9.4,458.18,225.12,0.041216,0.12372
9.6,452.31,220.91,0.03986,0.11907
9.8,446.44,216.7,0.038503,0.11442
10,440.57,212.48,0.037147,0.10977
10.2,434.69,207.97,0.035839,0.10573
10.4,428.8,203.41,0.03454,0.10181
10.6,422.91,198.84,0.03324,0.097895
10.8,417.16,194.37,0.031948,0.094217
11,411.65,190.07,0.030672,0.090961
11.2,406.14,185.77,0.029395,0.087702
11.4,400.63,181.47,0.028119,0.084446
11.6,395.63,177.46,0.026921,0.081714
11.8,390.82,173.55,0.025753,0.079171
12,386.01,169.64,0.024585,0.076628
12.2,381.2,165.73,0.023417,0.074084
12.4,377.02,161.57,0.022374,0.071564
12.6,372.9,157.38,0.021343,0.069034
12.8,368.79,153.2,0.020312,0.066504
13,364.67,149.01,0.01928,0.063975
13.2,360.87,144.12,0.01825,0.061283
13.4,357.11,139.13,0.017217,0.058563
13.6,353.35,134.14,0.016184,0.055843
13.8,349.59,129.15,0.015151,0.053123
14,346.03,123.73,0.014146,0.050508
14.2,342.6,118.04,0.013156,0.047947
14.4,339.17,112.36,0.012166,0.045387
14.6,335.74,106.67,0.011177,0.042826
14.8,332.43,101.01,0.010216,0.040258
15,329.78,95.401,0.0093975,0.037566
15.2,327.12,89.791,0.0085793,0.034874
15.4,324.47,84.181,0.0077612,0.032183
15.6,321.82,78.571,0.0069431,0.029491
15.8,319.6,73.489,0.0062438,0.027021
16,317.92,69.04,0.0056884,0.024821
16.2,316.23,64.589,0.0051331,0.02262
16.4,314.55,60.139,0.0045777,0.020419
16.6,312.87,55.69,0.0040223,0.018219
16.8,311.54,52.059,0.0035989,0.016503
17,310.56,49.261,0.0033099,0.015283
17.2,309.58,46.462,0.0030209,0.014064
17.4,308.61,43.664,0.002732,0.012845
17.6,307.64,40.866,0.002443,0.011626
17.8,306.77,38.33,0.002193,0.010592
18,306.16,36.432,0.0020411,0.010027
18.2,305.55,34.534,0.0018891,0.0094616
18.4,304.94,32.636,0.0017372,0.0088964
18.6,304.33,30.737,0.0015852,0.0083312
18.8,303.73,28.839,0.0014332,0.0077661
19,303.27,27.221,0.0013251,0.0073395
19.2,302.85,25.666,0.0012269,0.0069429
19.4,302.43,24.112,0.0011286,0.0065462
19.6,302.01,22.558,0.0010304,0.0061496
19.8,301.59,21.004,0.00093214,0.0057529
20,301.18,19.462,0.00083524,0.0053581
