s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PLUME FLUID MIXTURE
 3.871E+01, 0.000E+00, 0.000E+00, 1.431E-01, 4.709E-04,-2.367E-01, 0.000E+00, 0.000E+00,-1.921E-01,-9.310E-02, 0.000E+00, 4.749E-02
 3.874E+01, 0.000E+00, 0.000E+00, 1.653E-01, 4.569E-04,-2.417E-01, 0.000E+00, 0.000E+00,-1.787E-01,-7.597E-02, 0.000E+00, 4.749E-02
 3.877E+01, 0.000E+00, 0.000E+00, 1.860E-01, 4.906E-04,-2.447E-01, 0.000E+00, 0.000E+00,-1.629E-01,-5.818E-02, 0.000E+00, 4.749E-02
 3.880E+01, 0.000E+00, 0.000E+00, 2.126E-01, 4.823E-04,-2.471E-01, 0.000E+00, 0.000E+00,-1.414E-01,-3.406E-02, 0.000E+00, 4.749E-02
 3.887E+01, 0.000E+00, 0.000E+00, 2.587E-01, 4.758E-04,-2.502E-01, 0.000E+00, 0.000E+00,-9.927E-02, 8.997E-03, 0.000E+00, 4.749E-02
 3.890E+01, 0.000E+00, 0.000E+00, 3.049E-01, 5.030E-04,-2.531E-01, 0.000E+00, 0.000E+00,-5.372E-02, 5.232E-02, 0.000E+00, 4.749E-02
 3.893E+01, 0.000E+00, 0.000E+00, 3.324E-01, 5.044E-04,-2.550E-01, 0.000E+00, 0.000E+00,-2.509E-02, 7.798E-02, 0.000E+00, 4.749E-02
 3.897E+01, 0.000E+00, 0.000E+00, 3.555E-01, 4.926E-04,-2.569E-01, 0.000E+00, 0.000E+00,-5.809E-04, 9.913E-02, 0.000E+00, 4.749E-02
 3.903E+01, 0.000E+00, 0.000E+00, 3.830E-01, 4.699E-04,-2.599E-01, 0.000E+00, 0.000E+00, 2.639E-02, 1.235E-01, 0.000E+00, 4.749E-02
 3.906E+01, 0.000E+00, 0.000E+00, 4.048E-01, 4.577E-04,-2.630E-01, 0.000E+00, 0.000E+00, 4.723E-02, 1.423E-01, 0.000E+00, 4.749E-02
 3.910E+01, 0.000E+00, 0.000E+00, 4.165E-01, 4.536E-04,-2.648E-01, 0.000E+00, 0.000E+00, 5.796E-02, 1.521E-01, 0.000E+00, 4.749E-02
 3.913E+01, 0.000E+00, 0.000E+00, 4.267E-01, 4.475E-04,-2.665E-01, 0.000E+00, 0.000E+00, 6.704E-02, 1.606E-01, 0.000E+00, 4.749E-02
 3.916E+01, 0.000E+00, 0.000E+00, 4.351E-01, 4.251E-04,-2.679E-01, 0.000E+00, 0.000E+00, 7.448E-02, 1.676E-01, 0.000E+00, 4.749E-02
 3.923E+01, 0.000E+00, 0.000E+00, 4.423E-01, 4.243E-04,-2.692E-01, 0.000E+00, 0.000E+00, 8.167E-02, 1.735E-01, 0.000E+00, 4.749E-02
 3.926E+01, 0.000E+00, 0.000E+00, 4.431E-01, 4.257E-04,-2.697E-01, 0.000E+00, 0.000E+00, 8.355E-02, 1.738E-01, 0.000E+00, 4.749E-02
 3.929E+01, 0.000E+00, 0.000E+00, 4.383E-01, 4.430E-04,-2.693E-01, 0.000E+00, 0.000E+00, 8.107E-02, 1.694E-01, 0.000E+00, 4.749E-02
 3.935E+01, 0.000E+00, 0.000E+00, 4.236E-01, 4.322E-04,-2.683E-01, 0.000E+00, 0.000E+00, 6.884E-02, 1.557E-01, 0.000E+00, 4.749E-02
