,z(cm),TMean(K),T_rms(K),ur_rms(m/s),uz_rms(m/s),ur_Mean(m/s),uz_Mean(m/s),uzT_cov((m/s)K),uruz_cov(m/s)
68,20.4,1234.8,452.1062,0.3625,1.4288,-0.001,2.4671,396.5249,0.011
69,20.7,1231.9,453.6629,0.3662,1.4442,-0.0018,2.4854,406.0357,0.0124
70,21.0,1229.0,455.2033,0.3699,1.4593,-0.0026,2.5036,415.7756,0.0138
71,21.3,1224.6,457.4276,0.3733,1.4765,-0.0029,2.5155,427.3187,0.0148
72,21.6,1220.1,459.6412,0.3767,1.4935,-0.0033,2.5274,439.1193,0.0158
73,21.9,1215.7,461.8441,0.3801,1.5102,-0.0036,2.5393,450.873,0.0168
74,22.2,1211.2,464.0366,0.3834,1.5268,-0.004,2.5513,462.8654,0.0178
75,22.5,1206.8,466.2081,0.3867,1.5432,-0.0043,2.5632,474.8302,0.0188
76,22.8,1202.4,468.3802,0.39,1.5595,-0.0047,2.5751,486.8998,0.0198
77,23.1,1197.9,470.6272,0.3935,1.5748,-0.0047,2.5865,498.7316,0.0201
78,23.4,1193.3,473.0222,0.3977,1.5886,-0.004,2.597,509.6999,0.0192
79,23.7,1188.6,475.4051,0.4019,1.6022,-0.0034,2.6075,521.0255,0.0183
80,24.0,1184.0,477.7761,0.406,1.6158,-0.0027,2.6179,532.3064,0.0174
81,24.3,1179.4,480.1354,0.4101,1.6292,-0.002,2.6284,543.565,0.0165
82,24.6,1174.8,482.4832,0.4141,1.6425,-0.0014,2.6389,554.9203,0.0156
83,24.9,1170.2,484.8196,0.4181,1.6557,-0.0007,2.6493,566.4891,0.0147
84,25.2,1165.7,487.0421,0.422,1.6665,0.0001,2.658,575.9694,0.0141
85,25.5,1161.2,489.1932,0.426,1.6762,0.0009,2.6657,584.7892,0.0137
86,25.8,1156.7,491.3451,0.4299,1.6858,0.0017,2.6734,593.6782,0.0134
87,26.1,1152.2,493.4876,0.4337,1.6953,0.0025,2.6812,602.4214,0.013
88,26.4,1147.7,495.6107,0.4376,1.7048,0.0033,2.6889,611.4495,0.0126
89,26.7,1143.2,497.7349,0.4414,1.7142,0.0041,2.6967,620.4326,0.0122
90,27.0,1138.7,499.85,0.4451,1.7236,0.0049,2.7044,629.5997,0.0118
91,27.3,1133.5,501.9462,0.4479,1.733,0.005,2.7089,638.2619,0.0128
92,27.6,1128.3,504.0337,0.4507,1.7423,0.0051,2.7134,646.8708,0.0138
93,27.9,1123.0,506.1126,0.4535,1.7516,0.0053,2.7178,656.0106,0.0148
94,28.2,1117.8,508.183,0.4563,1.7609,0.0054,2.7223,664.8131,0.0158
95,28.5,1112.6,510.2548,0.459,1.77,0.0056,2.7268,673.6623,0.0168
96,28.8,1107.3,512.3085,0.4617,1.7792,0.0057,2.7313,682.7315,0.0178
97,29.1,1102.1,514.1595,0.4645,1.7871,0.0058,2.7354,690.8157,0.0184
98,29.4,1096.7,515.6161,0.4673,1.7925,0.006,2.7387,697.6677,0.0184
99,29.7,1091.4,517.0687,0.4701,1.7979,0.0061,2.7421,704.0721,0.0183
100,30.0,1086.1,518.5268,0.4729,1.8033,0.0063,2.7454,710.7211,0.0182
101,30.3,1080.8,519.9712,0.4757,1.8087,0.0064,2.7488,717.297,0.0181
102,30.6,1075.4,521.4115,0.4785,1.8141,0.0065,2.7521,724.2917,0.0181
103,30.9,1070.1,522.848,0.4813,1.8194,0.0067,2.7555,730.9395,0.018
104,31.2,1065.0,523.8607,0.4833,1.8229,0.0068,2.7574,735.369,0.019
105,31.5,1059.9,524.6618,0.4851,1.8255,0.0068,2.7586,738.9599,0.0205
106,31.8,1054.8,525.4617,0.4868,1.828,0.0069,2.7598,742.463,0.022
107,32.1,1049.7,526.2509,0.4885,1.8306,0.0069,2.761,746.0783,0.0236
108,32.4,1044.6,527.0484,0.4902,1.8331,0.007,2.7623,749.5014,0.0251
109,32.7,1039.6,527.8447,0.4919,1.8357,0.0071,2.7635,752.8654,0.0266
110,33.0,1034.5,528.6303,0.4936,1.8382,0.0071,2.7647,756.5179,0.0281
111,33.3,1029.4,528.7438,0.495,1.8374,0.0072,2.7671,757.3473,0.0302
112,33.6,1024.3,528.8573,0.4964,1.8366,0.0072,2.7696,758.1987,0.0323
113,33.9,1019.3,528.9612,0.4977,1.8358,0.0073,2.772,758.9004,0.0344
114,34.2,1014.2,529.0747,0.4991,1.835,0.0073,2.7745,759.7021,0.0364
115,34.5,1009.1,529.1881,0.5005,1.8341,0.0073,2.777,760.6293,0.0385
116,34.8,1004.0,529.292,0.5018,1.8334,0.0074,2.7794,761.6824,0.0406
117,35.1,998.95,529.207,0.5031,1.8326,0.0077,2.7807,761.8197,0.0421
118,35.4,993.82,528.7154,0.5042,1.8319,0.0084,2.7796,761.0779,0.0427
119,35.7,988.69,528.2234,0.5054,1.8312,0.0092,2.7786,760.226,0.0432
120,36.0,983.56,527.731,0.5065,1.8306,0.0099,2.7775,759.3621,0.0437
121,36.3,978.43,527.2381,0.5076,1.8299,0.0107,2.7765,758.4891,0.0442
122,36.6,973.3,526.7447,0.5087,1.8292,0.0115,2.7754,757.7032,0.0448
123,36.9,968.18,526.2509,0.5098,1.8286,0.0122,2.7743,756.7782,0.0453
124,37.2,962.97,525.4332,0.5103,1.8265,0.0125,2.7736,754.5064,0.0463
125,37.5,957.74,524.4616,0.5105,1.8238,0.0125,2.773,751.587,0.0476
126,37.8,952.5,523.4787,0.5107,1.8212,0.0125,2.7724,748.689,0.0489
127,38.1,947.26,522.5036,0.5109,1.8184,0.0125,2.7718,745.7847,0.0502
128,38.4,942.03,521.5266,0.5111,1.8157,0.0126,2.7712,742.8465,0.0515
129,38.7,936.79,520.5382,0.5113,1.813,0.0126,2.7706,739.8296,0.0528
130,39.0,931.55,519.5575,0.5115,1.8103,0.0126,2.77,736.9065,0.054
131,39.3,926.35,518.2663,0.5111,1.8052,0.0128,2.769,732.3369,0.0554
132,39.6,921.14,516.972,0.5106,1.8,0.0129,2.7679,727.7766,0.0568
133,39.9,915.93,515.6743,0.5102,1.7948,0.013,2.7669,723.2133,0.0581
134,40.2,910.72,514.3734,0.5097,1.7896,0.0132,2.7659,718.6396,0.0595
135,40.5,905.51,513.0692,0.5093,1.7844,0.0133,2.7648,714.046,0.0609
136,40.8,900.31,511.7617,0.5088,1.7792,0.0135,2.7638,709.4232,0.0622
137,41.1,895.18,510.3822,0.5085,1.7739,0.0135,2.7628,704.6967,0.0637
138,41.4,890.21,508.8615,0.5085,1.7685,0.0133,2.7616,699.9961,0.0656
139,41.7,885.24,507.3263,0.5086,1.763,0.0131,2.7605,695.195,0.0674
140,42.0,880.27,505.7964,0.5086,1.7576,0.013,2.7594,690.383,0.0693
141,42.3,875.3,504.2519,0.5086,1.7521,0.0128,2.7583,685.56,0.0711
142,42.6,870.34,502.7126,0.5086,1.7467,0.0126,2.7572,680.6986,0.0729
143,42.9,865.37,501.1587,0.5086,1.7411,0.0124,2.7561,675.9537,0.0748
144,43.2,860.57,499.4197,0.5086,1.7352,0.0125,2.7547,670.3878,0.0757
145,43.5,855.86,497.5842,0.5085,1.729,0.0126,2.7532,664.5462,0.0761
146,43.8,851.15,495.7419,0.5084,1.7227,0.0128,2.7516,658.7757,0.0766
147,44.1,846.43,493.8927,0.5083,1.7164,0.0129,2.7501,652.9329,0.077
148,44.4,841.72,492.0366,0.5083,1.7101,0.0131,2.7485,647.1326,0.0775
149,44.7,837.01,490.1734,0.5082,1.7038,0.0133,2.747,641.2335,0.0779
150,45.0,832.3,488.3032,0.5081,1.6975,0.0134,2.7454,635.3036,0.0784
151,45.3,827.48,486.0864,0.5072,1.6914,0.0138,2.7442,629.8294,0.0781
152,45.6,822.66,483.8492,0.5063,1.6852,0.0141,2.743,624.2436,0.0778
153,45.9,817.83,481.6119,0.5055,1.679,0.0145,2.7418,618.7737,0.0775
154,46.2,813.01,479.3642,0.5046,1.6729,0.0148,2.7407,613.0835,0.0772
155,46.5,808.19,477.1059,0.5037,1.6666,0.0152,2.7395,607.5635,0.0769
156,46.8,803.37,474.8368,0.5028,1.6604,0.0155,2.7383,601.9319,0.0766
157,47.1,798.64,472.5569,0.5023,1.6542,0.0157,2.7369,596.4022,0.0763
158,47.4,794.1,470.2871,0.5024,1.648,0.0155,2.7352,590.7777,0.0762
159,47.7,789.56,468.0064,0.5026,1.6418,0.0154,2.7335,585.2377,0.0761
160,48.0,785.02,465.7145,0.5027,1.6356,0.0152,2.7317,579.6609,0.076
161,48.3,780.47,463.4113,0.5029,1.6294,0.015,2.73,574.0169,0.0759
162,48.6,775.93,461.0965,0.503,1.6231,0.0149,2.7283,568.3302,0.0758
163,48.9,771.39,458.7701,0.5032,1.6168,0.0147,2.7265,562.8052,0.0757
164,49.2,767.3,456.4866,0.5024,1.6112,0.0149,2.7248,557.061,0.0752
165,49.5,763.44,454.2356,0.5012,1.6059,0.0152,2.7231,551.3765,0.0745
166,49.8,759.57,451.9624,0.5,1.6006,0.0156,2.7213,545.7822,0.0739
167,50.1,755.71,449.6777,0.4988,1.5953,0.0159,2.7196,539.9711,0.0732
168,50.4,751.84,447.3813,0.4976,1.5899,0.0162,2.7178,534.3492,0.0725
169,50.7,747.98,445.073,0.4963,1.5846,0.0166,2.7161,528.6115,0.0719
170,51.0,744.12,442.7528,0.4951,1.5792,0.0169,2.7144,522.8607,0.0712
171,51.3,740.61,440.4089,0.4944,1.5724,0.0173,2.7141,516.0104,0.0708
172,51.6,737.11,438.0525,0.4937,1.5655,0.0177,2.7139,509.0572,0.0704
173,51.9,733.6,435.6834,0.493,1.5586,0.0181,2.7137,502.1297,0.07
174,52.2,730.1,433.3013,0.4923,1.5517,0.0185,2.7135,495.1737,0.0696
175,52.5,726.59,430.906,0.4916,1.5448,0.0188,2.7132,488.316,0.0692
176,52.8,723.09,428.4974,0.4909,1.5378,0.0192,2.713,481.3568,0.0688
177,53.1,719.68,426.0634,0.4903,1.5303,0.0196,2.7126,474.396,0.0681
178,53.4,716.46,423.6272,0.4899,1.5218,0.02,2.712,467.3605,0.0669
179,53.7,713.24,421.1651,0.4894,1.5133,0.0204,2.7113,460.4924,0.0657
180,54.0,710.03,418.7004,0.489,1.5047,0.0208,2.7107,453.4217,0.0645
181,54.3,706.81,416.2091,0.4885,1.4961,0.0212,2.71,446.4449,0.0634
182,54.6,703.59,413.7149,0.4881,1.4875,0.0216,2.7094,439.3933,0.0622
183,54.9,700.37,411.1934,0.4877,1.4787,0.022,2.7087,432.5078,0.061
184,55.2,697.3,408.7542,0.4864,1.4718,0.0218,2.7081,425.9419,0.0602
185,55.5,694.29,406.3496,0.4846,1.4658,0.0214,2.7075,419.7098,0.0596
186,55.8,691.29,403.9307,0.4829,1.4598,0.0209,2.707,413.278,0.0589
187,56.1,688.28,401.4847,0.4811,1.4537,0.0205,2.7064,407.039,0.0583
188,56.4,685.27,399.0363,0.4794,1.4476,0.02,2.7058,400.6964,0.0577
189,56.7,682.27,396.5728,0.4776,1.4415,0.0196,2.7053,394.355,0.0571
190,57.0,679.26,394.0812,0.4758,1.4353,0.0191,2.7047,388.1055,0.0565
191,57.3,676.59,391.7908,0.4765,1.4279,0.0194,2.7054,382.0534,0.0544
192,57.6,673.92,389.4868,0.4771,1.4205,0.0196,2.7062,375.9377,0.0523
193,57.9,671.26,387.1692,0.4777,1.413,0.0199,2.7069,369.8663,0.0503
194,58.2,668.59,384.8246,0.4783,1.4055,0.0202,2.7076,363.8257,0.0482
195,58.5,665.92,382.4788,0.4789,1.398,0.0205,2.7084,357.7223,0.0461
196,58.8,663.25,380.1184,0.4795,1.3904,0.0207,2.7091,351.6894,0.044
197,59.1,660.67,377.7565,0.4799,1.3837,0.0209,2.7097,346.2825,0.042
198,59.4,658.28,375.4198,0.4802,1.3788,0.021,2.71,342.1612,0.0399
199,59.7,655.89,373.0684,0.4804,1.374,0.021,2.7103,338.0413,0.0378
200,60.0,653.49,370.702,0.4806,1.3691,0.0211,2.7106,334.05,0.0357
201,60.3,651.1,368.3205,0.4809,1.3642,0.0211,2.7109,329.933,0.0336
202,60.6,648.7,365.9372,0.4811,1.3593,0.0211,2.7112,325.9446,0.0316
203,60.9,646.31,363.5244,0.4813,1.3544,0.0212,2.7115,321.8304,0.0295
204,61.2,643.99,361.0679,0.4814,1.349,0.0212,2.7127,317.3483,0.0279
205,61.5,641.71,358.5945,0.4815,1.3434,0.0212,2.7145,312.4782,0.0265
206,61.8,639.42,356.1039,0.4815,1.3379,0.0212,2.7163,307.6435,0.0252
207,62.1,637.14,353.5958,0.4816,1.3323,0.0212,2.7181,302.7898,0.0239
208,62.4,634.86,351.0698,0.4816,1.3266,0.0212,2.7198,298.0078,0.0225
209,62.7,632.57,348.5255,0.4817,1.3209,0.0212,2.7216,293.2975,0.0212
210,63.0,630.29,345.9624,0.4817,1.3153,0.0211,2.7234,288.4682,0.0199
211,63.3,628.08,343.5841,0.482,1.3107,0.0213,2.7244,284.7588,0.0189
212,63.6,625.87,341.1891,0.4823,1.3061,0.0216,2.7255,280.9913,0.0179
213,63.9,623.67,338.7772,0.4825,1.3015,0.0218,2.7265,277.1637,0.0169
214,64.2,621.46,336.348,0.4828,1.2969,0.022,2.7276,273.4057,0.016
215,64.5,619.26,333.8862,0.4831,1.2922,0.0222,2.7286,269.6872,0.015
216,64.8,617.05,331.4212,0.4834,1.2876,0.0224,2.7297,265.9386,0.014
217,65.1,614.84,328.9377,0.4837,1.2829,0.0226,2.7307,262.2564,0.0131
218,65.4,612.69,326.5731,0.4839,1.2789,0.0225,2.7319,258.8922,0.0122
219,65.7,610.58,324.2838,0.4841,1.2753,0.0223,2.733,255.8849,0.0115
220,66.0,608.46,321.9938,0.4844,1.2718,0.022,2.7342,252.9487,0.0108
221,66.3,606.35,319.6717,0.4846,1.2682,0.0218,2.7353,249.9508,0.0101
222,66.6,604.24,317.3326,0.4848,1.2646,0.0215,2.7365,246.9972,0.0095
223,66.9,602.13,314.9905,0.4851,1.261,0.0212,2.7376,244.0089,0.0088
224,67.2,600.01,312.6228,0.4853,1.2574,0.021,2.7388,240.9926,0.0081
225,67.5,597.9,310.237,0.4855,1.2538,0.0207,2.7399,238.1138,0.0074
226,67.8,595.87,307.9123,0.4856,1.2498,0.0206,2.7413,235.1416,0.0065
227,68.1,594.03,305.7483,0.4852,1.2454,0.0206,2.743,232.2757,0.0052
228,68.4,592.2,303.5688,0.4849,1.2409,0.0206,2.7448,229.3294,0.004
229,68.7,590.36,301.3735,0.4845,1.2364,0.0206,2.7465,226.4763,0.0027
230,69.0,588.53,299.1622,0.4842,1.2318,0.0206,2.7483,223.643,0.0015
231,69.3,586.69,296.9343,0.4838,1.2273,0.0206,2.75,220.8025,0.0002
232,69.6,584.85,294.6897,0.4835,1.2227,0.0206,2.7518,217.9098,-0.001
233,69.9,583.02,292.4278,0.4831,1.2181,0.0206,2.7535,215.0544,-0.0023
234,70.2,581.18,290.1482,0.4828,1.2135,0.0207,2.7552,212.3329,-0.0035
235,70.5,579.38,287.8941,0.4824,1.209,0.0207,2.757,209.4493,-0.0046
236,70.8,577.83,285.9895,0.4815,1.2056,0.0208,2.7588,207.0826,-0.0045
237,71.1,576.28,284.0704,0.4807,1.2022,0.0209,2.7605,204.7791,-0.0044
238,71.4,574.73,282.1383,0.4798,1.1987,0.021,2.7623,202.4233,-0.0043
239,71.7,573.19,280.1946,0.479,1.1952,0.0212,2.7641,200.0455,-0.0042
240,72.0,571.64,278.2355,0.4781,1.1918,0.0213,2.7658,197.7581,-0.0041
241,72.3,570.09,276.2626,0.4772,1.1883,0.0214,2.7676,195.4189,-0.004
242,72.6,568.54,274.2772,0.4764,1.1848,0.0215,2.7694,193.0853,-0.0038
243,72.9,566.99,272.2756,0.4755,1.1813,0.0217,2.7711,190.814,-0.0037
244,73.2,565.45,270.2591,0.4746,1.1778,0.0218,2.7729,188.5637,-0.0036
245,73.5,563.9,268.2275,0.4738,1.1743,0.0219,2.7747,186.2467,-0.0035
246,73.8,562.53,266.5577,0.4732,1.1715,0.0218,2.7757,184.6855,-0.0033
247,74.1,561.19,264.9264,0.4728,1.1688,0.0217,2.7766,183.1998,-0.0031
248,74.4,559.85,263.2869,0.4723,1.1661,0.0216,2.7775,181.8166,-0.003
249,74.7,558.51,261.6372,0.4719,1.1634,0.0215,2.7784,180.3358,-0.0028
250,75.0,557.17,259.9769,0.4714,1.1608,0.0214,2.7793,178.8574,-0.0026
251,75.3,555.83,258.306,0.4709,1.1581,0.0213,2.7802,177.4814,-0.0024
252,75.6,554.49,256.6242,0.4705,1.1554,0.0212,2.7811,176.0079,-0.0022
253,75.9,553.15,254.9294,0.47,1.1526,0.0211,2.782,174.5367,-0.002
254,76.2,551.81,253.2252,0.4696,1.15,0.0211,2.7829,173.168,-0.0018
255,76.5,550.46,251.5094,0.4691,1.1472,0.021,2.7838,171.7295,-0.0016
256,76.8,549.12,249.7819,0.4686,1.1445,0.0209,2.7847,170.3655,-0.0014
257,77.1,547.84,248.2015,0.4683,1.1425,0.0207,2.7857,169.0821,-0.0012
258,77.4,546.6,246.7772,0.468,1.1413,0.0206,2.7869,167.9805,-0.0008
259,77.7,545.37,245.3447,0.4678,1.1401,0.0205,2.7882,166.7994,-0.0005
260,78.0,544.14,243.9037,0.4675,1.1389,0.0204,2.7894,165.6759,-0.0002
261,78.3,542.9,242.4541,0.4673,1.1377,0.0203,2.7906,164.5833,0.0002
262,78.6,541.67,240.9959,0.467,1.1365,0.0201,2.7918,163.4657,0.0005
263,78.9,540.44,239.5287,0.4668,1.1353,0.02,2.793,162.2511,0.0008
264,79.2,539.21,238.0546,0.4665,1.1341,0.0199,2.7942,161.1394,0.0012
265,79.5,537.97,236.5692,0.4663,1.1328,0.0198,2.7955,160.0049,0.0015
266,79.8,536.74,235.0745,0.466,1.1316,0.0196,2.7967,158.8992,0.0018
267,80.1,535.51,233.5701,0.4658,1.1304,0.0195,2.7979,157.7966,0.0022
268,80.4,534.27,232.056,0.4656,1.1292,0.0194,2.7991,156.7248,0.0025
269,80.7,533.04,230.532,0.4653,1.128,0.0193,2.8003,155.6281,0.0028
270,81.0,531.95,229.2662,0.4658,1.1264,0.0189,2.8007,154.3676,0.0025
271,81.3,530.89,228.0526,0.4666,1.1247,0.0184,2.8008,153.1833,0.0021
272,81.6,529.83,226.8325,0.4673,1.1231,0.0179,2.801,151.9462,0.0017
273,81.9,528.77,225.6059,0.468,1.1214,0.0174,2.8012,150.7095,0.0013
274,82.2,527.7,224.3725,0.4687,1.1198,0.0169,2.8013,149.554,0.0009
275,82.5,526.64,223.1322,0.4694,1.1181,0.0164,2.8015,148.218,0.0005
276,82.8,525.58,221.8874,0.4701,1.1164,0.016,2.8017,146.9825,0.0001
277,83.1,524.52,220.6332,0.4709,1.1148,0.0155,2.8018,145.7999,-0.0003
278,83.4,523.46,219.3718,0.4716,1.1131,0.015,2.802,144.5651,-0.0007
279,83.7,522.4,218.1032,0.4723,1.1114,0.0145,2.8022,143.2307,-0.0011
280,84.0,521.34,216.8271,0.473,1.1098,0.014,2.8023,142.0489,-0.0015
281,84.3,520.28,215.5435,0.4737,1.1081,0.0135,2.8025,140.8153,-0.0019
282,84.6,519.22,214.2522,0.4744,1.1064,0.0131,2.8027,139.5821,-0.0023
283,84.9,518.15,212.953,0.4751,1.1047,0.0126,2.8028,138.4292,-0.0027
284,85.2,517.29,211.941,0.4756,1.1037,0.0124,2.8029,137.4879,-0.0036
285,85.5,516.5,211.0379,0.4761,1.1029,0.0125,2.803,136.8505,-0.0046
286,85.8,515.71,210.1333,0.4766,1.102,0.0125,2.803,136.1649,-0.0055
287,86.1,514.92,209.2224,0.477,1.1013,0.0125,2.8031,135.4277,-0.0065
288,86.4,514.14,208.3075,0.4775,1.1005,0.0125,2.8031,134.7142,-0.0075
289,86.7,513.35,207.3885,0.4779,1.0996,0.0126,2.8031,134.0286,-0.0085
290,87.0,512.56,206.4655,0.4784,1.0988,0.0126,2.8032,133.3918,-0.0095
291,87.3,511.77,205.5408,0.4788,1.098,0.0126,2.8032,132.7063,-0.0105
292,87.6,510.98,204.6094,0.4792,1.0972,0.0126,2.8033,131.9698,-0.0115
293,87.9,510.19,203.6738,0.4797,1.0964,0.0126,2.8033,131.2844,-0.0125
294,88.2,509.4,202.7338,0.4802,1.0956,0.0127,2.8034,130.648,-0.0135
295,88.5,508.62,201.792,0.4806,1.0948,0.0127,2.8034,129.9347,-0.0145
296,88.8,507.83,200.8432,0.4811,1.094,0.0127,2.8035,129.1986,-0.0155
297,89.1,507.04,199.89,0.4815,1.0932,0.0127,2.8035,128.5134,-0.0165
298,89.4,506.25,198.9321,0.4819,1.0923,0.0127,2.8036,127.8775,-0.0175
299,89.7,505.46,197.9747,0.4824,1.0916,0.0128,2.8036,127.1923,-0.0184
300,90.0,504.77,197.1497,0.4822,1.0917,0.0126,2.8041,126.7744,-0.0188
301,90.3,504.07,196.3212,0.4821,1.0917,0.0125,2.8045,126.4357,-0.0192
302,90.6,503.38,195.4891,0.482,1.0918,0.0124,2.805,126.0191,-0.0196
303,90.9,502.68,194.6535,0.4818,1.0918,0.0123,2.8054,125.6815,-0.02
304,91.2,501.99,193.8118,0.4817,1.0919,0.0122,2.8059,125.2663,-0.0204
305,91.5,501.29,192.9689,0.4815,1.092,0.0121,2.8063,124.9299,-0.0208
