,z(cm),TMean(K),T_rms(K),ur_rms(m/s),uz_rms(m/s),ur_Mean(m/s),uz_Mean(m/s),uzT_cov((m/s)K),uruz_cov(m/s)
148,44.4,749.93,415.9808,0.4489,1.4414,-0.0104,2.534,392.2774,0.0123
149,44.7,746.59,414.0411,0.4489,1.4375,-0.0105,2.5353,388.2704,0.0126
150,45.0,743.26,412.0922,0.449,1.4336,-0.0107,2.5366,384.2467,0.013
151,45.3,740.12,410.4144,0.4491,1.429,-0.0106,2.5388,380.3833,0.0115
152,45.6,736.97,408.7175,0.4492,1.4244,-0.0106,2.5411,376.3855,0.0101
153,45.9,733.83,407.0135,0.4493,1.4198,-0.0105,2.5434,372.3768,0.0087
154,46.2,730.69,405.3024,0.4494,1.4151,-0.0105,2.5456,368.5555,0.0073
155,46.5,727.72,403.7574,0.4492,1.4115,-0.0103,2.5474,365.1061,0.0063
156,46.8,724.89,402.3431,0.4488,1.4085,-0.0101,2.5487,362.2729,0.0055
157,47.1,722.05,400.9239,0.4485,1.4056,-0.0099,2.5501,359.3003,0.0047
158,47.4,719.22,399.4997,0.4481,1.4027,-0.0097,2.5514,356.4821,0.004
159,47.7,716.45,398.0829,0.4477,1.3996,-0.0096,2.5529,353.4748,0.0033
160,48.0,714.22,396.7241,0.4477,1.3951,-0.0101,2.5556,349.8394,0.0035
161,48.3,711.99,395.3606,0.4477,1.3907,-0.0106,2.5583,346.316,0.0038
162,48.6,709.76,394.0051,0.4477,1.3863,-0.0111,2.561,342.7046,0.0041
163,48.9,707.53,392.6321,0.4477,1.3818,-0.0116,2.5637,339.1053,0.0043
164,49.2,705.31,391.2033,0.4476,1.3778,-0.0119,2.5665,335.8219,0.004
165,49.5,703.11,389.7435,0.4475,1.374,-0.012,2.5694,332.6292,0.0035
166,49.8,700.91,388.2654,0.4473,1.3703,-0.0121,2.5723,329.4492,0.0029
167,50.1,698.7,386.7945,0.4472,1.3665,-0.0122,2.5753,326.2379,0.0024
168,50.4,696.53,385.2921,0.4471,1.3628,-0.0123,2.578,323.0457,0.002
169,50.7,694.48,383.7577,0.4471,1.3593,-0.0125,2.5801,319.6722,0.0024
170,51.0,692.42,382.2041,0.4471,1.3558,-0.0127,2.5822,316.4331,0.0027
171,51.3,690.36,380.6442,0.4471,1.3522,-0.0128,2.5843,313.1027,0.0031
172,51.6,688.31,379.0778,0.4471,1.3487,-0.013,2.5864,309.855,0.0034
173,51.9,686.37,377.6374,0.4469,1.3439,-0.0134,2.5894,306.4135,0.0039
174,52.2,684.47,376.2047,0.4467,1.3388,-0.0138,2.5927,302.8746,0.0044
175,52.5,682.56,374.7799,0.4465,1.3336,-0.0141,2.596,299.3742,0.005
176,52.8,680.66,373.3363,0.4463,1.3285,-0.0145,2.5993,295.8605,0.0055
177,53.1,678.78,371.9677,0.4461,1.3239,-0.0149,2.6021,292.7466,0.0059
178,53.4,676.96,370.7155,0.446,1.3207,-0.0154,2.604,290.3962,0.006
179,53.7,675.14,369.4591,0.4459,1.3175,-0.0159,2.6059,288.0527,0.0061
180,54.0,673.33,368.1983,0.4457,1.3143,-0.0164,2.6078,285.59,0.0062
181,54.3,671.51,366.9332,0.4456,1.3111,-0.0168,2.6098,283.1932,0.0063
182,54.6,669.86,365.7868,0.4448,1.3066,-0.0168,2.613,280.6558,0.006
183,54.9,668.22,364.6642,0.444,1.3019,-0.0168,2.6163,278.236,0.0057
184,55.2,666.59,363.5382,0.4432,1.2972,-0.0167,2.6197,275.7342,0.0054
185,55.5,664.96,362.4086,0.4424,1.2925,-0.0166,2.6231,273.1434,0.0051
186,55.8,663.35,361.3032,0.442,1.2879,-0.0165,2.6265,270.7112,0.0044
187,56.1,661.76,360.236,0.4421,1.2836,-0.0163,2.6298,268.6036,0.0034
188,56.4,660.18,359.1657,0.4422,1.2793,-0.0161,2.6332,266.314,0.0023
189,56.7,658.6,358.0922,0.4423,1.275,-0.0158,2.6365,264.1011,0.0013
190,57.0,657.02,357.0154,0.4424,1.2706,-0.0156,2.6399,261.9329,0.0002
191,57.3,655.42,355.9916,0.4422,1.2686,-0.0157,2.6419,260.5459,-0.0003
192,57.6,653.82,354.9648,0.442,1.2666,-0.0158,2.644,259.0999,-0.0008
193,57.9,652.22,353.9491,0.4418,1.2647,-0.0159,2.6461,257.6607,-0.0014
194,58.2,650.63,352.9164,0.4416,1.2627,-0.016,2.6482,256.2016,-0.0019
195,58.5,649.02,351.9517,0.4411,1.26,-0.0159,2.6507,254.9427,-0.0021
196,58.8,647.41,351.0271,0.4404,1.2568,-0.0158,2.6534,253.7623,-0.002
197,59.1,645.81,350.1,0.4397,1.2536,-0.0157,2.6562,252.3995,-0.0019
198,59.4,644.2,349.1704,0.439,1.2504,-0.0156,2.659,251.1722,-0.0018
199,59.7,642.59,348.2384,0.4384,1.2474,-0.0155,2.6617,250.1182,-0.0018
200,60.0,640.97,347.2895,0.4392,1.2465,-0.0152,2.664,249.5559,-0.0023
201,60.3,639.34,346.3235,0.44,1.2456,-0.015,2.6662,249.0917,-0.0028
202,60.6,637.72,345.3694,0.4409,1.2447,-0.0147,2.6685,248.6442,-0.0034
203,60.9,636.1,344.398,0.4416,1.2438,-0.0145,2.6707,248.1677,-0.0039
204,61.2,634.48,343.4239,0.4424,1.2427,-0.0142,2.6728,247.6619,-0.0041
205,61.5,632.87,342.4325,0.4431,1.2413,-0.0138,2.6747,247.2626,-0.0041
206,61.8,631.25,341.4381,0.4438,1.24,-0.0135,2.6767,246.7331,-0.0041
207,62.1,629.64,340.4409,0.4445,1.2386,-0.0132,2.6786,246.3463,-0.0041
208,62.4,628.05,339.4407,0.4452,1.2373,-0.0129,2.6807,245.7864,-0.004
209,62.7,626.65,338.4376,0.4459,1.2362,-0.0129,2.6835,245.4847,-0.0029
210,63.0,625.25,337.4315,0.4467,1.235,-0.0129,2.6864,245.1284,-0.0018
211,63.3,623.86,336.4224,0.4474,1.2339,-0.0129,2.6892,244.7157,-0.0007
212,63.6,622.46,335.4102,0.4481,1.2327,-0.0129,2.692,244.4377,0.0004
213,63.9,621.1,334.38,0.4492,1.2316,-0.0129,2.6948,243.9597,0.0013
214,64.2,619.85,333.3167,0.4513,1.2309,-0.0128,2.6973,243.2786,0.0018
215,64.5,618.6,332.2499,0.4534,1.2302,-0.0126,2.6999,242.5419,0.0023
216,64.8,617.35,331.1646,0.4555,1.2295,-0.0125,2.7024,241.8734,0.0027
217,65.1,616.11,330.0909,0.4575,1.2287,-0.0123,2.705,241.0224,0.0032
218,65.4,614.86,329.0137,0.4596,1.228,-0.0122,2.7075,240.3665,0.0037
219,65.7,613.6,327.9024,0.4596,1.2285,-0.0117,2.7094,239.7122,0.0034
220,66.0,612.34,326.7874,0.4597,1.2288,-0.0112,2.7113,238.9626,0.0032
221,66.3,611.08,325.6839,0.4598,1.2292,-0.0107,2.7132,238.3177,0.003
222,66.6,609.82,324.5612,0.4599,1.2296,-0.0103,2.7151,237.6777,0.0028
223,66.9,608.56,323.4347,0.46,1.23,-0.0098,2.717,236.9425,0.0025
224,67.2,607.29,322.3042,0.4602,1.2302,-0.0096,2.7187,236.2607,0.003
225,67.5,606.0,321.1542,0.4608,1.2302,-0.01,2.7201,235.3194,0.0045
226,67.8,604.71,320.0,0.4613,1.2302,-0.0103,2.7215,234.3817,0.006
227,68.1,603.41,318.8417,0.4618,1.2302,-0.0106,2.7229,233.4749,0.0075
228,68.4,602.12,317.6633,0.4623,1.2301,-0.011,2.7244,232.4843,0.009
229,68.7,600.83,316.4964,0.4628,1.2301,-0.0113,2.7258,231.5576,0.0105
230,69.0,599.55,315.3141,0.4638,1.23,-0.0115,2.7273,230.7473,0.0116
231,69.3,598.29,314.0939,0.4656,1.2299,-0.0114,2.7291,229.9068,0.0122
232,69.6,597.02,312.8674,0.4674,1.2298,-0.0112,2.731,229.0384,0.0127
233,69.9,595.76,311.6376,0.4691,1.2296,-0.0111,2.7328,228.3071,0.0133
234,70.2,594.5,310.403,0.4709,1.2295,-0.011,2.7346,227.4803,0.0139
235,70.5,593.23,309.1634,0.4726,1.2294,-0.0108,2.7364,226.6854,0.0144
236,70.8,591.97,307.9188,0.4744,1.2292,-0.0107,2.7383,225.8085,0.015
237,71.1,590.7,306.635,0.475,1.2292,-0.0098,2.741,225.1913,0.0141
238,71.4,589.44,305.3424,0.4755,1.2292,-0.0088,2.7438,224.4945,0.0129
239,71.7,588.17,304.0444,0.4759,1.2291,-0.0078,2.7466,223.8323,0.0118
240,72.0,586.91,302.7392,0.4764,1.2291,-0.0068,2.7494,223.1496,0.0106
241,72.3,585.64,301.4299,0.4769,1.2291,-0.0058,2.7522,222.5016,0.0094
242,72.6,584.37,300.115,0.4773,1.2291,-0.0048,2.7551,221.8022,0.0083
243,72.9,583.11,298.7942,0.4778,1.2291,-0.0038,2.7579,221.1409,0.0071
244,73.2,581.9,297.5954,0.478,1.2275,-0.0032,2.7595,219.7469,0.0066
245,73.5,580.7,296.4051,0.4782,1.2257,-0.0026,2.7611,218.2292,0.0061
246,73.8,579.5,295.2084,0.4784,1.224,-0.0021,2.7627,216.7153,0.0056
247,74.1,578.3,294.0085,0.4786,1.2223,-0.0015,2.7642,215.3631,0.0052
248,74.4,577.1,292.802,0.4789,1.2205,-0.001,2.7658,213.8568,0.0047
249,74.7,575.9,291.5922,0.4791,1.2188,-0.0004,2.7674,212.3543,0.0042
250,75.0,574.7,290.3756,0.4793,1.217,0.0002,2.7689,210.9132,0.0037
251,75.3,573.58,289.2646,0.4795,1.2157,0.0004,2.7706,209.8393,0.0034
252,75.6,572.55,288.2863,0.4797,1.2149,0.0003,2.7723,209.3196,0.0033
253,75.9,571.53,287.3047,0.48,1.2142,0.0001,2.7741,208.6186,0.0031
254,76.2,570.5,286.3198,0.4803,1.2135,0.0,2.7758,208.1061,0.003
255,76.5,569.47,285.3331,0.4805,1.2127,-0.0001,2.7776,207.5401,0.0029
256,76.8,568.45,284.3413,0.4808,1.2119,-0.0003,2.7793,206.9069,0.0028
257,77.1,567.42,283.3461,0.481,1.2112,-0.0004,2.7811,206.3482,0.0027
258,77.4,566.39,282.3473,0.4813,1.2104,-0.0005,2.7828,205.8499,0.0025
259,77.7,565.34,281.329,0.482,1.2099,-0.0006,2.7844,205.3673,0.0019
260,78.0,564.25,280.2838,0.4833,1.2097,-0.0004,2.7858,204.9123,0.0005
261,78.3,563.16,279.2329,0.4846,1.2094,-0.0003,2.7871,204.6168,-0.0009
262,78.6,562.07,278.1798,0.486,1.2092,-0.0002,2.7884,204.324,-0.0023
263,78.9,560.98,277.1209,0.4873,1.209,-0.0001,2.7898,203.978,-0.0037
264,79.2,559.89,276.0598,0.4886,1.2088,0.0,2.7911,203.691,-0.0051
265,79.5,558.8,274.9945,0.4899,1.2086,0.0002,2.7924,203.4069,-0.0065
266,79.8,557.71,273.9233,0.4912,1.2083,0.0003,2.7938,202.9698,-0.0079
267,80.1,556.62,272.8498,0.4925,1.2081,0.0004,2.7951,202.6914,-0.0093
268,80.4,555.48,271.6818,0.4934,1.2081,0.0004,2.7962,201.8668,-0.0095
269,80.7,554.32,270.4848,0.4942,1.2082,0.0003,2.7971,201.0115,-0.0094
270,81.0,553.17,269.2842,0.495,1.2083,0.0003,2.7981,200.075,-0.0092
271,81.3,552.01,268.0783,0.4957,1.2084,0.0002,2.799,199.224,-0.009
272,81.6,550.85,266.8651,0.4965,1.2085,0.0002,2.8,198.32,-0.0089
273,81.9,549.7,265.6483,0.4973,1.2086,0.0001,2.8009,197.4453,-0.0087
274,82.2,548.54,264.4239,0.4981,1.2087,0.0001,2.8019,196.5458,-0.0086
275,82.5,547.38,263.1957,0.4988,1.2088,0.0,2.8028,195.6033,-0.0084
276,82.8,546.23,261.9599,0.4996,1.2089,-0.0,2.8038,194.6803,-0.0083
277,83.1,545.1,260.7489,0.5004,1.2083,-0.0001,2.8043,193.8761,-0.008
278,83.4,543.99,259.5573,0.5013,1.2072,-0.0001,2.8045,192.98,-0.0077
279,83.7,542.88,258.3621,0.5021,1.2061,-0.0002,2.8047,192.1845,-0.0074
280,84.0,541.78,257.1595,0.503,1.2049,-0.0002,2.8049,191.2613,-0.0071
281,84.3,540.67,255.9512,0.5038,1.2038,-0.0003,2.8051,190.3666,-0.0068
282,84.6,539.57,254.7371,0.5047,1.2026,-0.0003,2.8053,189.5443,-0.0065
283,84.9,538.46,253.5173,0.5055,1.2015,-0.0004,2.8055,188.6505,-0.0062
284,85.2,537.35,252.2915,0.5064,1.2003,-0.0004,2.8057,187.7571,-0.0059
285,85.5,536.25,251.0617,0.5072,1.1992,-0.0005,2.8059,186.9361,-0.0056
286,85.8,535.14,249.8239,0.508,1.198,-0.0006,2.8061,186.0436,-0.0053
287,86.1,534.07,248.586,0.5085,1.1969,-0.0001,2.8064,185.186,-0.0054
288,86.4,533.02,247.3439,0.5087,1.1958,0.0007,2.8068,184.2195,-0.0059
289,86.7,531.97,246.0975,0.5089,1.1947,0.0015,2.8071,183.307,-0.0063
290,87.0,530.91,244.8448,0.5091,1.1936,0.0023,2.8075,182.3702,-0.0068
291,87.3,529.86,243.5837,0.5094,1.1925,0.0031,2.8079,181.4061,-0.0072
292,87.6,528.81,242.318,0.5096,1.1913,0.0039,2.8082,180.5958,-0.0076
293,87.9,527.76,241.0436,0.5098,1.1903,0.0047,2.8086,179.6333,-0.0081
294,88.2,526.71,239.7645,0.51,1.1891,0.0055,2.809,178.6716,-0.0085
295,88.5,525.66,238.4785,0.5102,1.188,0.0063,2.8094,177.7108,-0.009
296,88.8,524.61,237.1835,0.5104,1.1869,0.0071,2.8097,176.8033,-0.0094
297,89.1,523.56,235.8834,0.5106,1.1858,0.0079,2.8101,175.844,-0.0099
298,89.4,522.57,234.6529,0.511,1.184,0.0078,2.8102,174.7738,-0.0095
299,89.7,521.59,233.4224,0.5114,1.1822,0.0075,2.8103,173.6756,-0.009
300,90.0,520.61,232.1831,0.5119,1.1804,0.0073,2.8104,172.5777,-0.0086
301,90.3,519.63,230.9394,0.5123,1.1786,0.0071,2.8104,171.5318,-0.0081
