,z(cm),TMean(K),T_rms(K),ur_rms(m/s),uz_rms(m/s),ur_Mean(m/s),uz_Mean(m/s),uzT_cov((m/s)K),uruz_cov(m/s)
60,18.0,1162.2,472.0805,0.3471,1.2374,0.0242,2.1248,397.2574,-0.0065
61,18.3,1159.5,473.1173,0.3503,1.2498,0.0244,2.144,402.232,-0.0063
62,18.6,1156.8,474.1308,0.3536,1.2611,0.0248,2.1624,406.7357,-0.0075
63,18.9,1154.1,475.1421,0.3569,1.2724,0.0252,2.1808,411.2387,-0.0087
64,19.2,1151.3,476.0987,0.3603,1.2844,0.0253,2.1982,416.0123,-0.0091
65,19.5,1148.1,476.9591,0.3639,1.2975,0.0247,2.2143,421.5622,-0.0081
66,19.8,1145.0,477.818,0.3674,1.3104,0.0242,2.2304,426.892,-0.0072
67,20.1,1141.8,478.6648,0.371,1.3221,0.0239,2.2463,432.1747,-0.0067
68,20.4,1138.6,479.4685,0.3745,1.3309,0.0242,2.262,435.9868,-0.0074
69,20.7,1135.3,480.2708,0.3781,1.3396,0.0244,2.2776,440.2407,-0.0082
70,21.0,1132.1,481.0717,0.3816,1.3483,0.0246,2.2932,444.4683,-0.0089
71,21.3,1128.0,482.1099,0.3848,1.3586,0.0251,2.3058,448.4576,-0.009
72,21.6,1123.9,483.1356,0.388,1.3689,0.0256,2.3184,452.6502,-0.0091
73,21.9,1119.9,484.1694,0.3912,1.3791,0.0261,2.331,456.6131,-0.0092
74,22.2,1115.3,485.304,0.3942,1.3877,0.026,2.3427,460.7867,-0.0085
75,22.5,1110.6,486.4771,0.3972,1.3955,0.0255,2.354,464.6476,-0.0075
76,22.8,1105.8,487.6474,0.4002,1.4032,0.025,2.3652,468.8618,-0.0065
77,23.1,1100.9,488.6614,0.4035,1.4105,0.0244,2.3764,472.5212,-0.0057
78,23.4,1095.6,489.3874,0.4074,1.4166,0.0235,2.3872,475.9837,-0.0052
79,23.7,1090.4,490.1122,0.4112,1.4227,0.0225,2.3981,479.2118,-0.0047
80,24.0,1085.1,490.8462,0.4151,1.4288,0.0216,2.409,482.7941,-0.0042
81,24.3,1079.5,491.2331,0.4189,1.4337,0.0204,2.4182,485.2531,-0.0016
82,24.6,1073.9,491.6198,0.4227,1.4387,0.0192,2.4274,487.7151,0.0009
83,24.9,1068.3,492.0163,0.4265,1.4436,0.018,2.4366,490.3802,0.0035
84,25.2,1062.8,492.2906,0.4297,1.4468,0.0175,2.4452,491.6414,0.0052
85,25.5,1057.2,492.5038,0.4326,1.4492,0.0175,2.4535,492.6598,0.0066
86,25.8,1051.6,492.7271,0.4354,1.4516,0.0174,2.4618,493.7711,0.008
87,26.1,1045.8,492.9097,0.4381,1.4543,0.0171,2.4692,494.9106,0.0099
88,26.4,1039.6,493.0213,0.4405,1.4576,0.0166,2.4748,496.1979,0.0129
89,26.7,1033.4,493.1328,0.4429,1.461,0.0161,2.4804,497.5546,0.0158
90,27.0,1027.2,493.2444,0.4453,1.4643,0.0156,2.4861,498.8781,0.0187
91,27.3,1020.7,493.2849,0.4476,1.4649,0.0162,2.4914,499.028,0.0185
92,27.6,1014.2,493.3255,0.4499,1.4654,0.0169,2.4968,499.1454,0.0182
93,27.9,1007.8,493.366,0.4522,1.466,0.0176,2.5021,499.2836,0.0179
94,28.2,1001.4,493.2646,0.4548,1.4664,0.0179,2.5068,499.2905,0.0182
95,28.5,995.14,493.1024,0.4575,1.4668,0.018,2.5112,499.0044,0.0188
96,28.8,988.87,492.9402,0.4602,1.4671,0.0181,2.5155,498.7975,0.0194
97,29.1,982.7,492.6865,0.463,1.4671,0.0185,2.5195,498.1874,0.0195
98,29.4,976.75,492.2703,0.4658,1.4663,0.0192,2.5226,496.9504,0.0189
99,29.7,970.81,491.8536,0.4686,1.4655,0.02,2.5258,495.6281,0.0183
100,30.0,964.86,491.4367,0.4715,1.4647,0.0207,2.529,494.2691,0.0176
101,30.3,959.48,490.4896,0.4739,1.462,0.0216,2.5329,491.2331,0.0171
102,30.6,954.11,489.5304,0.4764,1.4594,0.0224,2.5367,488.4092,0.0165
103,30.9,948.73,488.5796,0.4788,1.4568,0.0233,2.5405,485.5514,0.016
104,31.2,943.52,487.1961,0.4804,1.4544,0.0237,2.5433,482.0456,0.0157
105,31.5,938.4,485.5924,0.4815,1.4521,0.024,2.5455,478.5028,0.0156
106,31.8,933.28,483.9835,0.4826,1.4498,0.0243,2.5477,474.8825,0.0154
107,32.1,928.26,482.2551,0.4837,1.4472,0.0242,2.5499,470.9298,0.016
108,32.4,923.44,480.3228,0.4846,1.4438,0.0234,2.5521,466.4888,0.0179
109,32.7,918.61,478.3827,0.4855,1.4405,0.0227,2.5542,462.0863,0.0199
110,33.0,913.79,476.4347,0.4864,1.4372,0.0219,2.5563,457.6786,0.0218
111,33.3,909.46,474.3838,0.4877,1.4335,0.0212,2.5579,453.1923,0.0228
112,33.6,905.13,472.324,0.4889,1.4298,0.0206,2.5596,448.5293,0.0238
113,33.9,900.8,470.2446,0.4902,1.4261,0.0199,2.5612,443.971,0.0248
114,34.2,896.72,468.188,0.4911,1.4222,0.0197,2.5629,439.0963,0.0248
115,34.5,892.78,466.1223,0.4918,1.418,0.0196,2.5646,434.0764,0.0244
116,34.8,888.83,464.0474,0.4924,1.4139,0.0196,2.5663,429.0956,0.0239
117,35.1,884.97,462.0498,0.4932,1.4095,0.0194,2.5681,424.0085,0.0235
118,35.4,881.26,460.2065,0.4943,1.4047,0.0188,2.57,418.6618,0.0232
119,35.7,877.56,458.3667,0.4953,1.3998,0.0183,2.5719,413.3034,0.0229
120,36.0,873.86,456.5085,0.4964,1.395,0.0178,2.5737,408.0465,0.0226
121,36.3,870.42,454.8516,0.4968,1.3914,0.0186,2.5752,402.7944,0.021
122,36.6,866.98,453.1777,0.4972,1.3879,0.0193,2.5766,397.5393,0.0193
123,36.9,863.55,451.5086,0.4976,1.3843,0.02,2.578,392.3681,0.0177
124,37.2,860.26,449.8889,0.4982,1.3797,0.0202,2.5809,387.055,0.0168
125,37.5,857.04,448.2968,0.4991,1.3744,0.02,2.5844,381.9658,0.0163
126,37.8,853.83,446.699,0.4999,1.3692,0.0199,2.5879,376.9733,0.0157
127,38.1,850.57,445.0955,0.5005,1.3647,0.0198,2.591,372.1731,0.0151
128,38.4,847.21,443.4636,0.5009,1.3616,0.0197,2.5934,367.9456,0.0145
129,38.7,843.85,441.8371,0.5013,1.3585,0.0196,2.5957,363.8186,0.0139
130,39.0,840.48,440.1931,0.5017,1.3554,0.0196,2.5981,359.6489,0.0133
131,39.3,837.14,438.4404,0.5021,1.3521,0.0198,2.6004,356.0011,0.0129
132,39.6,833.79,436.6921,0.5024,1.3489,0.02,2.6028,352.4114,0.0125
133,39.9,830.45,434.9253,0.5028,1.3456,0.0202,2.6051,348.7947,0.0122
134,40.2,827.15,433.1974,0.5031,1.3429,0.0204,2.6076,345.3237,0.0115
135,40.5,823.88,431.4858,0.5035,1.3404,0.0205,2.6101,341.9908,0.0108
136,40.8,820.6,429.7674,0.5039,1.3378,0.0206,2.6126,338.6004,0.01
137,41.1,817.34,428.0421,0.504,1.3354,0.0207,2.615,335.4559,0.0094
138,41.4,814.11,426.3332,0.5035,1.3332,0.0207,2.6172,332.7113,0.009
139,41.7,810.88,424.6057,0.5031,1.3309,0.0207,2.6194,329.9809,0.0086
140,42.0,807.65,422.8711,0.5026,1.3286,0.0207,2.6216,327.3648,0.0082
141,42.3,804.69,421.1888,0.5027,1.3255,0.0211,2.6251,324.3083,0.0066
142,42.6,801.73,419.5116,0.5027,1.3223,0.0214,2.6287,321.2923,0.0051
143,42.9,798.77,417.8157,0.5028,1.3192,0.0218,2.6322,318.2776,0.0035
144,43.2,796.03,416.1851,0.503,1.3165,0.0218,2.6359,315.5445,0.0029
145,43.5,793.41,414.5841,0.5032,1.314,0.0216,2.6397,312.9356,0.0029
146,43.8,790.79,412.977,0.5033,1.3115,0.0215,2.6435,310.2466,0.0028
147,44.1,788.2,411.3636,0.5035,1.3089,0.0213,2.6474,307.7193,0.0029
148,44.4,785.68,409.7682,0.5035,1.3059,0.0213,2.6515,305.1695,0.0034
149,44.7,783.17,408.1789,0.5036,1.3029,0.0212,2.6556,302.7137,0.0039
150,45.0,780.66,406.571,0.5036,1.2999,0.0211,2.6597,300.1786,0.0044
151,45.3,778.17,405.0309,0.5043,1.2976,0.0206,2.6631,297.3555,0.0049
152,45.6,775.69,403.4724,0.505,1.2953,0.0201,2.6665,294.6226,0.0054
153,45.9,773.21,401.9204,0.5057,1.293,0.0196,2.6698,291.9839,0.006
154,46.2,770.71,400.4248,0.506,1.2897,0.0193,2.6732,288.738,0.0055
155,46.5,768.19,398.9361,0.5062,1.2859,0.0193,2.6764,285.5163,0.0045
156,46.8,765.68,397.4544,0.5063,1.2822,0.0192,2.6797,282.2073,0.0036
157,47.1,763.24,395.9798,0.5066,1.2787,0.0188,2.6826,278.7324,0.0027
158,47.4,760.97,394.5124,0.5071,1.2757,0.0177,2.6845,274.676,0.002
159,47.7,758.69,393.0522,0.5077,1.2728,0.0167,2.6865,270.5793,0.0013
160,48.0,756.42,391.5865,0.5083,1.2698,0.0156,2.6884,266.6405,0.0006
161,48.3,754.46,390.1026,0.5091,1.265,0.0146,2.692,262.8937,0.0
162,48.6,752.51,388.6129,0.5098,1.26,0.0136,2.6956,259.134,-0.0005
163,48.9,750.56,387.1305,0.5106,1.2551,0.0127,2.6992,255.3884,-0.0011
164,49.2,748.45,385.759,0.5107,1.2512,0.0121,2.7017,252.3126,-0.0022
165,49.5,746.25,384.4607,0.5106,1.2478,0.0117,2.7038,249.4892,-0.0035
166,49.8,744.06,383.1579,0.5104,1.2443,0.0112,2.7058,246.7225,-0.0049
167,50.1,741.91,381.89,0.5106,1.2412,0.0109,2.7081,244.3335,-0.006
168,50.4,739.84,380.7099,0.5117,1.239,0.0107,2.7106,242.7897,-0.0065
169,50.7,737.77,379.526,0.5127,1.2367,0.0105,2.7132,241.1824,-0.0069
170,51.0,735.7,378.3385,0.5138,1.2345,0.0103,2.7157,239.6595,-0.0074
171,51.3,733.73,377.2135,0.5139,1.2303,0.0103,2.7194,237.5946,-0.0079
172,51.6,731.77,376.0851,0.5139,1.2262,0.0102,2.723,235.5903,-0.0085
173,51.9,729.8,374.9533,0.514,1.222,0.0102,2.7266,233.6273,-0.0091
174,52.2,727.89,373.8583,0.5137,1.2189,0.0103,2.7292,231.5426,-0.0097
175,52.5,726.01,372.7868,0.5132,1.2164,0.0104,2.7312,229.4215,-0.0104
176,52.8,724.13,371.7123,0.5127,1.2139,0.0105,2.7333,227.2355,-0.011
177,53.1,722.3,370.6481,0.5128,1.2109,0.0105,2.7357,225.1039,-0.0116
178,53.4,720.58,369.6079,0.5139,1.2069,0.0105,2.7388,222.9755,-0.012
179,53.7,718.86,368.5648,0.5151,1.2029,0.0104,2.742,220.7859,-0.0123
180,54.0,717.14,367.5187,0.5163,1.1989,0.0103,2.7452,218.6073,-0.0127
181,54.3,715.44,366.4696,0.5168,1.1962,0.0092,2.7466,216.4725,-0.0127
182,54.6,713.75,365.4176,0.5173,1.1935,0.0082,2.748,214.315,-0.0128
183,54.9,712.05,364.3625,0.5178,1.1908,0.0071,2.7495,212.1185,-0.0128
184,55.2,710.27,363.2355,0.5176,1.1882,0.0067,2.7511,210.4762,-0.0129
185,55.5,708.46,362.0773,0.517,1.1857,0.0066,2.7528,209.0513,-0.0131
186,55.8,706.64,360.9155,0.5165,1.183,0.0065,2.7546,207.4895,-0.0133
187,56.1,704.8,359.736,0.5163,1.18,0.0064,2.7565,206.0188,-0.0134
188,56.4,702.9,358.5248,0.5171,1.1762,0.0066,2.7587,204.6098,-0.0133
189,56.7,701.01,357.2954,0.5178,1.1724,0.0067,2.761,203.0114,-0.0131
190,57.0,699.12,356.0618,0.5185,1.1685,0.0068,2.7632,201.5916,-0.0129
191,57.3,697.39,355.0634,0.5184,1.1658,0.0071,2.7659,200.189,-0.013
192,57.6,695.67,354.048,0.5184,1.163,0.0074,2.7685,198.8376,-0.0131
193,57.9,693.94,353.0439,0.5183,1.1602,0.0076,2.7712,197.4535,-0.0131
194,58.2,692.2,352.1505,0.5182,1.1574,0.0082,2.774,196.7372,-0.0131
195,58.5,690.45,351.3118,0.518,1.1547,0.0088,2.7769,196.3894,-0.013
196,58.8,688.7,350.4711,0.5179,1.152,0.0094,2.7798,196.0517,-0.0129
197,59.1,686.92,349.5998,0.518,1.1498,0.0101,2.7822,195.4512,-0.0126
198,59.4,685.06,348.6402,0.5186,1.1489,0.0108,2.7836,194.567,-0.0122
199,59.7,683.2,347.6924,0.5193,1.1479,0.0114,2.7849,193.7563,-0.0118
200,60.0,681.34,346.7276,0.5199,1.147,0.0121,2.7863,192.8824,-0.0114
201,60.3,679.28,345.8034,0.5198,1.1448,0.0126,2.7892,192.4522,-0.011
202,60.6,677.23,344.8768,0.5197,1.1426,0.0132,2.792,191.9738,-0.0107
203,60.9,675.17,343.9477,0.5196,1.1404,0.0137,2.7948,191.6349,-0.0103
204,61.2,673.07,343.0015,0.5197,1.1397,0.0144,2.7964,191.3271,-0.0107
205,61.5,670.94,342.038,0.5197,1.1399,0.0152,2.7974,191.1124,-0.0114
206,61.8,668.81,341.0865,0.5198,1.14,0.0161,2.7985,190.8352,-0.012
207,62.1,666.7,340.0294,0.5199,1.1398,0.0167,2.7998,190.4733,-0.0122
208,62.4,664.67,338.7772,0.5201,1.1388,0.0167,2.8018,190.0276,-0.0111
209,62.7,662.63,337.5204,0.5204,1.1379,0.0168,2.8038,189.518,-0.01
210,63.0,660.59,336.2588,0.5206,1.137,0.0168,2.8057,189.0826,-0.009
211,63.3,658.55,334.8283,0.5208,1.136,0.0165,2.807,188.2502,-0.0084
212,63.6,656.51,333.3167,0.521,1.135,0.0161,2.8081,187.3543,-0.008
213,63.9,654.47,331.8132,0.5212,1.134,0.0157,2.8092,186.4629,-0.0075
214,64.2,652.43,330.3029,0.5214,1.133,0.0153,2.8102,185.6412,-0.0071
215,64.5,650.4,328.6944,0.5222,1.133,0.0153,2.8117,185.0703,-0.0073
216,64.8,648.37,327.0933,0.523,1.133,0.0154,2.8131,184.4704,-0.0075
217,65.1,646.34,325.4689,0.5239,1.133,0.0154,2.8146,183.9114,-0.0076
218,65.4,644.32,323.8518,0.5247,1.1328,0.0155,2.8161,183.2304,-0.0079
219,65.7,642.4,322.3352,0.5244,1.1307,0.0156,2.8175,182.238,-0.0088
220,66.0,640.48,320.7959,0.5242,1.1285,0.0158,2.8189,181.2509,-0.0097
221,66.3,638.56,319.2648,0.524,1.1264,0.016,2.8203,180.2692,-0.0106
222,66.6,636.64,317.7106,0.5237,1.1242,0.0161,2.8217,179.2929,-0.0116
223,66.9,634.9,316.4016,0.524,1.1234,0.0157,2.8237,178.9329,-0.011
224,67.2,633.17,315.1079,0.5244,1.1228,0.0152,2.8258,178.6882,-0.0102
225,67.5,631.45,313.8089,0.5247,1.1221,0.0147,2.8279,178.3225,-0.0094
226,67.8,629.73,312.506,0.525,1.1214,0.0142,2.83,178.0641,-0.0086
227,68.1,627.92,311.1672,0.5255,1.1211,0.0144,2.8315,177.9445,-0.0076
228,68.4,626.03,309.7967,0.526,1.1212,0.0154,2.8324,178.0326,-0.0064
229,68.7,624.14,308.4202,0.5266,1.1212,0.0163,2.8333,178.1241,-0.0053
230,69.0,622.25,307.0375,0.5271,1.1213,0.0173,2.8342,178.1191,-0.0041
231,69.3,620.36,305.6485,0.5277,1.1214,0.0182,2.8351,178.2174,-0.003
232,69.6,618.42,304.3238,0.5272,1.1212,0.0187,2.836,177.6609,-0.0024
233,69.9,616.47,303.0017,0.5265,1.121,0.0191,2.8369,177.0363,-0.0019
234,70.2,614.52,301.672,0.5259,1.1208,0.0195,2.8378,176.5151,-0.0014
235,70.5,612.57,300.3381,0.5253,1.1205,0.02,2.8387,175.8975,-0.001
236,70.8,610.63,299.0084,0.5247,1.1203,0.0204,2.8397,175.394,-0.0005
237,71.1,609.06,297.9866,0.5254,1.1199,0.0207,2.8418,175.7733,-0.0007
238,71.4,607.48,296.9613,0.5262,1.1195,0.0211,2.8439,176.1876,-0.0008
239,71.7,605.9,295.9307,0.5269,1.119,0.0214,2.846,176.7086,-0.001
240,72.0,604.32,294.8983,0.5277,1.1186,0.0217,2.848,177.1966,-0.0011
241,72.3,602.74,293.8622,0.5284,1.1182,0.0221,2.8501,177.6307,-0.0013
242,72.6,601.29,292.8173,0.529,1.1179,0.0227,2.8513,177.2418,-0.0031
243,72.9,599.85,291.7705,0.5296,1.1178,0.0233,2.8524,176.6879,-0.005
244,73.2,598.41,290.7181,0.5302,1.1175,0.0239,2.8535,176.1371,-0.0069
245,73.5,596.97,289.6636,0.5307,1.1173,0.0245,2.8545,175.7491,-0.0089
246,73.8,595.53,288.6035,0.5313,1.1171,0.0252,2.8556,175.2045,-0.0108
247,74.1,594.14,287.5413,0.5321,1.1169,0.0251,2.8569,174.6014,-0.0111
248,74.4,592.79,286.4734,0.5332,1.1167,0.0245,2.8583,174.0283,-0.01
249,74.7,591.44,285.4015,0.5342,1.1165,0.0238,2.8597,173.459,-0.0088
250,75.0,590.1,284.3255,0.5353,1.1162,0.0232,2.8611,172.8649,-0.0076
251,75.3,588.75,283.2455,0.5363,1.1161,0.0225,2.8625,172.2031,-0.0064
252,75.6,587.41,282.1631,0.5374,1.1158,0.0219,2.8639,171.6165,-0.0052
253,75.9,586.16,281.0872,0.5388,1.1158,0.0217,2.8646,171.1861,-0.0039
254,76.2,584.94,280.0125,0.5404,1.1157,0.0217,2.8652,170.7299,-0.0025
255,76.5,583.71,278.9319,0.5419,1.1156,0.0217,2.8658,170.2039,-0.0012
256,76.8,582.49,277.8471,0.5434,1.1156,0.0217,2.8665,169.6924,0.0002
257,77.1,581.27,276.7598,0.545,1.1155,0.0217,2.8671,169.2408,0.0015
258,77.4,580.05,275.6665,0.5465,1.1154,0.0217,2.8677,168.6906,0.0028
259,77.7,578.79,274.5287,0.5469,1.1154,0.0215,2.8685,168.4409,0.0029
260,78.0,577.52,273.377,0.547,1.1153,0.0212,2.8693,168.2219,0.0027
261,78.3,576.26,272.2205,0.5472,1.1153,0.021,2.8701,167.8762,0.0025
262,78.6,574.99,271.059,0.5474,1.1153,0.0207,2.8709,167.6612,0.0023
263,78.9,573.73,269.8944,0.5476,1.1153,0.0204,2.8717,167.4196,0.0021
264,79.2,572.47,268.7229,0.5477,1.1152,0.0201,2.8725,167.1799,0.0019
265,79.5,571.21,267.5164,0.5477,1.1151,0.0202,2.8731,166.7565,0.0011
266,79.8,569.98,266.2762,0.5475,1.1149,0.0207,2.8734,166.1195,-0.0001
267,80.1,568.74,265.0302,0.5473,1.1147,0.0212,2.8736,165.5687,-0.0013
268,80.4,567.5,263.7783,0.5471,1.1145,0.0216,2.8739,164.8618,-0.0025
269,80.7,566.26,262.5205,0.5468,1.1143,0.0221,2.8742,164.2555,-0.0037
270,81.0,565.03,261.2566,0.5466,1.1141,0.0226,2.8745,163.6213,-0.005
271,81.3,563.79,259.9865,0.5464,1.1139,0.0231,2.8748,163.0165,-0.0062
272,81.6,562.45,258.7489,0.5471,1.1134,0.0231,2.8752,162.1438,-0.007
273,81.9,561.1,257.5112,0.5479,1.1127,0.023,2.8756,161.2008,-0.0077
274,82.2,559.75,256.2694,0.5488,1.1121,0.023,2.876,160.159,-0.0084
275,82.5,558.4,255.0196,0.5496,1.1115,0.023,2.8764,159.2182,-0.0091
276,82.8,557.05,253.7637,0.5505,1.1109,0.0229,2.8768,158.2786,-0.0099
277,83.1,555.7,252.5015,0.5513,1.1102,0.0229,2.8773,157.1844,-0.0106
278,83.4,554.34,251.233,0.5522,1.1096,0.0228,2.8777,156.2758,-0.0113
279,83.7,552.94,249.912,0.5532,1.109,0.0229,2.8775,155.4151,-0.0121
280,84.0,551.53,248.5739,0.5543,1.1083,0.0229,2.8773,154.3827,-0.0129
281,84.3,550.12,247.2286,0.5554,1.1077,0.023,2.8771,153.4497,-0.0136
282,84.6,548.71,245.876,0.5565,1.107,0.0231,2.8768,152.4711,-0.0144
283,84.9,547.3,244.5158,0.5576,1.1063,0.0231,2.8766,151.5368,-0.0152
284,85.2,545.89,243.1481,0.5587,1.1057,0.0232,2.8763,150.5566,-0.016
285,85.5,544.47,241.7726,0.5598,1.105,0.0233,2.8761,149.6498,-0.0168
286,85.8,543.11,240.3581,0.5605,1.1035,0.0233,2.8761,148.4613,-0.0169
287,86.1,541.81,238.8975,0.5606,1.1009,0.0233,2.8766,147.1294,-0.0162
288,86.4,540.52,237.4258,0.5607,1.0982,0.0233,2.8771,145.6699,-0.0156
289,86.7,539.22,235.947,0.5609,1.0955,0.0233,2.8775,144.3944,-0.0149
290,87.0,537.92,234.4568,0.561,1.0929,0.0233,2.878,143.0662,-0.0142
291,87.3,536.62,232.9592,0.5611,1.0902,0.0233,2.8785,141.6393,-0.0136
292,87.6,535.32,231.4498,0.5613,1.0876,0.0233,2.8789,140.3673,-0.0129
293,87.9,534.02,229.9326,0.5614,1.0849,0.0233,2.8794,138.9428,-0.0123
294,88.2,532.74,228.4885,0.5618,1.0824,0.0231,2.8791,137.6883,-0.0112
295,88.5,531.47,227.0837,0.5624,1.0799,0.0228,2.8784,136.5168,-0.0098
296,88.8,530.21,225.6701,0.563,1.0775,0.0225,2.8777,135.2147,-0.0085
297,89.1,528.94,224.2454,0.5636,1.075,0.0223,2.877,134.0396,-0.0071
298,89.4,527.67,222.8138,0.5641,1.0726,0.022,2.8763,132.7628,-0.0058
299,89.7,526.4,221.373,0.5647,1.0701,0.0217,2.8755,131.6368,-0.0044
300,90.0,525.13,219.9204,0.5653,1.0677,0.0214,2.8748,130.3563,-0.0031
301,90.3,523.86,218.4605,0.5659,1.0652,0.0211,2.8741,129.174,-0.0017
302,90.6,522.65,217.0645,0.5665,1.063,0.0211,2.873,127.9265,-0.0014
303,90.9,521.52,215.7568,0.5673,1.0612,0.0214,2.8714,126.7075,-0.0024
