,r(cm),TMean(K),T_rms(K),ur_rms(m/s),uz_rms(m/s),ur_Mean(m/s),uz_Mean(m/s),uzT_cov((m/s)K),uruz_cov(m/s)
115,-12.32,645.93,487.7499,0.5033,0.5072,0.0577,0.8809,125.7432,-0.09
116,-12.29,646.19,487.7499,0.5032,0.5074,0.0575,0.8831,125.7525,-0.09
117,-12.26,646.45,487.7499,0.5032,0.5076,0.0573,0.8853,125.7507,-0.0901
118,-12.22,646.72,487.7499,0.5031,0.5078,0.0572,0.8875,125.7325,-0.0901
119,-12.19,646.98,487.7499,0.503,0.5079,0.057,0.8897,125.7384,-0.0901
120,-12.16,647.24,487.7499,0.5029,0.5081,0.0568,0.8919,125.7331,-0.0902
121,-12.13,647.51,487.7499,0.5029,0.5083,0.0566,0.8941,125.7178,-0.0902
122,-12.1,647.77,487.7499,0.5028,0.5084,0.0564,0.8963,125.7037,-0.0903
123,-12.06,648.03,487.7499,0.5027,0.5086,0.0562,0.8985,125.705,-0.0903
124,-12.03,648.28,487.7397,0.5026,0.5088,0.056,0.9007,125.6937,-0.0904
125,-12.0,648.43,487.6269,0.5024,0.5092,0.0558,0.9025,125.626,-0.0903
126,-11.97,648.58,487.5038,0.5021,0.5096,0.0557,0.9044,125.5742,-0.0903
127,-11.94,648.73,487.391,0.5019,0.51,0.0556,0.9063,125.5055,-0.0902
128,-11.9,648.88,487.2679,0.5017,0.5104,0.0554,0.9081,125.4461,-0.0902
129,-11.87,649.03,487.155,0.5014,0.5107,0.0553,0.91,125.3927,-0.0901
130,-11.84,649.18,487.0318,0.5012,0.5111,0.0552,0.9119,125.3222,-0.0901
131,-11.81,649.33,486.9086,0.5009,0.5115,0.055,0.9137,125.2612,-0.09
132,-11.78,649.48,486.7956,0.5007,0.5119,0.0549,0.9156,125.2061,-0.09
133,-11.74,649.63,486.6724,0.5004,0.5123,0.0548,0.9175,125.134,-0.0899
134,-11.71,649.78,486.5593,0.5002,0.5127,0.0546,0.9193,125.0713,-0.0899
135,-11.68,649.93,486.436,0.5,0.5131,0.0545,0.9212,125.0145,-0.0898
136,-11.65,650.08,486.3229,0.4997,0.5134,0.0544,0.9231,124.9407,-0.0898
137,-11.62,650.23,486.1995,0.4995,0.5138,0.0542,0.9249,124.8763,-0.0897
138,-11.58,650.38,486.0761,0.4992,0.5142,0.0541,0.9268,124.8178,-0.0897
139,-11.55,650.52,485.963,0.499,0.5146,0.0539,0.9287,124.7516,-0.0896
140,-11.52,650.7,485.8498,0.4988,0.5152,0.0538,0.9306,124.7281,-0.0896
141,-11.49,650.93,485.7366,0.4986,0.5161,0.0537,0.9325,124.7682,-0.0897
142,-11.46,651.15,485.6336,0.4984,0.5169,0.0536,0.9345,124.8233,-0.0898
143,-11.42,651.38,485.5306,0.4982,0.5178,0.0535,0.9364,124.8582,-0.0899
144,-11.39,651.6,485.4276,0.498,0.5187,0.0534,0.9384,124.9051,-0.09
145,-11.36,651.83,485.3143,0.4978,0.5196,0.0533,0.9403,124.9482,-0.0901
146,-11.33,652.05,485.2113,0.4977,0.5204,0.0532,0.9423,124.9998,-0.0902
147,-11.3,652.28,485.1082,0.4975,0.5213,0.0531,0.9442,125.0246,-0.0903
148,-11.26,652.5,484.9948,0.4973,0.5222,0.053,0.9462,125.0745,-0.0903
149,-11.23,652.73,484.8917,0.4971,0.523,0.0529,0.9482,125.1141,-0.0904
150,-11.2,652.95,484.7886,0.4969,0.5239,0.0528,0.9501,125.1457,-0.0905
151,-11.17,653.18,484.6855,0.4967,0.5248,0.0527,0.9521,125.1834,-0.0906
152,-11.14,653.4,484.572,0.4965,0.5256,0.0525,0.954,125.2233,-0.0907
153,-11.1,653.63,484.4688,0.4963,0.5265,0.0524,0.956,125.2493,-0.0908
154,-11.07,653.85,484.3656,0.4961,0.5273,0.0523,0.9579,125.294,-0.0909
