Temperature (K),10_cm,5_cm,0_cm
2.06E+03,0.00E+00,0.00E+00,0.00E+00
2.07E+03,0.00E+00,0.00E+00,0.00E+00
2.08E+03,0.00E+00,0.00E+00,0.00E+00
2.09E+03,0.00E+00,0.00E+00,0.00E+00
2.10E+03,0.00E+00,0.00E+00,0.00E+00
2.11E+03,0.00E+00,0.00E+00,0.00E+00
2.12E+03,0.00E+00,0.00E+00,0.00E+00
2.13E+03,0.00E+00,0.00E+00,0.00E+00
2.14E+03,0.00E+00,0.00E+00,0.00E+00
2.15E+03,0.00E+00,0.00E+00,0.00E+00
2.16E+03,0.00E+00,0.00E+00,0.00E+00
2.17E+03,0.00E+00,0.00E+00,0.00E+00
2.18E+03,0.00E+00,0.00E+00,0.00E+00
2.19E+03,0.00E+00,0.00E+00,0.00E+00
2.20E+03,0.00E+00,0.00E+00,0.00E+00
2.21E+03,0.00E+00,0.00E+00,0.00E+00
2.22E+03,0.00E+00,0.00E+00,0.00E+00
2.23E+03,0.00E+00,0.00E+00,0.00E+00
2.24E+03,0.00E+00,0.00E+00,0.00E+00
2.25E+03,0.00E+00,0.00E+00,0.00E+00
2.26E+03,0.00E+00,0.00E+00,0.00E+00
2.27E+03,0.00E+00,0.00E+00,0.00E+00
2.28E+03,0.00E+00,0.00E+00,0.00E+00
2.29E+03,0.00E+00,0.00E+00,0.00E+00
