X(m),Z(m),600kW(Y=0),600kW(Y=0.2275),600kW(Y=0.405),750kW(Y=0),750kW(Y=0.2275),750kW(Y=0.405),900kW(Y=0),900kW(Y=0.2275),900kW(Y=0.405)
0.4,0.8,255.48,206.46,178.21,342.54,296.72,257.33,479.93,422.19,366.51
0.6,0.8,129.63,129.71,117.60,218.18,193.41,170.12,292.65,278.41,243.33
0.8,0.8,55.477,78.3,71.104,109.79,116.86,118.62,161.06,183.44,170.14
0,1,239.89,219.43,180.19,343.17,303.04,276.73,520.15,448.88,409.10
0.1,1,324.74,308.82,228.73,401.38,367.45,319.06,568.85,509.46,449.55
0.2,1,304.53,286.19,236.00,392.01,360.83,325.69,549.48,495.14,456.77
0.4,1,233.23,206.83,186.80,318.91,278.37,252.17,423.24,377.67,343.48
0.6,1,127.78,119.26,105.20,194.61,175.44,146.61,258.92,239.38,206.37
0.8,1,66.198,83.59,74.739,116.63,121.93,115.63,159.01,174.74,164.20
0,1.2,292.39,266.47,172.80,350.56,302.45,230.79,500.45,431.4,317.79
0.1,1.2,306.81,290.98,214.32,363.69,335.56,281.84,510.75,462.88,382.86
0.2,1.2,286.99,269.68,214.17,351.65,330.64,279.54,487.28,441.73,379.98
0.4,1.2,216.98,196.41,163.02,281.10,256.71,210.41,370.78,334.66,283.03
0.6,1.2,142.17,131.97,111.88,195.91,178.65,143.54,244.49,224.12,190.11
0.8,1.2,72.519,81.31,68.973,109.84,111.14,90.593,141.28,143.32,122.81
0,1.4,257.49,233.42,186.45,305.43,280.71,240.25,440.54,399.08,321.90
0.1,1.4,277.51,266.98,203.44,321.29,304.75,261.48,451.96,416.22,348.00
0.2,1.4,256.29,240.71,188.65,305.25,293.82,243.54,425.25,389.09,327.01
0.4,1.4,202.84,184.63,144.87,253.75,237.25,187.83,331.08,304.87,247.24
0.6,1.4,138.95,130.52,105.85,184.59,171.58,132.71,227.74,210.35,171.57
0.8,1.4,76.836,81.92,66.404,105.8,108.88,81.468,133.84,132.71,109.21
0,1.6,240.34,225.28,162.54,283.10,259.83,207.45,404.42,358.51,272.72
0.1,1.6,253.88,241.14,178.51,292.10,277.6,230.71,408.55,374.32,302.17
0.2,1.6,238.76,223.04,170.65,278.57,269.7,220.34,383.13,354.77,291.15
0.4,1.6,191.51,173.38,136.33,233.35,221.25,176.27,300.37,280.03,225.09
0.6,1.6,129.45,124.51,100.95,168.93,161.49,125.89,207.62,196.46,160.77
0.8,1.6,76.034,79.1,62.139,105.82,107.02,78.367,130.90,128.2,105.23
0,1.8,221.54,189.09,160.85,260.61,240.79,202.98,374.24,336.13,261.29
0.1,1.8,235.07,221.9,168.53,266.18,256.95,214.75,369.48,341.38,278.41
0.2,1.8,222.37,210.64,164.25,253.86,249.68,205.75,344.44,324.27,267.71
0.4,1.8,169.33,156.9,118.29,204.11,197.68,154.04,262.74,245.54,193.42
0.6,1.8,115.26,107.7,84.859,151.28,146.33,111.60,187.64,181.59,142.22
0.8,1.8,72.049,68.97,50.398,99.234,97.04,66.893,124.07,118.44,89.503
0,2,210.85,198.71,150.72,244.05,230.31,186.98,347.75,308.9,237.41
0.1,2,219.73,210.18,164.27,245.08,240.19,202.90,341.27,316.64,257.89
0.2,2,209.15,199.34,153.41,235.48,232.79,189.16,320.15,300.18,244.41
0.4,2,169.30,156.27,117.03,197.71,192.68,151.68,252.37,238.74,186.71
0.6,2,120.26,113.69,87.967,149.05,146.37,110.88,179.91,176.78,137.34
0.8,2,76.572,74.94,54.763,98.978,100.39,69.698,120.00,117.95,92.273
0,2.2,194.75,180.02,151.68,224.58,218.18,185.11,319.14,290.99,236.20
0.1,2.2,207.80,198.3,157.69,230.43,227.97,192.51,317.73,297.24,243.95
0.2,2.2,189.65,183.13,140.6,214.78,214.04,176.33,292.16,273.03,223.48
0.4,2.2,159.19,148.4,109.63,185.46,184.15,141.87,233.73,223.8,175.22
0.6,2.2,115.95,109.51,83.796,141.01,142.1,106.16,169.54,168.47,130.50
0.8,2.2,75.834,75.1,55.622,94.819,99.59,67.767,114.35,114.99,88.393
0,2.4,180.70,169.02,146.93,208.75,203.93,178.53,293.34,272.42,225.76
0.1,2.4,191.58,182.45,144.74,215.56,212,178.43,293.50,274.41,223.80
0.2,2.4,185.60,174.71,133.25,205.59,203.46,167.08,274.66,257.8,210.18
0.4,2.4,149.94,138.61,103.22,174.82,172.58,132.13,219.52,209.44,163.69
0.6,2.4,105.83,100.2,73.936,128.12,131.05,94.3,156.75,153.69,116.08
0.8,2.4,75.304,72.8,55.013,92.940,96.7,68.031,110.75,113.24,88.214
0,2.6,173.74,170.25,145.15,196.75,195.14,173.6,272.07,257.72,218.34
0.1,2.6,178.77,167.9,136.23,200.67,197.1,170.79,271.57,254.72,213.94
0.2,2.6,175.18,163.77,127.64,193.06,192.24,161.66,255.03,241.76,200.19
0.4,2.6,135.65,126.15,97.263,157.93,157.4,123.85,197.80,192.14,152.98
0.6,2.6,98.916,90.69,69.103,120.18,122.78,91.034,148.81,145.57,112.72
0.8,2.6,65.234,63.05,48.126,84.416,89.15,62.306,102.93,105.58,79.304
