z,T_cen_avg,T_cen_rms,U_cen_avg,U_cen_rms
9.450000e+01,4.120482e+02,6.134939e+01,2.027481e+00,7.110278e-01
9.600000e+01,4.096035e+02,5.842955e+01,2.024590e+00,6.873811e-01
9.750000e+01,4.075465e+02,5.761549e+01,2.024420e+00,7.274570e-01
9.900000e+01,4.055377e+02,5.458630e+01,2.019036e+00,6.974997e-01
1.005000e+02,4.035534e+02,5.354640e+01,2.016379e+00,7.094201e-01
1.020000e+02,4.016166e+02,5.301381e+01,2.019177e+00,7.524184e-01
1.035000e+02,3.998000e+02,5.125507e+01,2.023772e+00,7.316795e-01
1.050000e+02,3.979511e+02,5.087951e+01,2.018028e+00,7.627027e-01
1.065000e+02,3.959618e+02,4.968294e+01,1.982612e+00,7.486452e-01
1.080000e+02,3.935019e+02,4.770096e+01,1.960216e+00,7.278123e-01
1.095000e+02,3.905613e+02,4.527925e+01,1.951165e+00,7.015685e-01
1.110000e+02,3.879236e+02,4.378309e+01,1.939112e+00,6.801661e-01
1.125000e+02,3.855352e+02,4.294566e+01,1.924598e+00,6.583541e-01
1.140000e+02,3.836335e+02,4.240185e+01,1.909628e+00,6.567807e-01
1.155000e+02,3.824380e+02,4.064407e+01,1.893991e+00,6.153917e-01
1.170000e+02,3.812168e+02,4.038290e+01,1.879299e+00,6.664027e-01
1.185000e+02,3.795387e+02,3.793853e+01,1.881409e+00,6.254647e-01
1.200000e+02,3.778603e+02,3.714706e+01,1.883522e+00,6.810941e-01
1.215000e+02,3.761043e+02,3.613781e+01,1.877760e+00,6.941935e-01
1.230000e+02,3.742577e+02,3.405970e+01,1.862859e+00,6.323532e-01
1.245000e+02,3.724107e+02,3.316415e+01,1.847955e+00,6.487137e-01
1.260000e+02,3.709009e+02,3.169434e+01,1.836697e+00,6.210245e-01
1.275000e+02,3.696021e+02,3.018105e+01,1.827723e+00,5.771949e-01
1.290000e+02,3.683039e+02,2.988245e+01,1.818752e+00,5.987607e-01
1.305000e+02,3.671456e+02,2.960469e+01,1.805920e+00,5.992771e-01
1.320000e+02,3.661388e+02,2.897294e+01,1.788908e+00,5.622523e-01
1.335000e+02,3.651321e+02,2.927380e+01,1.771897e+00,5.805521e-01
1.350000e+02,3.641295e+02,3.037895e+01,1.755151e+00,6.441481e-01
1.365000e+02,3.632545e+02,2.915130e+01,1.746201e+00,5.872706e-01
1.380000e+02,3.623794e+02,2.850739e+01,1.737253e+00,5.731393e-01
1.395000e+02,3.615041e+02,2.848427e+01,1.728303e+00,6.047614e-01
1.410000e+02,3.606187e+02,2.852498e+01,1.719261e+00,6.366559e-01
1.425000e+02,3.597001e+02,2.729943e+01,1.709939e+00,5.773331e-01
1.440000e+02,3.587821e+02,2.655321e+01,1.700615e+00,5.564927e-01
1.455000e+02,3.578632e+02,2.632682e+01,1.691292e+00,5.783132e-01
1.470000e+02,3.569462e+02,2.648064e+01,1.682335e+00,6.284818e-01
1.485000e+02,3.560427e+02,2.500999e+01,1.678287e+00,5.749172e-01
1.500000e+02,3.551396e+02,2.396691e+01,1.674241e+00,5.544700e-01
