r,T_03_avg,T_03_rms,T_30_avg,T_30_rms,T_41_avg,T_41_rms,T_51_avg,T_51_rms,T_61_avg,T_61_rms
1.140000e+01,7.142467e+02,4.426014e+02,4.185760e+02,1.484489e+02,4.177804e+02,1.423006e+02,4.084807e+02,1.161112e+02,4.002679e+02,9.521515e+01
1.200000e+01,6.421520e+02,3.979050e+02,4.024849e+02,1.353731e+02,4.049231e+02,1.350048e+02,3.983785e+02,1.133291e+02,3.925750e+02,9.346144e+01
1.260000e+01,5.700566e+02,3.798734e+02,3.863940e+02,1.261552e+02,3.924409e+02,1.296578e+02,3.890065e+02,1.099853e+02,3.854364e+02,9.013410e+01
1.320000e+01,5.038915e+02,3.336246e+02,3.741875e+02,1.138420e+02,3.822826e+02,1.195461e+02,3.808243e+02,1.028899e+02,3.786358e+02,8.605959e+01
1.380000e+01,4.436530e+02,2.396682e+02,3.624466e+02,1.024127e+02,3.721249e+02,1.110916e+02,3.726418e+02,9.724141e+01,3.718351e+02,8.362829e+01
1.440000e+01,3.834160e+02,1.568647e+02,3.507059e+02,9.320804e+01,3.619668e+02,1.046958e+02,3.644597e+02,9.330321e+01,3.651922e+02,8.185157e+01
1.500000e+01,3.231782e+02,1.131378e+02,3.399481e+02,8.483370e+01,3.530321e+02,9.760091e+01,3.567952e+02,8.539021e+01,3.590932e+02,7.803550e+01
1.560000e+01,3.208974e+02,1.092701e+02,3.311370e+02,7.710256e+01,3.448678e+02,9.159328e+01,3.492947e+02,7.946572e+01,3.530620e+02,7.580726e+01
1.620000e+01,3.158104e+02,8.538110e+01,3.257281e+02,6.687545e+01,3.383108e+02,8.078396e+01,3.432650e+02,7.152401e+01,3.477797e+02,6.983526e+01
1.680000e+01,3.107231e+02,6.210353e+01,3.203193e+02,5.762716e+01,3.317533e+02,7.163393e+01,3.372350e+02,6.506858e+01,3.424972e+02,6.513388e+01
1.740000e+01,3.056364e+02,4.050323e+01,3.149106e+02,4.990429e+01,3.251961e+02,6.484974e+01,3.312054e+02,6.057631e+01,3.372148e+02,6.199305e+01
1.800000e+01,3.026233e+02,2.819436e+01,3.109718e+02,4.267132e+01,3.202762e+02,5.853672e+01,3.264876e+02,5.616843e+01,3.327733e+02,5.803062e+01
1.860000e+01,3.014801e+02,2.124375e+01,3.083584e+02,3.454605e+01,3.168324e+02,5.105391e+01,3.229533e+02,5.074948e+01,3.290898e+02,5.258108e+01
1.920000e+01,3.003366e+02,1.433887e+01,3.057451e+02,2.666081e+01,3.133884e+02,4.435166e+01,3.194189e+02,4.613793e+01,3.254060e+02,4.785749e+01
1.980000e+01,2.991931e+02,7.605723e+00,3.031314e+02,1.931172e+01,3.099443e+02,3.883597e+01,3.158843e+02,4.259670e+01,3.217225e+02,4.409334e+01
2.040000e+01,2.983650e+02,3.337006e+00,3.011139e+02,1.411613e+01,3.070967e+02,3.450526e+01,3.128171e+02,3.951620e+01,3.184211e+02,4.075465e+01
2.100000e+01,2.982895e+02,2.638975e+00,3.005170e+02,1.148570e+01,3.056717e+02,2.962408e+01,3.108648e+02,3.500118e+01,3.160311e+02,3.622006e+01
2.160000e+01,2.982140e+02,1.941136e+00,2.999202e+02,8.868139e+00,3.042466e+02,2.486897e+01,3.089125e+02,3.082326e+01,3.136417e+02,3.213195e+01
2.220000e+01,2.981384e+02,1.243738e+00,2.993234e+02,6.279384e+00,3.028213e+02,2.032945e+01,3.069599e+02,2.713983e+01,3.112515e+02,2.868223e+01
2.280000e+01,2.980629e+02,5.490949e-01,2.987264e+02,3.779116e+00,3.013964e+02,1.618815e+01,3.050074e+02,2.417781e+01,3.088618e+02,2.612461e+01
2.340000e+01,2.980071e+02,8.453081e-02,2.982750e+02,2.087748e+00,3.002543e+02,1.307061e+01,3.033712e+02,2.189905e+01,3.068209e+02,2.428509e+01
2.400000e+01,2.980059e+02,7.031990e-02,2.982278e+02,1.729975e+00,2.999000e+02,1.103537e+01,3.026154e+02,1.917089e+01,3.057505e+02,2.171162e+01
2.460000e+01,2.980046e+02,5.588941e-02,2.981809e+02,1.372330e+00,2.995458e+02,9.009545e+00,3.018593e+02,1.650504e+01,3.046797e+02,1.922571e+01
2.520000e+01,2.980034e+02,4.169550e-02,2.981339e+02,1.014696e+00,2.991918e+02,7.002770e+00,3.011037e+02,1.393655e+01,3.036092e+02,1.686648e+01
2.580000e+01,2.980022e+02,2.753960e-02,2.980870e+02,6.574817e-01,2.988374e+02,5.036518e+00,3.003477e+02,1.153101e+01,3.025390e+02,1.469507e+01
2.640000e+01,2.980010e+02,1.303095e-02,2.980399e+02,3.013291e-01,2.984835e+02,3.188032e+00,2.995918e+02,9.414562e+00,3.014683e+02,1.280699e+01
2.700000e+01,2.980002e+02,2.838738e-03,2.980060e+02,5.631141e-02,2.982200e+02,2.031638e+00,2.990096e+02,7.901529e+00,3.006027e+02,1.129667e+01
2.760000e+01,2.980001e+02,2.361842e-03,2.980052e+02,4.822052e-02,2.981883e+02,1.741413e+00,2.988701e+02,6.843462e+00,3.002605e+02,9.853897e+00
2.820000e+01,2.980001e+02,1.895899e-03,2.980042e+02,3.991654e-02,2.981566e+02,1.451269e+00,2.987306e+02,5.786202e+00,2.999183e+02,8.415631e+00
2.880000e+01,2.980001e+02,1.795531e-03,2.980033e+02,3.151772e-02,2.981248e+02,1.161221e+00,2.985911e+02,4.730333e+00,2.995760e+02,6.985569e+00
2.940000e+01,2.980001e+02,1.317469e-03,2.980024e+02,2.340488e-02,2.980931e+02,8.714036e-01,2.984518e+02,3.677009e+00,2.992339e+02,5.569508e+00
3.000000e+01,2.980000e+02,8.624346e-04,2.980016e+02,1.518387e-02,2.980614e+02,5.814597e-01,2.983125e+02,2.629452e+00,2.988916e+02,4.181119e+00
