r,T_03_avg,T_03_rms,T_30_avg,T_30_rms,T_41_avg,T_41_rms,T_51_avg,T_51_rms,T_61_avg,T_61_rms
1.080000e+01,8.016901e+02,5.054230e+02,4.613972e+02,2.055057e+02,4.182887e+02,1.342160e+02,3.994940e+02,1.011650e+02,3.959051e+02,9.097805e+01
1.140000e+01,7.387206e+02,4.911948e+02,4.528814e+02,2.000900e+02,4.100843e+02,1.303958e+02,3.939014e+02,9.820338e+01,3.904513e+02,8.651679e+01
1.200000e+01,6.726871e+02,4.856785e+02,4.441669e+02,1.984015e+02,4.024527e+02,1.293864e+02,3.885581e+02,9.722386e+01,3.847011e+02,8.292907e+01
1.260000e+01,6.074245e+02,4.336199e+02,4.342873e+02,1.908259e+02,3.968520e+02,1.258916e+02,3.835524e+02,9.455433e+01,3.783510e+02,7.816800e+01
1.320000e+01,5.420705e+02,3.997666e+02,4.244145e+02,1.855320e+02,3.909339e+02,1.217696e+02,3.788427e+02,9.197502e+01,3.723667e+02,7.401378e+01
1.380000e+01,4.762960e+02,3.310517e+02,4.145501e+02,1.781650e+02,3.847095e+02,1.185272e+02,3.743454e+02,9.080714e+01,3.665843e+02,7.149352e+01
1.440000e+01,4.148982e+02,2.590796e+02,4.038289e+02,1.633574e+02,3.788193e+02,1.138070e+02,3.694234e+02,8.699966e+01,3.614842e+02,6.816862e+01
1.500000e+01,3.565550e+02,1.936832e+02,3.929841e+02,1.526199e+02,3.730383e+02,1.118636e+02,3.644874e+02,8.497574e+01,3.565719e+02,6.618871e+01
1.560000e+01,3.248722e+02,1.273031e+02,3.831379e+02,1.441134e+02,3.674365e+02,1.081963e+02,3.595706e+02,8.191289e+01,3.519799e+02,6.389981e+01
1.620000e+01,3.123551e+02,7.891430e+01,3.738086e+02,1.320197e+02,3.615239e+02,1.017591e+02,3.544302e+02,7.739696e+01,3.474247e+02,6.010225e+01
1.680000e+01,3.037684e+02,4.601579e+01,3.648664e+02,1.221190e+02,3.555006e+02,9.708848e+01,3.497030e+02,7.452504e+01,3.434575e+02,5.793781e+01
1.740000e+01,2.998566e+02,1.550361e+01,3.563844e+02,1.134285e+02,3.493456e+02,9.167107e+01,3.454669e+02,7.211060e+01,3.401896e+02,5.645370e+01
1.800000e+01,2.984728e+02,4.748424e+00,3.495442e+02,1.072756e+02,3.433476e+02,8.537276e+01,3.414566e+02,6.912442e+01,3.377147e+02,5.546873e+01
1.860000e+01,2.981050e+02,1.095578e+00,3.433636e+02,1.033601e+02,3.374126e+02,8.083146e+01,3.375372e+02,6.746445e+01,3.355587e+02,5.547807e+01
1.920000e+01,2.980278e+02,3.396427e-01,3.372350e+02,9.582401e+01,3.329685e+02,7.676384e+01,3.341885e+02,6.412364e+01,3.334786e+02,5.376842e+01
1.980000e+01,2.980040e+02,4.966484e-02,3.311162e+02,9.044670e+01,3.287986e+02,7.487885e+01,3.309449e+02,6.168652e+01,3.314124e+02,5.304746e+01
2.040000e+01,2.980002e+02,2.678493e-03,3.259740e+02,8.252005e+01,3.255076e+02,7.069876e+01,3.277830e+02,5.629442e+01,3.292363e+02,5.033219e+01
2.100000e+01,2.980001e+02,9.310098e-04,3.210149e+02,7.601788e+01,3.223810e+02,6.746182e+01,3.246367e+02,5.230277e+01,3.270393e+02,4.847328e+01
2.160000e+01,2.980000e+02,0.000000e+00,3.171528e+02,6.747817e+01,3.194833e+02,6.089990e+01,3.218848e+02,4.907847e+01,3.247955e+02,4.550831e+01
2.220000e+01,2.980000e+02,0.000000e+00,3.137704e+02,5.925630e+01,3.166852e+02,5.428256e+01,3.193062e+02,4.654954e+01,3.225308e+02,4.290388e+01
2.280000e+01,2.980000e+02,0.000000e+00,3.108520e+02,5.292239e+01,3.143059e+02,5.019548e+01,3.168354e+02,4.367388e+01,3.204287e+02,4.114377e+01
2.340000e+01,2.980000e+02,0.000000e+00,3.086425e+02,4.659785e+01,3.125667e+02,4.733919e+01,3.145304e+02,3.920354e+01,3.185754e+02,3.925606e+01
2.400000e+01,2.980000e+02,0.000000e+00,3.064331e+02,4.248414e+01,3.108275e+02,4.623722e+01,3.122255e+02,3.621277e+01,3.167221e+02,3.858433e+01
2.460000e+01,2.980000e+02,0.000000e+00,3.047193e+02,3.559509e+01,3.094931e+02,4.301432e+01,3.105944e+02,3.327154e+01,3.149495e+02,3.590106e+01
2.520000e+01,2.980000e+02,0.000000e+00,3.030431e+02,2.952218e+01,3.081891e+02,4.038474e+01,3.090144e+02,3.120527e+01,3.131831e+02,3.382443e+01
2.580000e+01,2.980000e+02,0.000000e+00,3.015810e+02,2.464517e+01,3.068489e+02,3.751057e+01,3.076206e+02,2.982181e+01,3.114646e+02,3.189881e+01
2.640000e+01,2.980000e+02,0.000000e+00,3.006500e+02,1.881821e+01,3.054176e+02,3.228406e+01,3.066897e+02,2.800817e+01,3.098649e+02,2.873303e+01
2.700000e+01,2.980000e+02,0.000000e+00,2.997191e+02,1.339381e+01,3.039862e+02,2.795434e+01,3.057588e+02,2.678564e+01,3.082651e+02,2.649414e+01
2.760000e+01,2.980000e+02,0.000000e+00,2.990848e+02,9.750065e+00,3.026925e+02,2.369280e+01,3.048571e+02,2.520753e+01,3.069278e+02,2.486949e+01
2.820000e+01,2.980000e+02,0.000000e+00,2.988057e+02,7.633684e+00,3.015634e+02,1.854681e+01,3.039904e+02,2.290968e+01,3.059039e+02,2.324120e+01
2.880000e+01,2.980000e+02,0.000000e+00,2.985265e+02,6.155351e+00,3.004345e+02,1.397854e+01,3.031235e+02,2.116349e+01,3.048799e+02,2.212430e+01
2.940000e+01,2.980000e+02,0.000000e+00,2.983430e+02,5.519774e+00,2.996001e+02,1.067337e+01,3.023076e+02,1.923967e+01,3.039890e+02,2.081700e+01
3.000000e+01,2.980000e+02,0.000000e+00,2.982914e+02,4.874723e+00,2.991729e+02,7.912458e+00,3.015614e+02,1.656111e+01,3.032817e+02,1.884297e+01
