edges of bins (ppm),center of bins (ppm),pdf 2.5D 20.9% OI 0cm,pdf 2.5D 20.9% OI 1cm,pdf 2.5D 20.9% OI 2cm,pdf 2.5D 20.9% OI 3cm,pdf 2.5D 20.9% OI 4cm,pdf 2.5D 20.9% OI 5cm,pdf 2.5D 20.9% OI 6cm,pdf 2.5D 20.9% OI 7cm,pdf 2.5D 20.9% OI 8cm,pdf 2.5D 20.9% OI 9cm,pdf 2.5D 20.9% OI 10cm,pdf 2.5D 20.9% OI 11cm,pdf 2.5D 20.9% OI 12cm,pdf 2.5D 20.9% OI 13cm,pdf 2.5D 20.9% OI 14cm,pdf 2.5D 20.9% OI 15cm
1.6225,1.6407,0.0844,0.0728,0.0547,0.0459,0.0337,0.0239,0.0164,0.0119,0.0094,0.0068,0.0049,0.0031,0.0018,0.0008,0.0002,0.0001
1.6589,1.6772,0.0761,0.0761,0.0563,0.0429,0.0310,0.0232,0.0165,0.0121,0.0101,0.0072,0.0039,0.0027,0.0014,0.0008,0.0002,0.0000
1.6954,1.7136,0.0812,0.0692,0.0530,0.0420,0.0324,0.0243,0.0154,0.0118,0.0088,0.0061,0.0037,0.0032,0.0014,0.0008,0.0001,0.0000
1.7318,1.7501,0.0784,0.0673,0.0518,0.0406,0.0328,0.0237,0.0154,0.0100,0.0091,0.0066,0.0044,0.0024,0.0018,0.0010,0.0002,0.0001
1.7683,1.7865,0.0759,0.0681,0.0537,0.0402,0.0302,0.0235,0.0142,0.0104,0.0081,0.0071,0.0026,0.0021,0.0013,0.0007,0.0001,0.0001
1.8048,1.8230,0.0749,0.0656,0.0524,0.0405,0.0314,0.0209,0.0153,0.0098,0.0075,0.0053,0.0035,0.0032,0.0010,0.0005,0.0002,0.0001
1.8412,1.8595,0.0742,0.0659,0.0492,0.0380,0.0299,0.0192,0.0134,0.0101,0.0083,0.0063,0.0028,0.0029,0.0013,0.0009,0.0001,0.0000
1.8777,1.8959,0.0722,0.0634,0.0509,0.0386,0.0283,0.0219,0.0136,0.0099,0.0071,0.0055,0.0031,0.0018,0.0009,0.0005,0.0001,0.0002
1.9142,1.9324,0.0683,0.0650,0.0479,0.0367,0.0307,0.0197,0.0136,0.0085,0.0072,0.0054,0.0027,0.0026,0.0015,0.0009,0.0000,0.0002
1.9506,1.9688,0.0674,0.0617,0.0483,0.0381,0.0288,0.0209,0.0124,0.0100,0.0064,0.0051,0.0030,0.0021,0.0012,0.0006,0.0001,0.0001
1.9871,2.0053,0.0687,0.0591,0.0471,0.0365,0.0275,0.0194,0.0118,0.0089,0.0070,0.0051,0.0027,0.0018,0.0013,0.0008,0.0000,0.0001
2.0235,2.0418,0.0661,0.0588,0.0466,0.0355,0.0259,0.0193,0.0121,0.0091,0.0064,0.0037,0.0027,0.0018,0.0013,0.0009,0.0000,0.0001
2.0600,2.0782,0.0638,0.0570,0.0461,0.0357,0.0257,0.0190,0.0124,0.0083,0.0065,0.0050,0.0023,0.0017,0.0011,0.0006,0.0002,0.0001
2.0964,2.1147,0.0636,0.0557,0.0451,0.0351,0.0267,0.0180,0.0111,0.0096,0.0062,0.0050,0.0029,0.0020,0.0010,0.0005,0.0002,0.0001
2.1329,2.1511,0.0625,0.0578,0.0441,0.0342,0.0251,0.0192,0.0123,0.0096,0.0066,0.0046,0.0022,0.0019,0.0010,0.0004,0.0002,0.0001
2.1694,2.1876,0.0633,0.0577,0.0437,0.0346,0.0255,0.0192,0.0106,0.0081,0.0056,0.0051,0.0023,0.0023,0.0009,0.0005,0.0001,0.0000
2.2058,2.2241,0.0587,0.0524,0.0436,0.0332,0.0248,0.0169,0.0098,0.0074,0.0056,0.0044,0.0026,0.0013,0.0009,0.0006,0.0000,0.0001
2.2423,2.2605,0.0591,0.0535,0.0422,0.0328,0.0256,0.0177,0.0106,0.0078,0.0063,0.0041,0.0020,0.0014,0.0009,0.0005,0.0000,0.0001
2.2788,2.2970,0.0569,0.0543,0.0419,0.0326,0.0240,0.0181,0.0106,0.0082,0.0055,0.0045,0.0024,0.0014,0.0012,0.0006,0.0000,0.0002
2.3152,2.3334,0.0595,0.0508,0.0425,0.0325,0.0235,0.0175,0.0106,0.0078,0.0054,0.0045,0.0019,0.0010,0.0009,0.0007,0.0001,0.0002
2.3517,2.3699,0.0539,0.0493,0.0423,0.0318,0.0233,0.0166,0.0110,0.0069,0.0051,0.0040,0.0018,0.0011,0.0008,0.0006,0.0001,0.0002
2.3881,2.4064,0.0537,0.0495,0.0407,0.0309,0.0239,0.0154,0.0102,0.0074,0.0054,0.0038,0.0016,0.0012,0.0008,0.0006,0.0001,0.0002
2.4246,2.4428,0.0555,0.0487,0.0387,0.0301,0.0219,0.0161,0.0097,0.0071,0.0055,0.0039,0.0014,0.0014,0.0006,0.0005,0.0000,0.0000
2.4611,2.4793,0.0519,0.0480,0.0383,0.0298,0.0223,0.0175,0.0099,0.0073,0.0053,0.0037,0.0016,0.0014,0.0006,0.0007,0.0001,0.0002
2.4975,2.5157,0.0529,0.0490,0.0398,0.0301,0.0208,0.0143,0.0091,0.0079,0.0043,0.0036,0.0020,0.0016,0.0006,0.0006,0.0000,0.0001
2.5340,2.5522,0.0505,0.0465,0.0383,0.0305,0.0215,0.0160,0.0100,0.0070,0.0040,0.0034,0.0019,0.0007,0.0009,0.0003,0.0001,0.0001
2.5704,2.5887,0.0496,0.0450,0.0374,0.0282,0.0206,0.0151,0.0106,0.0074,0.0045,0.0033,0.0016,0.0014,0.0008,0.0006,0.0001,0.0002
2.6069,2.6251,0.0491,0.0451,0.0377,0.0291,0.0205,0.0157,0.0094,0.0070,0.0047,0.0035,0.0017,0.0013,0.0006,0.0007,0.0000,0.0001
2.6433,2.6616,0.0467,0.0434,0.0369,0.0291,0.0202,0.0139,0.0100,0.0056,0.0044,0.0037,0.0014,0.0008,0.0005,0.0004,0.0001,0.0002
2.6798,2.6980,0.0477,0.0434,0.0368,0.0291,0.0208,0.0148,0.0088,0.0068,0.0040,0.0033,0.0013,0.0012,0.0005,0.0003,0.0000,0.0001
2.7163,2.7345,0.0462,0.0415,0.0348,0.0254,0.0206,0.0144,0.0095,0.0069,0.0046,0.0031,0.0014,0.0010,0.0005,0.0002,0.0001,0.0003
2.7527,2.7710,0.0452,0.0419,0.0353,0.0261,0.0190,0.0147,0.0100,0.0067,0.0046,0.0030,0.0013,0.0014,0.0005,0.0003,0.0001,0.0001
2.7892,2.8074,0.0431,0.0412,0.0344,0.0262,0.0204,0.0130,0.0084,0.0065,0.0041,0.0035,0.0013,0.0013,0.0006,0.0006,0.0001,0.0002
2.8256,2.8439,0.0425,0.0394,0.0355,0.0252,0.0186,0.0131,0.0087,0.0067,0.0040,0.0029,0.0011,0.0015,0.0007,0.0004,0.0000,0.0003
2.8621,2.8803,0.0421,0.0381,0.0337,0.0275,0.0174,0.0127,0.0092,0.0068,0.0042,0.0035,0.0011,0.0010,0.0007,0.0004,0.0001,0.0001
2.8986,2.9168,0.0409,0.0363,0.0337,0.0258,0.0180,0.0134,0.0080,0.0058,0.0037,0.0030,0.0013,0.0013,0.0006,0.0006,0.0001,0.0001
2.9350,2.9533,0.0411,0.0370,0.0323,0.0256,0.0189,0.0124,0.0087,0.0060,0.0040,0.0027,0.0013,0.0008,0.0003,0.0003,0.0000,0.0002
2.9715,2.9897,0.0387,0.0353,0.0326,0.0258,0.0183,0.0127,0.0072,0.0054,0.0039,0.0030,0.0013,0.0010,0.0006,0.0003,0.0001,0.0001
3.0079,3.0262,0.0380,0.0371,0.0313,0.0233,0.0174,0.0118,0.0080,0.0059,0.0029,0.0029,0.0014,0.0010,0.0005,0.0005,0.0000,0.0001
3.0444,3.0626,0.0374,0.0357,0.0313,0.0232,0.0161,0.0115,0.0076,0.0059,0.0031,0.0033,0.0012,0.0009,0.0004,0.0004,0.0002,0.0002
3.0809,3.0991,0.0380,0.0349,0.0309,0.0223,0.0174,0.0119,0.0081,0.0052,0.0031,0.0031,0.0012,0.0007,0.0005,0.0003,0.0000,0.0002
3.1173,3.1356,0.0365,0.0332,0.0306,0.0221,0.0163,0.0124,0.0080,0.0053,0.0031,0.0022,0.0010,0.0008,0.0005,0.0003,0.0001,0.0001
3.1538,3.1720,0.0359,0.0330,0.0304,0.0225,0.0163,0.0110,0.0077,0.0057,0.0030,0.0024,0.0010,0.0009,0.0006,0.0004,0.0001,0.0002
3.1902,3.2085,0.0341,0.0334,0.0298,0.0224,0.0173,0.0113,0.0079,0.0050,0.0028,0.0025,0.0009,0.0008,0.0005,0.0005,0.0000,0.0002
3.2267,3.2449,0.0333,0.0319,0.0278,0.0218,0.0172,0.0112,0.0074,0.0045,0.0034,0.0021,0.0012,0.0009,0.0006,0.0003,0.0001,0.0001
3.2632,3.2814,0.0354,0.0312,0.0282,0.0214,0.0152,0.0114,0.0075,0.0054,0.0036,0.0025,0.0010,0.0005,0.0004,0.0004,0.0001,0.0001
3.2996,3.3179,0.0315,0.0307,0.0295,0.0194,0.0155,0.0112,0.0067,0.0051,0.0029,0.0024,0.0011,0.0007,0.0004,0.0003,0.0000,0.0002
3.3361,3.3543,0.0330,0.0311,0.0298,0.0212,0.0150,0.0103,0.0072,0.0039,0.0034,0.0021,0.0010,0.0009,0.0005,0.0002,0.0002,0.0002
3.3725,3.3908,0.0314,0.0302,0.0264,0.0217,0.0152,0.0102,0.0070,0.0049,0.0032,0.0021,0.0009,0.0008,0.0004,0.0003,0.0000,0.0002
3.4090,3.4272,0.0304,0.0303,0.0268,0.0186,0.0162,0.0094,0.0072,0.0046,0.0028,0.0021,0.0008,0.0010,0.0003,0.0004,0.0000,0.0002
3.4455,3.4637,0.0305,0.0289,0.0284,0.0193,0.0147,0.0095,0.0062,0.0044,0.0030,0.0029,0.0008,0.0005,0.0004,0.0003,0.0001,0.0001
3.4819,3.5002,0.0278,0.0284,0.0261,0.0174,0.0152,0.0106,0.0067,0.0037,0.0030,0.0021,0.0010,0.0005,0.0004,0.0003,0.0000,0.0000
3.5184,3.5366,0.0305,0.0261,0.0255,0.0186,0.0134,0.0097,0.0062,0.0049,0.0032,0.0020,0.0008,0.0006,0.0006,0.0004,0.0001,0.0001
3.5548,3.5731,0.0273,0.0263,0.0244,0.0174,0.0152,0.0104,0.0064,0.0045,0.0028,0.0021,0.0008,0.0004,0.0004,0.0003,0.0001,0.0001
3.5913,3.6095,0.0281,0.0267,0.0251,0.0160,0.0136,0.0091,0.0064,0.0037,0.0029,0.0020,0.0008,0.0007,0.0003,0.0005,0.0000,0.0000
3.6278,3.6460,0.0266,0.0261,0.0253,0.0172,0.0141,0.0089,0.0071,0.0039,0.0026,0.0023,0.0009,0.0008,0.0004,0.0003,0.0001,0.0001
3.6642,3.6825,0.0267,0.0241,0.0239,0.0175,0.0143,0.0087,0.0060,0.0040,0.0025,0.0020,0.0006,0.0005,0.0004,0.0003,0.0000,0.0001
3.7007,3.7189,0.0246,0.0243,0.0243,0.0178,0.0124,0.0095,0.0068,0.0037,0.0032,0.0021,0.0007,0.0007,0.0003,0.0003,0.0001,0.0001
3.7371,3.7554,0.0258,0.0240,0.0243,0.0144,0.0135,0.0084,0.0061,0.0032,0.0022,0.0022,0.0009,0.0008,0.0003,0.0001,0.0001,0.0001
3.7736,3.7918,0.0236,0.0256,0.0225,0.0159,0.0132,0.0086,0.0062,0.0036,0.0025,0.0015,0.0006,0.0006,0.0003,0.0002,0.0000,0.0001
3.8101,3.8283,0.0242,0.0250,0.0223,0.0159,0.0125,0.0080,0.0066,0.0039,0.0026,0.0019,0.0008,0.0005,0.0004,0.0003,0.0002,0.0001
3.8465,3.8648,0.0231,0.0224,0.0236,0.0149,0.0128,0.0075,0.0058,0.0035,0.0024,0.0015,0.0008,0.0004,0.0003,0.0003,0.0001,0.0000
3.8830,3.9012,0.0240,0.0230,0.0219,0.0151,0.0129,0.0080,0.0061,0.0034,0.0027,0.0017,0.0006,0.0007,0.0003,0.0002,0.0001,0.0000
3.9194,3.9377,0.0217,0.0222,0.0212,0.0150,0.0119,0.0079,0.0058,0.0034,0.0025,0.0021,0.0007,0.0005,0.0004,0.0003,0.0001,0.0000
3.9559,3.9741,0.0226,0.0227,0.0207,0.0155,0.0126,0.0071,0.0050,0.0041,0.0025,0.0020,0.0006,0.0003,0.0005,0.0002,0.0001,0.0000
3.9924,4.0106,0.0227,0.0218,0.0213,0.0152,0.0121,0.0072,0.0048,0.0034,0.0020,0.0023,0.0008,0.0004,0.0003,0.0002,0.0000,0.0001
4.0288,4.0471,0.0186,0.0215,0.0200,0.0140,0.0117,0.0082,0.0056,0.0040,0.0028,0.0018,0.0005,0.0006,0.0003,0.0003,0.0001,0.0000
4.0653,4.0835,0.0209,0.0204,0.0208,0.0142,0.0115,0.0071,0.0051,0.0039,0.0023,0.0019,0.0007,0.0005,0.0002,0.0002,0.0001,0.0001
4.1018,4.1200,0.0191,0.0190,0.0203,0.0147,0.0115,0.0070,0.0055,0.0032,0.0020,0.0015,0.0007,0.0007,0.0001,0.0003,0.0001,0.0001
4.1382,4.1564,0.0181,0.0200,0.0203,0.0151,0.0104,0.0066,0.0043,0.0026,0.0015,0.0017,0.0007,0.0003,0.0003,0.0002,0.0001,0.0000
4.1747,4.1929,0.0193,0.0196,0.0205,0.0147,0.0104,0.0064,0.0060,0.0030,0.0016,0.0011,0.0009,0.0003,0.0004,0.0002,0.0000,0.0000
4.2111,4.2294,0.0189,0.0181,0.0190,0.0131,0.0115,0.0066,0.0053,0.0030,0.0017,0.0016,0.0007,0.0002,0.0003,0.0002,0.0001,0.0000
4.2476,4.2658,0.0183,0.0190,0.0185,0.0128,0.0103,0.0078,0.0053,0.0035,0.0018,0.0019,0.0009,0.0004,0.0003,0.0003,0.0000,0.0000
4.2840,4.3023,0.0182,0.0170,0.0180,0.0133,0.0106,0.0065,0.0054,0.0035,0.0029,0.0017,0.0007,0.0004,0.0003,0.0003,0.0001,0.0000
4.3205,4.3387,0.0175,0.0187,0.0201,0.0120,0.0103,0.0065,0.0055,0.0030,0.0024,0.0012,0.0007,0.0002,0.0002,0.0003,0.0000,0.0000
4.3570,4.3752,0.0177,0.0175,0.0199,0.0135,0.0105,0.0060,0.0048,0.0031,0.0016,0.0015,0.0008,0.0003,0.0003,0.0002,0.0001,0.0000
4.3934,4.4117,0.0159,0.0163,0.0175,0.0118,0.0089,0.0057,0.0050,0.0030,0.0018,0.0011,0.0006,0.0004,0.0002,0.0003,0.0002,0.0001
4.4299,4.4481,0.0164,0.0158,0.0177,0.0115,0.0099,0.0066,0.0049,0.0032,0.0019,0.0014,0.0006,0.0005,0.0002,0.0001,0.0001,0.0000
4.4664,4.4846,0.0157,0.0188,0.0169,0.0114,0.0089,0.0055,0.0055,0.0033,0.0017,0.0015,0.0007,0.0004,0.0003,0.0002,0.0001,0.0001
4.5028,4.5210,0.0154,0.0163,0.0167,0.0124,0.0106,0.0055,0.0049,0.0026,0.0018,0.0010,0.0007,0.0004,0.0002,0.0001,0.0000,0.0001
4.5393,4.5575,0.0134,0.0169,0.0162,0.0117,0.0079,0.0055,0.0047,0.0026,0.0013,0.0013,0.0007,0.0003,0.0002,0.0001,0.0000,0.0001
4.5757,4.5940,0.0148,0.0145,0.0164,0.0111,0.0089,0.0054,0.0044,0.0026,0.0017,0.0011,0.0008,0.0003,0.0001,0.0001,0.0001,0.0000
4.6122,4.6304,0.0141,0.0154,0.0152,0.0109,0.0081,0.0059,0.0048,0.0032,0.0018,0.0011,0.0007,0.0004,0.0002,0.0001,0.0000,0.0000
4.6486,4.6669,0.0149,0.0163,0.0147,0.0103,0.0083,0.0050,0.0044,0.0026,0.0016,0.0012,0.0005,0.0004,0.0003,0.0003,0.0000,0.0001
4.6851,4.7033,0.0141,0.0147,0.0144,0.0121,0.0088,0.0060,0.0051,0.0027,0.0017,0.0012,0.0007,0.0003,0.0001,0.0002,0.0001,0.0000
4.7216,4.7398,0.0144,0.0140,0.0159,0.0116,0.0078,0.0051,0.0046,0.0028,0.0018,0.0011,0.0004,0.0002,0.0002,0.0001,0.0000,0.0000
4.7580,4.7763,0.0137,0.0136,0.0152,0.0092,0.0085,0.0048,0.0048,0.0026,0.0017,0.0012,0.0009,0.0002,0.0003,0.0001,0.0000,0.0000
4.7945,4.8127,0.0139,0.0144,0.0140,0.0119,0.0082,0.0051,0.0041,0.0024,0.0020,0.0009,0.0006,0.0002,0.0002,0.0002,0.0000,0.0000
4.8309,4.8492,0.0125,0.0146,0.0135,0.0109,0.0076,0.0046,0.0043,0.0022,0.0016,0.0010,0.0006,0.0003,0.0002,0.0001,0.0000,0.0000
4.8674,4.8856,0.0141,0.0140,0.0139,0.0100,0.0080,0.0045,0.0046,0.0021,0.0017,0.0012,0.0005,0.0001,0.0002,0.0002,0.0001,0.0000
4.9039,4.9221,0.0127,0.0141,0.0152,0.0107,0.0075,0.0049,0.0037,0.0026,0.0014,0.0008,0.0006,0.0003,0.0003,0.0001,0.0000,0.0001
4.9403,4.9586,0.0123,0.0135,0.0129,0.0104,0.0066,0.0052,0.0043,0.0025,0.0010,0.0012,0.0006,0.0002,0.0002,0.0001,0.0000,0.0000
4.9768,4.9950,0.0126,0.0117,0.0132,0.0101,0.0077,0.0050,0.0046,0.0024,0.0016,0.0008,0.0004,0.0002,0.0002,0.0002,0.0000,0.0000
5.0133,5.0315,0.0124,0.0123,0.0122,0.0108,0.0072,0.0041,0.0046,0.0017,0.0010,0.0010,0.0008,0.0002,0.0002,0.0001,0.0000,0.0000
5.0497,5.0679,0.0116,0.0130,0.0117,0.0093,0.0071,0.0044,0.0037,0.0025,0.0013,0.0009,0.0007,0.0003,0.0001,0.0002,0.0000,0.0001
5.0862,5.1044,0.0113,0.0123,0.0128,0.0101,0.0063,0.0054,0.0039,0.0021,0.0013,0.0013,0.0006,0.0004,0.0001,0.0001,0.0000,0.0000
5.1226,5.1409,0.0110,0.0116,0.0112,0.0103,0.0067,0.0042,0.0040,0.0020,0.0013,0.0007,0.0006,0.0003,0.0002,0.0001,0.0000,0.0000
5.1591,5.1773,0.0106,0.0134,0.0121,0.0101,0.0074,0.0048,0.0042,0.0023,0.0012,0.0009,0.0004,0.0003,0.0003,0.0002,0.0000,0.0000
5.1955,5.2138,0.0101,0.0117,0.0122,0.0097,0.0062,0.0044,0.0040,0.0022,0.0009,0.0011,0.0008,0.0001,0.0001,0.0001,0.0000,0.0000
5.2320,5.2502,0.0111,0.0120,0.0121,0.0089,0.0065,0.0047,0.0038,0.0020,0.0010,0.0008,0.0006,0.0003,0.0002,0.0002,0.0000,0.0000
5.2685,5.2867,0.0095,0.0113,0.0118,0.0078,0.0064,0.0036,0.0041,0.0015,0.0013,0.0009,0.0004,0.0002,0.0001,0.0002,0.0000,0.0000
5.3049,5.3232,0.0092,0.0099,0.0111,0.0084,0.0062,0.0049,0.0042,0.0020,0.0012,0.0009,0.0005,0.0003,0.0002,0.0002,0.0000,0.0000
5.3414,5.3596,0.0093,0.0108,0.0107,0.0083,0.0070,0.0044,0.0037,0.0021,0.0009,0.0009,0.0005,0.0003,0.0002,0.0001,0.0000,0.0000
5.3779,5.3961,0.0098,0.0101,0.0111,0.0086,0.0067,0.0043,0.0037,0.0019,0.0010,0.0009,0.0004,0.0001,0.0002,0.0000,0.0000,0.0001
5.4143,5.4325,0.0099,0.0116,0.0111,0.0082,0.0064,0.0043,0.0040,0.0018,0.0013,0.0009,0.0006,0.0001,0.0002,0.0001,0.0000,0.0001
5.4508,5.4690,0.0090,0.0102,0.0100,0.0077,0.0054,0.0038,0.0043,0.0020,0.0011,0.0008,0.0004,0.0002,0.0001,0.0001,0.0000,0.0000
5.4872,5.5055,0.0091,0.0101,0.0109,0.0085,0.0065,0.0044,0.0032,0.0024,0.0012,0.0012,0.0006,0.0001,0.0001,0.0002,0.0001,0.0000
