cm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
-20.8120,0.0088,0.0106,0.0117,0.0102,0.0153,0.0084,0.0111,0.0126,0.0115,0.0157,0.0115,0.0129,0.0149,0.0137,0.0135
-20.7680,0.0098,0.0109,0.0111,0.0102,0.0149,0.0097,0.0115,0.0120,0.0115,0.0155,0.0131,0.0131,0.0142,0.0137,0.0128
-20.7240,0.0097,0.0104,0.0120,0.0106,0.0153,0.0091,0.0109,0.0129,0.0118,0.0159,0.0126,0.0126,0.0153,0.0140,0.0131
-20.6800,0.0088,0.0111,0.0111,0.0102,0.0151,0.0084,0.0117,0.0120,0.0117,0.0159,0.0115,0.0135,0.0142,0.0137,0.0131
-20.6360,0.0100,0.0104,0.0106,0.0109,0.0149,0.0097,0.0109,0.0115,0.0122,0.0159,0.0131,0.0126,0.0137,0.0146,0.0137
-20.5920,0.0089,0.0104,0.0113,0.0108,0.0148,0.0086,0.0108,0.0120,0.0122,0.0160,0.0118,0.0126,0.0144,0.0144,0.0133
-20.5480,0.0095,0.0102,0.0113,0.0106,0.0140,0.0091,0.0108,0.0122,0.0120,0.0155,0.0124,0.0124,0.0144,0.0142,0.0128
-20.5040,0.0093,0.0108,0.0111,0.0106,0.0148,0.0089,0.0113,0.0120,0.0120,0.0166,0.0120,0.0129,0.0142,0.0142,0.0137
-20.4600,0.0097,0.0104,0.0113,0.0108,0.0142,0.0093,0.0109,0.0122,0.0122,0.0159,0.0126,0.0126,0.0144,0.0144,0.0142
-20.4160,0.0091,0.0108,0.0118,0.0098,0.0144,0.0088,0.0111,0.0128,0.0113,0.0164,0.0120,0.0129,0.0151,0.0133,0.0129
-20.3720,0.0104,0.0102,0.0109,0.0100,0.0146,0.0098,0.0108,0.0118,0.0113,0.0170,0.0135,0.0124,0.0140,0.0135,0.0139
-20.3280,0.0095,0.0102,0.0108,0.0113,0.0142,0.0091,0.0108,0.0117,0.0128,0.0166,0.0124,0.0124,0.0139,0.0151,0.0133
-20.2840,0.0093,0.0106,0.0115,0.0104,0.0142,0.0089,0.0113,0.0124,0.0118,0.0166,0.0122,0.0129,0.0146,0.0140,0.0133
-20.2400,0.0091,0.0111,0.0115,0.0108,0.0135,0.0088,0.0117,0.0122,0.0120,0.0160,0.0120,0.0133,0.0146,0.0142,0.0137
-20.1960,0.0095,0.0106,0.0117,0.0108,0.0146,0.0091,0.0111,0.0126,0.0122,0.0175,0.0124,0.0128,0.0149,0.0146,0.0135
-20.1520,0.0102,0.0113,0.0115,0.0109,0.0142,0.0097,0.0117,0.0124,0.0122,0.0168,0.0133,0.0135,0.0146,0.0146,0.0135
-20.1080,0.0102,0.0106,0.0117,0.0108,0.0140,0.0098,0.0111,0.0126,0.0120,0.0162,0.0135,0.0128,0.0149,0.0142,0.0133
-20.0640,0.0095,0.0109,0.0113,0.0108,0.0193,0.0091,0.0115,0.0122,0.0122,0.0171,0.0126,0.0133,0.0144,0.0146,0.0144
-20.0200,0.0102,0.0108,0.0118,0.0108,0.0166,0.0098,0.0113,0.0128,0.0122,0.0180,0.0133,0.0131,0.0151,0.0144,0.0135
-19.9760,0.0098,0.0113,0.0109,0.0104,0.0160,0.0095,0.0118,0.0118,0.0117,0.0164,0.0129,0.0135,0.0139,0.0139,0.0133
-19.9320,0.0095,0.0108,0.0109,0.0115,0.0168,0.0091,0.0113,0.0118,0.0129,0.0170,0.0124,0.0129,0.0139,0.0153,0.0140
-19.8880,0.0091,0.0102,0.0117,0.0108,0.0164,0.0088,0.0106,0.0124,0.0122,0.0166,0.0120,0.0122,0.0148,0.0144,0.0133
-19.8440,0.0102,0.0106,0.0120,0.0108,0.0171,0.0098,0.0111,0.0129,0.0120,0.0180,0.0135,0.0129,0.0155,0.0144,0.0129
-19.8000,0.0097,0.0108,0.0113,0.0120,0.0170,0.0093,0.0113,0.0122,0.0137,0.0186,0.0126,0.0129,0.0144,0.0162,0.0139
-19.7560,0.0097,0.0109,0.0115,0.0104,0.0162,0.0093,0.0115,0.0124,0.0118,0.0179,0.0126,0.0133,0.0146,0.0140,0.0146
-19.7120,0.0097,0.0104,0.0115,0.0113,0.0166,0.0091,0.0109,0.0124,0.0128,0.0195,0.0126,0.0126,0.0146,0.0153,0.0137
-19.6680,0.0100,0.0108,0.0117,0.0120,0.0157,0.0097,0.0111,0.0126,0.0135,0.0191,0.0133,0.0129,0.0148,0.0160,0.0146
-19.6240,0.0100,0.0109,0.0118,0.0108,0.0164,0.0095,0.0115,0.0128,0.0120,0.0206,0.0131,0.0133,0.0151,0.0142,0.0144
-19.5800,0.0102,0.0106,0.0111,0.0109,0.0149,0.0098,0.0111,0.0118,0.0124,0.0195,0.0135,0.0128,0.0140,0.0148,0.0137
-19.5360,0.0098,0.0113,0.0117,0.0109,0.0140,0.0095,0.0118,0.0126,0.0124,0.0197,0.0129,0.0137,0.0149,0.0148,0.0133
-19.4920,0.0091,0.0117,0.0113,0.0113,0.0140,0.0088,0.0122,0.0122,0.0126,0.0206,0.0120,0.0140,0.0144,0.0151,0.0133
-19.4480,0.0097,0.0113,0.0108,0.0113,0.0146,0.0093,0.0118,0.0117,0.0128,0.0222,0.0128,0.0139,0.0139,0.0151,0.0139
-19.4040,0.0102,0.0111,0.0117,0.0106,0.0140,0.0097,0.0118,0.0126,0.0118,0.0226,0.0133,0.0135,0.0149,0.0142,0.0146
-19.3600,0.0098,0.0117,0.0115,0.0113,0.0159,0.0095,0.0122,0.0124,0.0126,0.0252,0.0129,0.0140,0.0148,0.0151,0.0142
-19.3160,0.0097,0.0115,0.0120,0.0113,0.0157,0.0093,0.0120,0.0129,0.0128,0.0255,0.0128,0.0137,0.0153,0.0151,0.0146
-19.2720,0.0100,0.0115,0.0118,0.0106,0.0166,0.0097,0.0120,0.0128,0.0120,0.0261,0.0131,0.0139,0.0151,0.0142,0.0148
-19.2280,0.0108,0.0109,0.0117,0.0111,0.0170,0.0102,0.0115,0.0126,0.0124,0.0270,0.0140,0.0131,0.0149,0.0148,0.0153
-19.1840,0.0102,0.0109,0.0115,0.0111,0.0166,0.0098,0.0115,0.0124,0.0124,0.0266,0.0133,0.0133,0.0146,0.0148,0.0162
-19.1400,0.0106,0.0104,0.0120,0.0111,0.0171,0.0102,0.0109,0.0129,0.0126,0.0270,0.0140,0.0126,0.0153,0.0149,0.0159
-19.0960,0.0102,0.0113,0.0117,0.0113,0.0180,0.0097,0.0118,0.0124,0.0128,0.0268,0.0133,0.0139,0.0148,0.0151,0.0157
-19.0520,0.0102,0.0113,0.0117,0.0113,0.0193,0.0097,0.0118,0.0126,0.0128,0.0270,0.0133,0.0137,0.0149,0.0151,0.0153
-19.0080,0.0104,0.0111,0.0122,0.0106,0.0193,0.0100,0.0117,0.0131,0.0118,0.0248,0.0137,0.0135,0.0155,0.0140,0.0162
-18.9640,0.0104,0.0113,0.0120,0.0113,0.0197,0.0100,0.0120,0.0131,0.0128,0.0228,0.0137,0.0139,0.0155,0.0151,0.0151
-18.9200,0.0104,0.0118,0.0126,0.0113,0.0211,0.0100,0.0124,0.0137,0.0128,0.0211,0.0139,0.0142,0.0160,0.0151,0.0159
-18.8760,0.0108,0.0118,0.0122,0.0115,0.0222,0.0104,0.0124,0.0133,0.0131,0.0211,0.0140,0.0142,0.0157,0.0155,0.0157
-18.8320,0.0106,0.0113,0.0118,0.0117,0.0232,0.0102,0.0118,0.0128,0.0131,0.0219,0.0140,0.0137,0.0151,0.0155,0.0159
-18.7880,0.0104,0.0118,0.0126,0.0118,0.0233,0.0100,0.0126,0.0137,0.0133,0.0208,0.0137,0.0144,0.0160,0.0159,0.0157
-18.7440,0.0100,0.0113,0.0118,0.0115,0.0242,0.0097,0.0118,0.0128,0.0129,0.0224,0.0133,0.0137,0.0149,0.0155,0.0155
-18.7000,0.0102,0.0111,0.0122,0.0111,0.0235,0.0098,0.0117,0.0133,0.0124,0.0230,0.0133,0.0133,0.0157,0.0148,0.0160
-18.6560,0.0102,0.0108,0.0120,0.0113,0.0226,0.0098,0.0111,0.0129,0.0126,0.0242,0.0135,0.0129,0.0153,0.0151,0.0159
-18.6120,0.0100,0.0113,0.0118,0.0128,0.0210,0.0095,0.0120,0.0128,0.0144,0.0252,0.0131,0.0139,0.0153,0.0171,0.0164
-18.5680,0.0100,0.0115,0.0120,0.0124,0.0199,0.0097,0.0122,0.0129,0.0140,0.0279,0.0133,0.0140,0.0153,0.0166,0.0149
-18.5240,0.0104,0.0120,0.0117,0.0117,0.0186,0.0100,0.0126,0.0126,0.0131,0.0297,0.0137,0.0146,0.0149,0.0155,0.0148
-18.4800,0.0102,0.0120,0.0124,0.0117,0.0175,0.0097,0.0126,0.0133,0.0131,0.0299,0.0133,0.0144,0.0159,0.0157,0.0155
-18.4360,0.0104,0.0113,0.0129,0.0113,0.0184,0.0100,0.0118,0.0140,0.0128,0.0308,0.0139,0.0135,0.0164,0.0153,0.0166
-18.3920,0.0102,0.0117,0.0117,0.0113,0.0182,0.0098,0.0122,0.0128,0.0128,0.0301,0.0133,0.0140,0.0149,0.0151,0.0160
-18.3480,0.0108,0.0120,0.0124,0.0115,0.0184,0.0104,0.0126,0.0133,0.0129,0.0310,0.0142,0.0144,0.0159,0.0155,0.0166
-18.3040,0.0108,0.0122,0.0131,0.0122,0.0188,0.0104,0.0128,0.0140,0.0137,0.0317,0.0140,0.0148,0.0168,0.0162,0.0164
-18.2600,0.0104,0.0117,0.0124,0.0115,0.0197,0.0098,0.0122,0.0135,0.0129,0.0326,0.0135,0.0142,0.0160,0.0153,0.0171
-18.2160,0.0111,0.0111,0.0126,0.0113,0.0213,0.0106,0.0117,0.0135,0.0128,0.0337,0.0146,0.0135,0.0159,0.0153,0.0166
-18.1720,0.0115,0.0111,0.0131,0.0111,0.0215,0.0111,0.0117,0.0142,0.0126,0.0317,0.0151,0.0135,0.0168,0.0149,0.0166
-18.1280,0.0100,0.0117,0.0126,0.0109,0.0215,0.0095,0.0122,0.0137,0.0124,0.0295,0.0131,0.0142,0.0162,0.0148,0.0162
-18.0840,0.0106,0.0122,0.0118,0.0122,0.0213,0.0102,0.0128,0.0128,0.0137,0.0264,0.0140,0.0148,0.0153,0.0164,0.0159
-18.0400,0.0108,0.0122,0.0129,0.0117,0.0217,0.0104,0.0128,0.0140,0.0131,0.0241,0.0142,0.0148,0.0166,0.0157,0.0146
-17.9960,0.0109,0.0111,0.0126,0.0115,0.0217,0.0104,0.0117,0.0137,0.0129,0.0226,0.0142,0.0133,0.0162,0.0153,0.0155
-17.9520,0.0106,0.0120,0.0122,0.0115,0.0217,0.0102,0.0126,0.0131,0.0129,0.0221,0.0140,0.0146,0.0155,0.0155,0.0159
-17.9080,0.0104,0.0122,0.0124,0.0115,0.0226,0.0098,0.0128,0.0133,0.0129,0.0230,0.0135,0.0148,0.0159,0.0155,0.0157
-17.8640,0.0102,0.0118,0.0137,0.0122,0.0228,0.0098,0.0126,0.0148,0.0139,0.0230,0.0135,0.0146,0.0173,0.0166,0.0166
-17.8200,0.0109,0.0120,0.0128,0.0120,0.0226,0.0104,0.0128,0.0137,0.0135,0.0235,0.0142,0.0146,0.0162,0.0162,0.0162
-17.7760,0.0108,0.0126,0.0131,0.0122,0.0217,0.0104,0.0133,0.0142,0.0139,0.0241,0.0142,0.0153,0.0166,0.0164,0.0162
-17.7320,0.0104,0.0135,0.0126,0.0111,0.0199,0.0100,0.0142,0.0137,0.0128,0.0242,0.0137,0.0164,0.0160,0.0151,0.0159
-17.6880,0.0106,0.0115,0.0124,0.0126,0.0195,0.0100,0.0120,0.0135,0.0144,0.0250,0.0139,0.0139,0.0159,0.0171,0.0155
-17.6440,0.0108,0.0124,0.0128,0.0124,0.0188,0.0102,0.0131,0.0137,0.0139,0.0253,0.0140,0.0151,0.0162,0.0166,0.0171
-17.6000,0.0109,0.0122,0.0129,0.0113,0.0188,0.0106,0.0128,0.0140,0.0128,0.0266,0.0144,0.0148,0.0166,0.0151,0.0179
-17.5560,0.0113,0.0115,0.0137,0.0128,0.0195,0.0108,0.0120,0.0148,0.0144,0.0286,0.0148,0.0140,0.0175,0.0171,0.0177
-17.5120,0.0113,0.0115,0.0126,0.0115,0.0193,0.0108,0.0120,0.0135,0.0131,0.0295,0.0148,0.0139,0.0160,0.0157,0.0168
-17.4680,0.0117,0.0124,0.0124,0.0122,0.0201,0.0111,0.0131,0.0135,0.0137,0.0306,0.0153,0.0149,0.0157,0.0164,0.0173
-17.4240,0.0117,0.0124,0.0124,0.0118,0.0208,0.0111,0.0129,0.0135,0.0133,0.0315,0.0153,0.0149,0.0159,0.0164,0.0177
-17.3800,0.0106,0.0128,0.0133,0.0124,0.0224,0.0102,0.0135,0.0142,0.0140,0.0335,0.0140,0.0155,0.0170,0.0173,0.0184
-17.3360,0.0109,0.0126,0.0131,0.0118,0.0226,0.0104,0.0133,0.0140,0.0133,0.0337,0.0142,0.0153,0.0168,0.0170,0.0182
-17.2920,0.0108,0.0117,0.0131,0.0133,0.0241,0.0104,0.0122,0.0140,0.0149,0.0352,0.0140,0.0140,0.0168,0.0199,0.0180
-17.2480,0.0115,0.0126,0.0131,0.0122,0.0237,0.0109,0.0131,0.0140,0.0139,0.0366,0.0149,0.0151,0.0168,0.0193,0.0184
-17.2040,0.0113,0.0126,0.0135,0.0120,0.0235,0.0109,0.0131,0.0146,0.0137,0.0377,0.0149,0.0151,0.0173,0.0202,0.0173
-17.1600,0.0113,0.0128,0.0128,0.0117,0.0226,0.0109,0.0133,0.0139,0.0131,0.0394,0.0149,0.0155,0.0164,0.0215,0.0177
-17.1160,0.0118,0.0131,0.0135,0.0122,0.0226,0.0115,0.0137,0.0144,0.0139,0.0428,0.0157,0.0160,0.0171,0.0232,0.0204
-17.0720,0.0106,0.0126,0.0129,0.0129,0.0219,0.0102,0.0131,0.0140,0.0148,0.0470,0.0139,0.0153,0.0166,0.0255,0.0219
-17.0280,0.0109,0.0128,0.0135,0.0133,0.0224,0.0106,0.0133,0.0144,0.0149,0.0530,0.0144,0.0153,0.0171,0.0261,0.0221
-16.9840,0.0115,0.0117,0.0133,0.0124,0.0221,0.0111,0.0122,0.0144,0.0139,0.0594,0.0151,0.0142,0.0170,0.0264,0.0193
-16.9400,0.0108,0.0122,0.0131,0.0131,0.0215,0.0104,0.0128,0.0140,0.0149,0.0658,0.0142,0.0146,0.0166,0.0286,0.0191
-16.8960,0.0115,0.0122,0.0129,0.0128,0.0230,0.0111,0.0128,0.0139,0.0144,0.0713,0.0151,0.0148,0.0164,0.0281,0.0201
-16.8520,0.0106,0.0126,0.0118,0.0122,0.0224,0.0102,0.0131,0.0128,0.0137,0.0731,0.0140,0.0153,0.0151,0.0288,0.0213
-16.8080,0.0108,0.0120,0.0139,0.0118,0.0235,0.0104,0.0126,0.0149,0.0133,0.0749,0.0140,0.0146,0.0179,0.0297,0.0235
-16.7640,0.0113,0.0129,0.0126,0.0131,0.0248,0.0109,0.0135,0.0135,0.0149,0.0758,0.0148,0.0157,0.0159,0.0315,0.0257
-16.7200,0.0113,0.0122,0.0129,0.0124,0.0261,0.0109,0.0129,0.0140,0.0140,0.0760,0.0149,0.0148,0.0166,0.0315,0.0261
-16.6760,0.0109,0.0131,0.0135,0.0126,0.0268,0.0106,0.0137,0.0146,0.0140,0.0786,0.0146,0.0159,0.0175,0.0330,0.0261
-16.6320,0.0118,0.0126,0.0133,0.0124,0.0281,0.0113,0.0131,0.0144,0.0139,0.0811,0.0155,0.0151,0.0171,0.0332,0.0250
-16.5880,0.0109,0.0129,0.0139,0.0129,0.0290,0.0106,0.0137,0.0148,0.0146,0.0819,0.0144,0.0159,0.0175,0.0337,0.0232
-16.5440,0.0111,0.0128,0.0133,0.0128,0.0303,0.0106,0.0133,0.0142,0.0146,0.0840,0.0144,0.0153,0.0170,0.0339,0.0226
-16.5000,0.0115,0.0148,0.0133,0.0131,0.0326,0.0109,0.0155,0.0144,0.0148,0.0873,0.0149,0.0179,0.0171,0.0337,0.0224
-16.4560,0.0120,0.0137,0.0129,0.0128,0.0339,0.0117,0.0144,0.0140,0.0144,0.0875,0.0159,0.0166,0.0166,0.0337,0.0241
-16.4120,0.0122,0.0128,0.0131,0.0118,0.0346,0.0117,0.0133,0.0140,0.0133,0.0864,0.0160,0.0153,0.0168,0.0326,0.0246
-16.3680,0.0113,0.0122,0.0131,0.0126,0.0365,0.0108,0.0128,0.0142,0.0142,0.0886,0.0148,0.0148,0.0168,0.0326,0.0244
-16.3240,0.0109,0.0131,0.0129,0.0133,0.0374,0.0106,0.0139,0.0140,0.0148,0.0897,0.0142,0.0159,0.0166,0.0330,0.0235
-16.2800,0.0118,0.0135,0.0142,0.0133,0.0379,0.0113,0.0142,0.0155,0.0144,0.0924,0.0155,0.0162,0.0184,0.0330,0.0211
-16.2360,0.0117,0.0129,0.0139,0.0149,0.0374,0.0113,0.0137,0.0149,0.0142,0.0930,0.0153,0.0159,0.0177,0.0328,0.0233
-16.1920,0.0117,0.0128,0.0148,0.0184,0.0381,0.0111,0.0133,0.0160,0.0146,0.0932,0.0153,0.0155,0.0190,0.0334,0.0242
-16.1480,0.0118,0.0135,0.0140,0.0210,0.0377,0.0113,0.0142,0.0151,0.0157,0.0933,0.0155,0.0164,0.0179,0.0350,0.0277
-16.1040,0.0111,0.0137,0.0142,0.0206,0.0388,0.0108,0.0144,0.0153,0.0151,0.0942,0.0146,0.0166,0.0180,0.0355,0.0306
-16.0600,0.0118,0.0137,0.0142,0.0191,0.0386,0.0113,0.0144,0.0153,0.0157,0.0930,0.0155,0.0166,0.0180,0.0372,0.0319
-16.0160,0.0122,0.0124,0.0139,0.0160,0.0403,0.0117,0.0131,0.0149,0.0153,0.0922,0.0160,0.0151,0.0177,0.0385,0.0314
-15.9720,0.0118,0.0137,0.0144,0.0142,0.0414,0.0115,0.0144,0.0157,0.0153,0.0919,0.0157,0.0166,0.0184,0.0399,0.0315
-15.9280,0.0122,0.0129,0.0135,0.0140,0.0414,0.0118,0.0137,0.0146,0.0159,0.0908,0.0162,0.0157,0.0173,0.0425,0.0343
-15.8840,0.0118,0.0140,0.0149,0.0137,0.0417,0.0115,0.0148,0.0162,0.0160,0.0870,0.0155,0.0171,0.0193,0.0432,0.0401
-15.8400,0.0126,0.0126,0.0140,0.0139,0.0419,0.0120,0.0133,0.0151,0.0164,0.0824,0.0166,0.0153,0.0180,0.0445,0.0434
-15.7960,0.0118,0.0140,0.0140,0.0140,0.0445,0.0113,0.0146,0.0151,0.0170,0.0795,0.0153,0.0170,0.0179,0.0459,0.0456
-15.7520,0.0117,0.0135,0.0137,0.0140,0.0465,0.0111,0.0140,0.0148,0.0168,0.0789,0.0153,0.0164,0.0175,0.0465,0.0427
-15.7080,0.0113,0.0133,0.0144,0.0137,0.0465,0.0108,0.0139,0.0157,0.0164,0.0809,0.0148,0.0164,0.0184,0.0461,0.0383
-15.6640,0.0124,0.0131,0.0142,0.0135,0.0474,0.0118,0.0139,0.0155,0.0157,0.0850,0.0162,0.0159,0.0182,0.0459,0.0348
-15.6200,0.0117,0.0131,0.0144,0.0137,0.0479,0.0113,0.0137,0.0155,0.0159,0.0882,0.0153,0.0159,0.0184,0.0467,0.0328
-15.5760,0.0115,0.0135,0.0142,0.0137,0.0500,0.0111,0.0142,0.0153,0.0157,0.0895,0.0151,0.0164,0.0180,0.0470,0.0321
-15.5320,0.0124,0.0146,0.0140,0.0133,0.0521,0.0118,0.0153,0.0151,0.0155,0.0888,0.0162,0.0177,0.0180,0.0503,0.0312
-15.4880,0.0120,0.0135,0.0148,0.0133,0.0532,0.0115,0.0142,0.0159,0.0159,0.0873,0.0159,0.0164,0.0188,0.0545,0.0306
-15.4440,0.0126,0.0135,0.0137,0.0137,0.0545,0.0120,0.0142,0.0148,0.0160,0.0846,0.0164,0.0164,0.0175,0.0607,0.0304
-15.4000,0.0117,0.0131,0.0144,0.0133,0.0565,0.0113,0.0137,0.0155,0.0159,0.0862,0.0153,0.0159,0.0184,0.0680,0.0326
-15.3560,0.0117,0.0139,0.0146,0.0139,0.0569,0.0113,0.0144,0.0157,0.0162,0.0875,0.0153,0.0168,0.0186,0.0746,0.0328
-15.3120,0.0124,0.0146,0.0144,0.0135,0.0592,0.0118,0.0153,0.0155,0.0160,0.0908,0.0160,0.0177,0.0184,0.0757,0.0321
-15.2680,0.0118,0.0142,0.0144,0.0146,0.0623,0.0113,0.0149,0.0155,0.0171,0.0957,0.0155,0.0171,0.0186,0.0709,0.0315
-15.2240,0.0131,0.0139,0.0137,0.0146,0.0623,0.0126,0.0144,0.0148,0.0171,0.0964,0.0171,0.0168,0.0175,0.0631,0.0310
-15.1800,0.0126,0.0135,0.0146,0.0142,0.0602,0.0120,0.0142,0.0159,0.0171,0.0952,0.0166,0.0164,0.0188,0.0551,0.0294
-15.1360,0.0128,0.0144,0.0153,0.0151,0.0598,0.0122,0.0151,0.0166,0.0186,0.0961,0.0168,0.0175,0.0197,0.0501,0.0279
-15.0920,0.0129,0.0133,0.0140,0.0155,0.0560,0.0124,0.0140,0.0149,0.0197,0.0921,0.0170,0.0160,0.0179,0.0478,0.0270
-15.0480,0.0120,0.0137,0.0149,0.0135,0.0547,0.0117,0.0144,0.0160,0.0186,0.0904,0.0160,0.0168,0.0190,0.0456,0.0281
-15.0040,0.0124,0.0142,0.0153,0.0144,0.0536,0.0120,0.0149,0.0166,0.0202,0.0862,0.0162,0.0171,0.0197,0.0496,0.0294
-14.9600,0.0131,0.0129,0.0149,0.0144,0.0530,0.0126,0.0137,0.0164,0.0213,0.0828,0.0171,0.0159,0.0193,0.0538,0.0306
-14.9160,0.0126,0.0140,0.0146,0.0146,0.0543,0.0120,0.0148,0.0159,0.0230,0.0817,0.0164,0.0170,0.0188,0.0561,0.0314
-14.8720,0.0117,0.0139,0.0144,0.0144,0.0556,0.0113,0.0146,0.0155,0.0246,0.0797,0.0155,0.0168,0.0184,0.0552,0.0308
-14.8280,0.0126,0.0142,0.0151,0.0144,0.0603,0.0120,0.0149,0.0162,0.0259,0.0797,0.0164,0.0173,0.0193,0.0547,0.0328
-14.7840,0.0129,0.0146,0.0146,0.0144,0.0634,0.0124,0.0153,0.0159,0.0272,0.0777,0.0171,0.0177,0.0188,0.0558,0.0337
-14.7400,0.0124,0.0139,0.0162,0.0151,0.0680,0.0118,0.0148,0.0177,0.0275,0.0764,0.0162,0.0170,0.0208,0.0592,0.0365
-14.6960,0.0120,0.0142,0.0151,0.0151,0.0729,0.0117,0.0149,0.0164,0.0259,0.0757,0.0159,0.0171,0.0193,0.0594,0.0377
-14.6520,0.0120,0.0137,0.0142,0.0146,0.0777,0.0115,0.0142,0.0155,0.0259,0.0753,0.0159,0.0164,0.0182,0.0567,0.0392
-14.6080,0.0131,0.0142,0.0148,0.0146,0.0815,0.0124,0.0149,0.0160,0.0283,0.0757,0.0171,0.0173,0.0190,0.0561,0.0381
-14.5640,0.0124,0.0135,0.0164,0.0149,0.0846,0.0120,0.0142,0.0177,0.0306,0.0764,0.0162,0.0162,0.0210,0.0578,0.0377
