edges of bins (ppm),center of bins (ppm),pdf 1.0D 15.2% OI 0cm,pdf 1.0D 15.2% OI 1cm,pdf 1.0D 15.2% OI 2cm,pdf 1.0D 15.2% OI 3cm,pdf 1.0D 15.2% OI 4cm,pdf 1.0D 15.2% OI 5cm,pdf 1.0D 15.2% OI 6cm,pdf 1.0D 15.2% OI 7cm,pdf 1.0D 15.2% OI 8cm,pdf 1.0D 15.2% OI 9cm,pdf 1.0D 15.2% OI 10cm,pdf 1.0D 15.2% OI 11cm,pdf 1.0D 15.2% OI 12cm,pdf 1.0D 15.2% OI 13cm,pdf 1.0D 15.2% OI 14cm,pdf 1.0D 15.2% OI 15cm
0.4922,0.5104,0.7046,0.6417,0.3698,0.1825,0.0883,0.0367,0.0102,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.5287,0.5469,0.6366,0.5963,0.3484,0.1645,0.0813,0.0338,0.0101,0.0009,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.5651,0.5834,0.5625,0.5359,0.3189,0.1547,0.0729,0.0316,0.0087,0.0006,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.6016,0.6198,0.5057,0.4904,0.3008,0.1431,0.0678,0.0290,0.0094,0.0009,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.6380,0.6563,0.4391,0.4473,0.2739,0.1314,0.0658,0.0282,0.0073,0.0011,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.6745,0.6927,0.3908,0.4031,0.2566,0.1245,0.0603,0.0262,0.0079,0.0011,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.7110,0.7292,0.3578,0.3634,0.2440,0.1147,0.0583,0.0252,0.0070,0.0009,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.7474,0.7657,0.3158,0.3253,0.2223,0.1092,0.0533,0.0259,0.0064,0.0008,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.7839,0.8021,0.2894,0.3021,0.2068,0.1000,0.0497,0.0227,0.0056,0.0010,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.8204,0.8386,0.2463,0.2699,0.1915,0.0952,0.0498,0.0208,0.0049,0.0008,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.8568,0.8750,0.2256,0.2557,0.1819,0.0922,0.0434,0.0212,0.0048,0.0008,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.8933,0.9115,0.2004,0.2291,0.1672,0.0849,0.0419,0.0208,0.0042,0.0009,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.9297,0.9480,0.1845,0.2110,0.1558,0.0821,0.0403,0.0190,0.0046,0.0006,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.9662,0.9844,0.1680,0.1959,0.1414,0.0748,0.0363,0.0180,0.0043,0.0009,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.0027,1.0209,0.1465,0.1764,0.1318,0.0692,0.0367,0.0176,0.0041,0.0006,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.0391,1.0573,0.1317,0.1716,0.1223,0.0688,0.0344,0.0175,0.0033,0.0005,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.0756,1.0938,0.1232,0.1567,0.1153,0.0627,0.0325,0.0155,0.0033,0.0010,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.1120,1.1303,0.1095,0.1452,0.1041,0.0597,0.0303,0.0159,0.0031,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.1485,1.1667,0.0989,0.1293,0.0990,0.0577,0.0286,0.0143,0.0032,0.0007,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.1849,1.2032,0.0890,0.1223,0.0886,0.0529,0.0282,0.0150,0.0032,0.0008,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.2214,1.2396,0.0821,0.1146,0.0830,0.0488,0.0273,0.0138,0.0026,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.2579,1.2761,0.0756,0.1034,0.0812,0.0463,0.0259,0.0152,0.0030,0.0005,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.2943,1.3126,0.0701,0.0992,0.0737,0.0430,0.0232,0.0116,0.0023,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.3308,1.3490,0.0641,0.0909,0.0709,0.0402,0.0211,0.0122,0.0024,0.0010,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.3672,1.3855,0.0595,0.0822,0.0661,0.0388,0.0206,0.0113,0.0026,0.0006,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.4037,1.4219,0.0512,0.0754,0.0628,0.0381,0.0207,0.0125,0.0023,0.0006,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.4402,1.4584,0.0443,0.0716,0.0580,0.0344,0.0196,0.0115,0.0027,0.0003,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.4766,1.4949,0.0426,0.0660,0.0553,0.0338,0.0175,0.0097,0.0031,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.5131,1.5313,0.0428,0.0615,0.0516,0.0312,0.0152,0.0095,0.0022,0.0004,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.5495,1.5678,0.0381,0.0578,0.0500,0.0312,0.0172,0.0086,0.0031,0.0004,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.5860,1.6042,0.0331,0.0543,0.0445,0.0301,0.0156,0.0079,0.0023,0.0002,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.6225,1.6407,0.0331,0.0527,0.0432,0.0277,0.0149,0.0084,0.0020,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.6589,1.6772,0.0283,0.0473,0.0379,0.0258,0.0163,0.0074,0.0016,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.6954,1.7136,0.0266,0.0447,0.0397,0.0243,0.0148,0.0084,0.0022,0.0003,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.7318,1.7501,0.0227,0.0424,0.0345,0.0237,0.0138,0.0078,0.0020,0.0003,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.7683,1.7865,0.0227,0.0365,0.0322,0.0246,0.0126,0.0070,0.0021,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.8048,1.8230,0.0210,0.0373,0.0313,0.0217,0.0132,0.0062,0.0017,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.8412,1.8595,0.0197,0.0355,0.0290,0.0186,0.0117,0.0072,0.0020,0.0002,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.8777,1.8959,0.0179,0.0324,0.0278,0.0199,0.0112,0.0058,0.0023,0.0003,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.9142,1.9324,0.0166,0.0293,0.0261,0.0183,0.0118,0.0053,0.0024,0.0003,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.9506,1.9688,0.0158,0.0276,0.0265,0.0170,0.0117,0.0047,0.0017,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.9871,2.0053,0.0145,0.0259,0.0241,0.0165,0.0105,0.0051,0.0015,0.0003,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.0235,2.0418,0.0139,0.0251,0.0207,0.0159,0.0110,0.0043,0.0019,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.0600,2.0782,0.0131,0.0227,0.0200,0.0142,0.0088,0.0046,0.0017,0.0003,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.0964,2.1147,0.0118,0.0218,0.0195,0.0140,0.0094,0.0046,0.0015,0.0003,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.1329,2.1511,0.0112,0.0210,0.0195,0.0139,0.0089,0.0036,0.0011,0.0004,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.1694,2.1876,0.0094,0.0188,0.0192,0.0123,0.0080,0.0033,0.0010,0.0003,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.2058,2.2241,0.0089,0.0177,0.0179,0.0112,0.0079,0.0036,0.0014,0.0003,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.2423,2.2605,0.0089,0.0160,0.0164,0.0112,0.0084,0.0035,0.0014,0.0003,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.2788,2.2970,0.0075,0.0138,0.0154,0.0105,0.0076,0.0035,0.0012,0.0003,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.3152,2.3334,0.0086,0.0139,0.0144,0.0094,0.0073,0.0033,0.0014,0.0004,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.3517,2.3699,0.0070,0.0130,0.0141,0.0088,0.0073,0.0021,0.0014,0.0004,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.3881,2.4064,0.0064,0.0126,0.0137,0.0088,0.0064,0.0023,0.0011,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.4246,2.4428,0.0062,0.0117,0.0113,0.0083,0.0057,0.0023,0.0009,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.4611,2.4793,0.0066,0.0114,0.0120,0.0082,0.0059,0.0022,0.0008,0.0003,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.4975,2.5157,0.0061,0.0087,0.0113,0.0073,0.0048,0.0020,0.0010,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.5340,2.5522,0.0044,0.0091,0.0100,0.0065,0.0055,0.0017,0.0008,0.0003,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.5704,2.5887,0.0040,0.0087,0.0093,0.0068,0.0051,0.0014,0.0009,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.6069,2.6251,0.0041,0.0079,0.0093,0.0069,0.0047,0.0017,0.0009,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.6433,2.6616,0.0035,0.0075,0.0084,0.0058,0.0044,0.0019,0.0006,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.6798,2.6980,0.0036,0.0071,0.0090,0.0053,0.0039,0.0014,0.0007,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.7163,2.7345,0.0032,0.0061,0.0075,0.0054,0.0035,0.0018,0.0007,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.7527,2.7710,0.0026,0.0054,0.0073,0.0046,0.0038,0.0013,0.0004,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.7892,2.8074,0.0020,0.0057,0.0062,0.0054,0.0038,0.0012,0.0005,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.8256,2.8439,0.0022,0.0055,0.0063,0.0047,0.0039,0.0012,0.0007,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.8621,2.8803,0.0021,0.0041,0.0060,0.0040,0.0028,0.0009,0.0006,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.8986,2.9168,0.0016,0.0042,0.0050,0.0039,0.0024,0.0008,0.0006,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.9350,2.9533,0.0014,0.0041,0.0050,0.0039,0.0025,0.0009,0.0005,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.9715,2.9897,0.0018,0.0034,0.0053,0.0037,0.0027,0.0013,0.0005,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.0079,3.0262,0.0013,0.0040,0.0048,0.0034,0.0027,0.0009,0.0004,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.0444,3.0626,0.0011,0.0029,0.0037,0.0035,0.0024,0.0008,0.0004,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.0809,3.0991,0.0009,0.0032,0.0039,0.0024,0.0021,0.0007,0.0006,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.1173,3.1356,0.0010,0.0033,0.0040,0.0025,0.0021,0.0008,0.0006,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.1538,3.1720,0.0011,0.0022,0.0042,0.0026,0.0016,0.0007,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.1902,3.2085,0.0007,0.0026,0.0032,0.0024,0.0015,0.0006,0.0003,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.2267,3.2449,0.0009,0.0020,0.0032,0.0026,0.0018,0.0005,0.0003,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.2632,3.2814,0.0012,0.0020,0.0030,0.0024,0.0018,0.0005,0.0005,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.2996,3.3179,0.0009,0.0018,0.0032,0.0020,0.0017,0.0004,0.0004,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.3361,3.3543,0.0009,0.0019,0.0029,0.0018,0.0014,0.0003,0.0003,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.3725,3.3908,0.0006,0.0017,0.0024,0.0026,0.0015,0.0004,0.0003,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.4090,3.4272,0.0006,0.0012,0.0022,0.0020,0.0009,0.0003,0.0004,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.4455,3.4637,0.0009,0.0014,0.0022,0.0020,0.0015,0.0004,0.0003,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.4819,3.5002,0.0004,0.0014,0.0021,0.0013,0.0009,0.0005,0.0004,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.5184,3.5366,0.0005,0.0008,0.0021,0.0013,0.0014,0.0003,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.5548,3.5731,0.0006,0.0009,0.0017,0.0012,0.0010,0.0003,0.0003,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.5913,3.6095,0.0004,0.0010,0.0020,0.0011,0.0005,0.0003,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.6278,3.6460,0.0003,0.0010,0.0014,0.0014,0.0007,0.0003,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.6642,3.6825,0.0006,0.0006,0.0009,0.0011,0.0005,0.0002,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.7007,3.7189,0.0004,0.0006,0.0011,0.0008,0.0008,0.0004,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.7371,3.7554,0.0003,0.0006,0.0009,0.0009,0.0004,0.0003,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.7736,3.7918,0.0004,0.0007,0.0011,0.0008,0.0008,0.0002,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.8101,3.8283,0.0003,0.0004,0.0015,0.0008,0.0005,0.0002,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.8465,3.8648,0.0004,0.0003,0.0009,0.0008,0.0003,0.0002,0.0006,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.8830,3.9012,0.0002,0.0004,0.0008,0.0006,0.0006,0.0001,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.9194,3.9377,0.0003,0.0003,0.0010,0.0010,0.0005,0.0002,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.9559,3.9741,0.0003,0.0004,0.0009,0.0006,0.0004,0.0002,0.0003,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.9924,4.0106,0.0002,0.0004,0.0005,0.0006,0.0004,0.0003,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.0288,4.0471,0.0001,0.0003,0.0006,0.0006,0.0003,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.0653,4.0835,0.0000,0.0003,0.0008,0.0008,0.0002,0.0002,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.1018,4.1200,0.0002,0.0003,0.0007,0.0007,0.0003,0.0002,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.1382,4.1564,0.0001,0.0003,0.0005,0.0004,0.0002,0.0002,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.1747,4.1929,0.0001,0.0002,0.0005,0.0005,0.0001,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.2111,4.2294,0.0000,0.0003,0.0004,0.0006,0.0002,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.2476,4.2658,0.0000,0.0003,0.0005,0.0004,0.0001,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.2840,4.3023,0.0000,0.0004,0.0003,0.0004,0.0000,0.0001,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.3205,4.3387,0.0001,0.0001,0.0005,0.0003,0.0001,0.0002,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.3570,4.3752,0.0000,0.0002,0.0003,0.0003,0.0001,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.3934,4.4117,0.0000,0.0001,0.0003,0.0003,0.0002,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.4299,4.4481,0.0000,0.0001,0.0003,0.0003,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.4664,4.4846,0.0000,0.0001,0.0002,0.0003,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.5028,4.5210,0.0000,0.0000,0.0002,0.0001,0.0001,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.5393,4.5575,0.0000,0.0000,0.0001,0.0002,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.5757,4.5940,0.0000,0.0001,0.0001,0.0004,0.0000,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.6122,4.6304,0.0000,0.0001,0.0002,0.0003,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.6486,4.6669,0.0000,0.0001,0.0002,0.0003,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.6851,4.7033,0.0000,0.0000,0.0002,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.7216,4.7398,0.0000,0.0001,0.0000,0.0002,0.0002,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.7580,4.7763,0.0000,0.0001,0.0001,0.0001,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.7945,4.8127,0.0000,0.0000,0.0001,0.0004,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.8309,4.8492,0.0000,0.0001,0.0001,0.0003,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.8674,4.8856,0.0000,0.0000,0.0001,0.0002,0.0000,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.9039,4.9221,0.0000,0.0000,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.9403,4.9586,0.0000,0.0001,0.0001,0.0002,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.9768,4.9950,0.0000,0.0000,0.0001,0.0002,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5.0133,5.0315,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5.0497,5.0679,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5.0862,5.1044,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5.1226,5.1409,0.0000,0.0000,0.0000,0.0001,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5.1591,5.1773,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5.1955,5.2138,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5.2320,5.2502,0.0000,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5.2685,5.2867,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5.3049,5.3232,0.0000,0.0000,0.0000,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5.3414,5.3596,0.0000,0.0000,0.0000,0.0001,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5.3779,5.3961,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5.4143,5.4325,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5.4508,5.4690,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5.4872,5.5055,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
