s,kW,kW
1.770000E+02,7.282225E+02,1.550822E+02
1.780000E+02,7.319421E+02,1.509973E+02
1.790000E+02,7.687122E+02,1.838243E+02
1.800000E+02,7.697276E+02,1.892416E+02
1.810000E+02,7.360426E+02,1.582404E+02
1.820000E+02,7.237272E+02,1.370060E+02
1.830000E+02,7.438312E+02,1.524618E+02
1.840000E+02,7.535281E+02,1.685456E+02
1.850000E+02,7.464805E+02,1.751079E+02
1.860000E+02,7.295420E+02,1.611739E+02
1.870000E+02,7.409994E+02,1.713534E+02
1.880000E+02,7.470948E+02,1.765367E+02
1.890000E+02,7.590993E+02,1.791837E+02
1.900000E+02,7.450446E+02,1.694883E+02
1.910000E+02,7.303577E+02,1.456065E+02
1.920000E+02,7.360330E+02,1.543603E+02
1.930000E+02,7.715430E+02,1.757633E+02
1.940000E+02,7.568846E+02,1.791604E+02
1.950000E+02,7.576248E+02,1.732861E+02
1.960000E+02,7.511597E+02,1.812587E+02
1.970000E+02,7.766558E+02,1.874064E+02
1.980000E+02,7.422335E+02,1.844791E+02
1.990000E+02,7.412395E+02,1.664326E+02
2.000000E+02,7.285195E+02,1.506880E+02
2.010000E+02,7.243540E+02,1.458281E+02
2.020000E+02,7.523603E+02,1.652472E+02
2.030000E+02,7.659143E+02,1.681985E+02
2.040000E+02,7.887190E+02,1.859658E+02
2.050000E+02,7.563726E+02,1.857694E+02
2.060000E+02,7.785920E+02,2.012841E+02
2.070000E+02,7.885172E+02,2.049160E+02
2.080000E+02,7.621689E+02,1.825658E+02
2.090000E+02,7.371208E+02,1.690461E+02
2.100000E+02,7.449332E+02,1.587712E+02
2.110000E+02,7.170882E+02,1.461338E+02
2.120000E+02,7.412339E+02,1.391472E+02
2.130000E+02,7.150783E+02,1.383144E+02
2.140000E+02,7.769852E+02,1.532617E+02
2.150000E+02,7.339236E+02,1.476336E+02
2.160000E+02,7.769079E+02,1.735615E+02
2.170000E+02,7.492718E+02,1.760328E+02
2.180000E+02,7.558420E+02,1.694481E+02
2.190000E+02,7.317726E+02,1.396728E+02
2.200000E+02,7.170857E+02,1.303191E+02
2.210000E+02,7.736196E+02,1.735779E+02
2.220000E+02,7.504029E+02,1.874589E+02
2.230000E+02,7.760535E+02,1.781985E+02
2.240000E+02,7.195242E+02,1.419378E+02
2.250000E+02,7.409581E+02,1.503702E+02
2.260000E+02,7.375153E+02,1.598842E+02
2.270000E+02,7.437306E+02,1.681187E+02
2.280000E+02,7.387802E+02,1.693260E+02
2.290000E+02,7.238195E+02,1.541866E+02
2.300000E+02,7.221996E+02,1.623246E+02
2.310000E+02,7.664017E+02,1.989739E+02
2.320000E+02,7.888860E+02,2.128759E+02
2.330000E+02,7.940654E+02,2.130309E+02
2.340000E+02,7.486666E+02,1.698622E+02
2.350000E+02,7.397898E+02,1.593785E+02
2.360000E+02,7.373466E+02,1.716296E+02
2.370000E+02,7.435195E+02,1.772490E+02
2.380000E+02,7.746409E+02,1.898234E+02
2.390000E+02,7.478092E+02,1.629836E+02
2.400000E+02,7.554721E+02,1.624961E+02
2.410000E+02,7.386494E+02,1.586531E+02
2.420000E+02,7.684442E+02,1.672702E+02
2.430000E+02,7.239390E+02,1.463586E+02
2.440000E+02,7.377048E+02,1.673801E+02
2.450000E+02,7.622742E+02,1.909023E+02
2.460000E+02,7.777830E+02,1.973920E+02
2.470000E+02,7.260703E+02,1.673323E+02
2.480000E+02,7.297110E+02,1.588162E+02
2.490000E+02,7.342435E+02,1.523297E+02
2.500000E+02,7.542526E+02,1.614819E+02
2.510000E+02,7.570602E+02,1.666475E+02
2.520000E+02,7.368211E+02,1.715392E+02
2.530000E+02,7.597035E+02,1.736882E+02
2.540000E+02,7.583018E+02,1.783202E+02
2.550000E+02,7.695434E+02,1.857922E+02
2.560000E+02,7.614041E+02,1.806768E+02
2.570000E+02,7.469678E+02,1.680501E+02
2.580000E+02,7.489647E+02,1.621126E+02
2.590000E+02,7.471046E+02,1.642579E+02
2.600000E+02,7.668343E+02,1.708470E+02
2.610000E+02,7.519726E+02,1.573542E+02
2.620000E+02,7.515324E+02,1.566637E+02
2.630000E+02,7.424326E+02,1.529003E+02
2.640000E+02,7.392617E+02,1.596278E+02
2.650000E+02,7.319573E+02,1.566189E+02
2.660000E+02,7.458082E+02,1.615250E+02
2.670000E+02,7.639774E+02,1.795166E+02
2.680000E+02,7.514106E+02,1.698965E+02
2.690000E+02,7.477225E+02,1.574610E+02
2.700000E+02,7.244436E+02,1.444292E+02
2.710000E+02,7.436378E+02,1.712939E+02
2.720000E+02,7.722731E+02,1.928252E+02
2.730000E+02,7.621451E+02,1.814499E+02
2.740000E+02,7.399325E+02,1.610730E+02
2.750000E+02,7.229471E+02,1.553466E+02
2.760000E+02,7.494569E+02,1.720417E+02
2.770000E+02,7.382652E+02,1.630117E+02
2.780000E+02,7.557560E+02,1.717534E+02
2.790000E+02,7.560796E+02,1.745913E+02
2.800000E+02,7.469835E+02,1.675173E+02
2.810000E+02,7.689333E+02,1.727171E+02
2.820000E+02,7.521876E+02,1.642061E+02
2.830000E+02,7.358487E+02,1.611969E+02
2.840000E+02,7.372551E+02,1.595402E+02
2.850000E+02,7.761939E+02,1.915222E+02
2.860000E+02,7.581005E+02,1.788043E+02
2.870000E+02,7.374245E+02,1.567150E+02
2.880000E+02,7.472577E+02,1.666163E+02
2.890000E+02,7.660885E+02,1.814401E+02
2.900000E+02,7.708898E+02,1.777289E+02
2.910000E+02,7.393450E+02,1.564092E+02
2.920000E+02,7.414100E+02,1.675354E+02
2.930000E+02,7.691294E+02,1.744707E+02
2.940000E+02,7.418317E+02,1.481295E+02
2.950000E+02,7.413058E+02,1.440790E+02
2.960000E+02,7.070453E+02,1.530099E+02
2.970000E+02,7.765407E+02,1.902147E+02
2.980000E+02,7.517840E+02,1.708641E+02
2.990000E+02,7.016411E+02,1.301860E+02
3.000000E+02,7.043293E+02,1.145283E+02
