x (m),Y He,Y He rms,U (m/s),U rms (m/s),W (m/s),W rms (m/s)
-1.47E-01,1.20E-01,0.07321,1.31E-01,0.4159,1.87E+00,0.8112
-1.38E-01,1.27E-01,0.0743,1.19E-01,0.4087,1.94E+00,0.8379
-1.29E-01,1.35E-01,0.07483,1.10E-01,0.4037,2.00E+00,0.8631
-1.19E-01,1.44E-01,0.0745,1.03E-01,0.4012,2.06E+00,0.8871
-1.10E-01,1.53E-01,0.07457,9.58E-02,0.3987,2.13E+00,0.9028
-1.01E-01,1.62E-01,0.07523,8.89E-02,0.395,2.18E+00,0.9263
-9.19E-02,1.69E-01,0.07603,8.42E-02,0.3886,2.23E+00,0.9482
-8.27E-02,1.77E-01,0.07688,7.85E-02,0.3847,2.28E+00,0.968
-7.35E-02,1.83E-01,0.07791,7.45E-02,0.3808,2.32E+00,0.9767
-6.43E-02,1.90E-01,0.07861,7.33E-02,0.3755,2.38E+00,0.9747
-5.51E-02,1.97E-01,0.08,6.87E-02,0.3728,2.43E+00,0.9706
-4.60E-02,2.04E-01,0.08106,6.01E-02,0.3755,2.47E+00,0.967
-3.68E-02,2.12E-01,0.08118,4.67E-02,0.3808,2.51E+00,0.9597
-2.76E-02,2.19E-01,0.08155,3.03E-02,0.3847,2.55E+00,0.9524
-1.84E-02,2.25E-01,0.08295,7.70E-03,0.3873,2.58E+00,0.9576
-9.19E-03,2.30E-01,0.08444,-1.51E-02,0.3847,2.60E+00,0.9737
0.00E+00,2.37E-01,0.08672,-3.74E-02,0.3834,2.62E+00,0.9783
9.19E-03,2.41E-01,0.08905,-6.05E-02,0.3768,2.64E+00,0.9783
1.84E-02,2.43E-01,0.09044,-8.19E-02,0.3715,2.65E+00,0.9711
2.76E-02,2.44E-01,0.09116,-1.02E-01,0.3661,2.65E+00,0.9633
3.68E-02,2.42E-01,0.09055,-1.18E-01,0.3536,2.65E+00,0.9586
4.60E-02,2.38E-01,0.08978,-1.35E-01,0.345,2.65E+00,0.946
5.51E-02,2.32E-01,0.08961,-1.52E-01,0.3479,2.63E+00,0.9317
6.43E-02,2.24E-01,0.08978,-1.63E-01,0.3507,2.60E+00,0.9247
7.35E-02,2.15E-01,0.09061,-1.72E-01,0.3507,2.55E+00,0.9214
8.27E-02,2.06E-01,0.09099,-1.75E-01,0.3493,2.49E+00,0.9192
9.19E-02,1.95E-01,0.09066,-1.85E-01,0.3464,2.43E+00,0.9116
1.01E-01,1.83E-01,0.08944,-1.92E-01,0.3435,2.36E+00,0.9017
1.10E-01,1.71E-01,0.08832,-1.98E-01,0.3435,2.28E+00,0.8832
1.19E-01,1.60E-01,0.08695,-2.05E-01,0.3493,2.20E+00,0.8602
1.29E-01,1.51E-01,0.08626,-2.11E-01,0.3536,2.13E+00,0.839
1.38E-01,1.42E-01,0.08538,-2.16E-01,0.3578,2.06E+00,0.8136
1.47E-01,1.33E-01,0.08283,-2.21E-01,0.3633,2.00E+00,0.7836
1.56E-01,1.23E-01,0.07899,-2.23E-01,0.3661,1.93E+00,0.7523
1.65E-01,1.16E-01,0.07629,-2.26E-01,0.3688,1.86E+00,0.7259
1.75E-01,1.10E-01,0.07457,-2.34E-01,0.3715,1.79E+00,0.7043
1.84E-01,1.04E-01,0.07321,-2.42E-01,0.3795,1.71E+00,0.6797
1.93E-01,9.80E-02,0.07176,-2.45E-01,0.3899,1.64E+00,0.658
2.02E-01,9.20E-02,0.06979,-2.45E-01,0.395,1.57E+00,0.645
2.11E-01,8.73E-02,0.06797,-2.43E-01,0.4,1.50E+00,0.6277
2.21E-01,8.30E-02,0.06588,-2.42E-01,0.4,1.42E+00,0.6042
2.30E-01,7.85E-02,0.06364,-2.41E-01,0.3987,1.33E+00,0.5848
2.39E-01,7.38E-02,0.06148,-2.38E-01,0.3975,1.25E+00,0.5648
2.48E-01,6.99E-02,0.06008,-2.32E-01,0.3987,1.16E+00,0.545
2.57E-01,6.65E-02,0.05865,-2.23E-01,0.4,1.09E+00,0.5282
2.67E-01,6.34E-02,0.05718,-2.13E-01,0.4025,1.02E+00,0.5187
2.76E-01,6.04E-02,0.0555,-2.05E-01,0.405,9.57E-01,0.5089
2.85E-01,5.78E-02,0.05385,-1.97E-01,0.4062,8.98E-01,0.501
2.94E-01,5.58E-02,0.05263,-1.89E-01,0.405,8.40E-01,0.4889
3.03E-01,5.35E-02,0.05079,-1.83E-01,0.4025,7.81E-01,0.4743
3.12E-01,5.01E-02,0.04827,-1.79E-01,0.3975,7.25E-01,0.4583
3.22E-01,4.65E-02,0.04626,-1.77E-01,0.3899,6.61E-01,0.4438
3.31E-01,4.32E-02,0.04461,-1.75E-01,0.3808,5.96E-01,0.4324
3.40E-01,4.03E-02,0.04243,-1.77E-01,0.3715,5.37E-01,0.4159
3.49E-01,3.77E-02,0.03975,-1.79E-01,0.3633,4.81E-01,0.4
3.58E-01,3.53E-02,0.03688,-1.81E-01,0.3507,4.29E-01,0.3821
3.68E-01,3.31E-02,0.03391,-1.79E-01,0.3376,3.82E-01,0.3647
3.77E-01,3.08E-02,0.03045,-1.75E-01,0.3256,3.37E-01,0.3536
3.86E-01,2.86E-02,0.02685,-1.72E-01,0.3143,2.92E-01,0.3435
3.95E-01,2.67E-02,0.02366,-1.69E-01,0.3035,2.43E-01,0.3317
4.04E-01,2.51E-02,0.02102,-1.66E-01,0.2946,2.02E-01,0.3142
4.14E-01,2.38E-02,0.01868,-1.65E-01,0.2855,1.72E-01,0.301
4.23E-01,2.27E-02,0.0164,-1.65E-01,0.2755,1.46E-01,0.2902
4.32E-01,2.17E-02,0.01456,-1.63E-01,0.2627,1.20E-01,0.276
4.41E-01,2.09E-02,0.01308,-1.61E-01,0.2496,9.96E-02,0.2612
4.50E-01,2.02E-02,0.01192,-1.61E-01,0.2375,7.55E-02,0.24
4.60E-01,1.97E-02,0.01082,-1.61E-01,0.2272,5.55E-02,0.2261
4.69E-01,1.93E-02,0.00983,-1.61E-01,0.2195,3.99E-02,0.2175
4.78E-01,1.90E-02,0.00881,-1.61E-01,0.2107,2.99E-02,0.209
4.87E-01,1.87E-02,0.00777,-1.61E-01,0.2017,2.32E-02,0.199
4.96E-01,1.84E-02,0.00663,-1.60E-01,0.1931,1.54E-02,0.1868
5.06E-01,1.82E-02,0.00573,-1.59E-01,0.1852,1.09E-02,0.1838
5.15E-01,1.81E-02,0.00507,-1.58E-01,0.1817,1.12E-02,0.1819
5.24E-01,1.80E-02,0.0047,-1.58E-01,0.1778,1.40E-02,0.1817
