x (m),Y He,Y He rms,U (m/s),U rms (m/s),W (m/s),W rms (m/s),TKE (m2/s2)
-2.57E-01,7.82E-02,0.0557,3.81E-01,0.3421,7.96E-01,0.5187,2.52E-01
-2.48E-01,8.68E-02,0.0591,3.95E-01,0.3435,8.86E-01,0.5431,2.66E-01
-2.39E-01,9.52E-02,0.0629,4.08E-01,0.3406,9.71E-01,0.5612,2.74E-01
-2.30E-01,1.04E-01,0.0661,4.15E-01,0.3435,1.05E+00,0.5805,2.86E-01
-2.21E-01,1.12E-01,0.0688,4.16E-01,0.3376,1.12E+00,0.5941,2.90E-01
-2.11E-01,1.20E-01,0.0705,4.17E-01,0.3391,1.17E+00,0.6025,2.96E-01
-2.02E-01,1.29E-01,0.073,4.20E-01,0.3376,1.22E+00,0.6107,3.01E-01
-1.93E-01,1.40E-01,0.076,4.20E-01,0.3391,1.27E+00,0.6205,3.08E-01
-1.84E-01,1.50E-01,0.0784,4.19E-01,0.345,1.30E+00,0.6245,3.14E-01
-1.75E-01,1.59E-01,0.0808,4.17E-01,0.3406,1.33E+00,0.6317,3.15E-01
-1.65E-01,1.70E-01,0.0825,4.07E-01,0.3347,1.35E+00,0.6356,3.14E-01
-1.56E-01,1.79E-01,0.0812,3.99E-01,0.3332,1.38E+00,0.6372,3.14E-01
-1.47E-01,1.89E-01,0.0796,3.92E-01,0.3332,1.40E+00,0.6325,3.12E-01
-1.38E-01,2.00E-01,0.0805,3.86E-01,0.3317,1.43E+00,0.6309,3.09E-01
-1.29E-01,2.13E-01,0.0846,3.73E-01,0.3332,1.44E+00,0.6364,3.13E-01
-1.19E-01,2.27E-01,0.0896,3.57E-01,0.3286,1.44E+00,0.6348,3.10E-01
-1.10E-01,2.40E-01,0.0918,3.37E-01,0.3286,1.45E+00,0.6395,3.12E-01
-1.01E-01,2.51E-01,0.0924,3.10E-01,0.3271,1.45E+00,0.6427,3.14E-01
-9.19E-02,2.62E-01,0.0932,2.85E-01,0.3271,1.45E+00,0.6504,3.18E-01
-8.27E-02,2.73E-01,0.0941,2.64E-01,0.324,1.45E+00,0.6595,3.22E-01
-7.35E-02,2.83E-01,0.0954,2.44E-01,0.3209,1.44E+00,0.6678,3.26E-01
-6.43E-02,2.95E-01,0.0972,2.24E-01,0.3162,1.44E+00,0.6626,3.19E-01
-5.51E-02,3.11E-01,0.0994,2.01E-01,0.3178,1.44E+00,0.6496,3.12E-01
-4.60E-02,3.28E-01,0.101,1.77E-01,0.3178,1.45E+00,0.6434,3.08E-01
-3.68E-02,3.44E-01,0.102,1.52E-01,0.3148,1.47E+00,0.6387,3.03E-01
-2.76E-02,3.63E-01,0.1044,1.24E-01,0.3124,1.49E+00,0.6285,2.95E-01
-1.84E-02,3.82E-01,0.1077,8.69E-02,0.3151,1.50E+00,0.6229,2.93E-01
-9.19E-03,3.97E-01,0.11,4.04E-02,0.3194,1.52E+00,0.6245,2.97E-01
0.00E+00,4.03E-01,0.1091,-1.00E-02,0.3178,1.53E+00,0.6348,3.03E-01
9.19E-03,4.04E-01,0.1077,-5.86E-02,0.3194,1.53E+00,0.6317,2.98E-01
1.84E-02,4.07E-01,0.1082,-1.09E-01,0.3151,1.53E+00,0.6317,3.00E-01
2.76E-02,4.11E-01,0.1105,-1.60E-01,0.3124,1.53E+00,0.6293,2.99E-01
3.68E-02,4.13E-01,0.1127,-2.07E-01,0.3148,1.52E+00,0.6285,2.97E-01
4.60E-02,4.12E-01,0.1131,-2.45E-01,0.3178,1.52E+00,0.6317,2.99E-01
5.51E-02,4.06E-01,0.1149,-2.81E-01,0.3178,1.51E+00,0.6356,3.00E-01
6.43E-02,3.98E-01,0.1179,-3.13E-01,0.3162,1.50E+00,0.6403,3.02E-01
7.35E-02,3.85E-01,0.1192,-3.43E-01,0.3209,1.49E+00,0.6465,3.06E-01
8.27E-02,3.75E-01,0.1192,-3.68E-01,0.324,1.48E+00,0.6442,3.02E-01
9.19E-02,3.60E-01,0.1192,-3.90E-01,0.3271,1.47E+00,0.6395,2.94E-01
1.01E-01,3.38E-01,0.1196,-4.07E-01,0.3271,1.45E+00,0.6411,2.93E-01
1.10E-01,3.18E-01,0.1187,-4.23E-01,0.3286,1.41E+00,0.6442,2.95E-01
1.19E-01,3.04E-01,0.1192,-4.37E-01,0.3286,1.38E+00,0.6519,3.02E-01
1.29E-01,2.91E-01,0.1208,-4.55E-01,0.3332,1.36E+00,0.6473,3.03E-01
1.38E-01,2.76E-01,0.12,-4.72E-01,0.3317,1.35E+00,0.6372,2.98E-01
1.47E-01,2.59E-01,0.1162,-4.86E-01,0.3332,1.35E+00,0.6221,2.88E-01
1.56E-01,2.42E-01,0.114,-5.07E-01,0.3332,1.35E+00,0.614,2.81E-01
1.65E-01,2.25E-01,0.1114,-5.25E-01,0.3347,1.33E+00,0.6066,2.76E-01
1.75E-01,2.09E-01,0.1077,-5.35E-01,0.3406,1.30E+00,0.6033,2.73E-01
1.84E-01,1.94E-01,0.1058,-5.41E-01,0.345,1.27E+00,0.6,2.71E-01
1.93E-01,1.81E-01,0.1044,-5.40E-01,0.3391,1.24E+00,0.6025,2.72E-01
2.02E-01,1.69E-01,0.1025,-5.38E-01,0.3376,1.20E+00,0.5992,2.70E-01
2.11E-01,1.56E-01,0.0996,-5.36E-01,0.3391,1.15E+00,0.5891,2.65E-01
2.21E-01,1.44E-01,0.0969,-5.30E-01,0.3376,1.10E+00,0.5788,2.58E-01
2.30E-01,1.34E-01,0.0954,-5.27E-01,0.3435,1.05E+00,0.563,2.49E-01
2.39E-01,1.24E-01,0.0944,-5.17E-01,0.3406,9.91E-01,0.5459,2.43E-01
2.48E-01,1.16E-01,0.092,-5.04E-01,0.3435,9.42E-01,0.531,2.37E-01
2.57E-01,1.08E-01,0.0879,-4.87E-01,0.3421,8.92E-01,0.5128,2.29E-01
2.67E-01,1.01E-01,0.0858,-4.69E-01,0.3464,8.38E-01,0.496,2.23E-01
2.76E-01,9.53E-02,0.0849,-4.48E-01,0.3507,7.81E-01,0.4764,2.19E-01
2.85E-01,8.89E-02,0.0815,-4.31E-01,0.3521,7.22E-01,0.4583,2.15E-01
2.94E-01,8.32E-02,0.0775,-4.16E-01,0.3536,6.60E-01,0.4416,2.12E-01
3.03E-01,7.83E-02,0.074,-4.02E-01,0.3536,5.90E-01,0.4231,2.04E-01
3.12E-01,7.36E-02,0.0713,-3.85E-01,0.3507,5.21E-01,0.4123,1.99E-01
3.22E-01,6.82E-02,0.0672,-3.65E-01,0.3479,4.53E-01,0.4012,1.97E-01
3.31E-01,6.23E-02,0.0626,-3.43E-01,0.3435,3.87E-01,0.3912,1.95E-01
3.40E-01,5.70E-02,0.0581,-3.19E-01,0.3391,3.27E-01,0.3808,1.91E-01
3.49E-01,5.26E-02,0.0533,-3.01E-01,0.3302,2.72E-01,0.3715,1.87E-01
3.58E-01,4.88E-02,0.048,-2.86E-01,0.324,2.25E-01,0.3564,1.78E-01
3.68E-01,4.51E-02,0.0423,-2.73E-01,0.3142,1.82E-01,0.3362,1.65E-01
3.77E-01,4.15E-02,0.037,-2.61E-01,0.303,1.40E-01,0.3156,1.52E-01
3.86E-01,3.83E-02,0.0326,-2.49E-01,0.2946,1.05E-01,0.3007,1.40E-01
3.95E-01,3.55E-02,0.0286,-2.37E-01,0.2872,7.22E-02,0.2832,1.30E-01
4.04E-01,3.29E-02,0.0252,-2.28E-01,0.2775,4.17E-02,0.2722,1.24E-01
4.14E-01,3.05E-02,0.0218,-2.19E-01,0.2634,1.84E-02,0.2636,1.17E-01
4.23E-01,2.87E-02,0.0192,-2.13E-01,0.2496,8.86E-04,0.2544,1.08E-01
4.32E-01,2.73E-02,0.0166,-2.05E-01,0.2339,-1.36E-02,0.2408,9.90E-02
4.41E-01,2.61E-02,0.0136,-1.97E-01,0.2184,-2.99E-02,0.2311,9.10E-02
4.50E-01,2.50E-02,0.011,-1.86E-01,0.2052,-4.66E-02,0.2205,8.23E-02
4.60E-01,2.41E-02,0.009,-1.74E-01,0.197,-6.21E-02,0.2105,7.42E-02
4.69E-01,2.36E-02,0.0076,-1.63E-01,0.1884,-7.27E-02,0.2066,6.96E-02
4.78E-01,2.32E-02,0.0067,-1.55E-01,0.178,-7.68E-02,0.2076,6.80E-02
4.87E-01,2.30E-02,0.0062,-1.47E-01,0.1709,-7.70E-02,0.2035,6.38E-02
4.96E-01,2.27E-02,0.0055,-1.41E-01,0.1673,-7.68E-02,0.2045,6.15E-02
5.06E-01,2.24E-02,0.0049,-1.38E-01,0.1631,-8.26E-02,0.2095,6.18E-02
5.15E-01,2.22E-02,0.0045,-1.34E-01,0.1568,-8.58E-02,0.2179,6.20E-02
5.24E-01,2.21E-02,0.0043,-1.28E-01,0.1517,-8.53E-02,0.2205,6.27E-02
