x (m),Y He,Y He rms, U (m/s),U rms (m/s),W (m/s),W rms (m/s),TKE (m2/s2)
2.30E-01,4.90E-02,0.03435,-1.27E-01,0.4243,1.54E+00,0.6419,3.86E-01
2.39E-01,4.73E-02,0.03332,-1.25E-01,0.4219,1.45E+00,0.6253,3.73E-01
2.48E-01,4.55E-02,0.0314,-1.24E-01,0.4195,1.37E+00,0.605,3.59E-01
2.57E-01,4.37E-02,0.02972,-1.25E-01,0.4123,1.29E+00,0.5797,3.38E-01
2.67E-01,4.18E-02,0.02843,-1.28E-01,0.4062,1.21E+00,0.5468,3.15E-01
2.76E-01,4.00E-02,0.02737,-1.30E-01,0.4012,1.14E+00,0.5177,2.96E-01
2.85E-01,3.86E-02,0.02634,-1.32E-01,0.3975,1.07E+00,0.497,2.81E-01
2.94E-01,3.74E-02,0.02532,-1.32E-01,0.3962,1.00E+00,0.4837,2.74E-01
3.03E-01,3.61E-02,0.02364,-1.32E-01,0.3912,9.37E-01,0.4712,2.64E-01
3.12E-01,3.47E-02,0.02184,-1.29E-01,0.3847,8.67E-01,0.4626,2.55E-01
3.22E-01,3.35E-02,0.02078,-1.25E-01,0.3795,8.00E-01,0.4593,2.50E-01
3.31E-01,3.24E-02,0.02027,-1.27E-01,0.3728,7.41E-01,0.4528,2.42E-01
3.40E-01,3.16E-02,0.02005,-1.27E-01,0.3674,6.91E-01,0.4472,2.35E-01
3.49E-01,3.10E-02,0.01997,-1.27E-01,0.3592,6.45E-01,0.4405,2.26E-01
3.58E-01,3.05E-02,0.01944,-1.30E-01,0.3507,5.98E-01,0.437,2.19E-01
3.68E-01,3.00E-02,0.01884,-1.33E-01,0.3421,5.48E-01,0.4324,2.11E-01
3.77E-01,2.95E-02,0.01825,-1.37E-01,0.3332,4.93E-01,0.4207,1.99E-01
3.86E-01,2.89E-02,0.01766,-1.40E-01,0.324,4.43E-01,0.4037,1.87E-01
3.95E-01,2.83E-02,0.01676,-1.40E-01,0.3162,4.01E-01,0.3873,1.75E-01
4.04E-01,2.78E-02,0.01572,-1.41E-01,0.3119,3.65E-01,0.3715,1.66E-01
4.14E-01,2.74E-02,0.01493,-1.42E-01,0.3082,3.31E-01,0.3521,1.57E-01
4.23E-01,2.70E-02,0.01414,-1.44E-01,0.303,2.98E-01,0.3286,1.46E-01
4.32E-01,2.66E-02,0.01292,-1.45E-01,0.2926,2.69E-01,0.3081,1.33E-01
4.41E-01,2.61E-02,0.01153,-1.44E-01,0.2802,2.39E-01,0.2865,1.20E-01
4.50E-01,2.56E-02,0.01025,-1.42E-01,0.2661,2.13E-01,0.2672,1.07E-01
4.60E-01,2.52E-02,0.00909,-1.39E-01,0.2518,1.91E-01,0.2555,9.61E-02
4.69E-01,2.49E-02,0.00779,-1.39E-01,0.2377,1.71E-01,0.2421,8.58E-02
4.78E-01,2.46E-02,0.00678,-1.42E-01,0.2243,1.53E-01,0.2238,7.54E-02
4.87E-01,2.44E-02,0.00637,-1.45E-01,0.2126,1.38E-01,0.2095,6.72E-02
4.96E-01,2.43E-02,0.00621,-1.47E-01,0.2027,1.25E-01,0.2022,6.16E-02
5.06E-01,2.43E-02,0.00616,-1.49E-01,0.1931,1.16E-01,0.1975,5.69E-02
5.15E-01,2.44E-02,0.00616,-1.52E-01,0.186,1.12E-01,0.1881,5.23E-02
5.24E-01,2.44E-02,0.0062,-1.55E-01,0.1825,1.10E-01,0.178,4.92E-02
