XO2,Chi_R,q_R,Q_f,Q_O2,Q_CO2,eta,S_XO2,S_ChiR,S_qR,S_Qf,S_QO2,S_QCO2,S_eta
0.196672,0.303981,1.199219,49.164990,48.790155,48.814251,0.992866,0.001250,0.013554,0.036217,1.187292,2.049993,1.288693,0.028629
0.196275,0.305937,1.206933,49.086700,46.733824,46.596569,0.949271,0.001250,0.013592,0.037036,1.191557,2.044737,1.204667,0.027066
0.194713,0.289165,1.140765,49.103312,48.290771,48.354865,0.984758,0.001250,0.012894,0.034452,1.186706,2.247533,1.280922,0.028491
0.194381,0.289078,1.140423,49.075026,46.788066,46.973294,0.957173,0.001250,0.012843,0.034995,1.191447,2.250998,1.217753,0.027350
0.193370,0.300175,1.184202,49.170353,48.164126,48.450670,0.985363,0.001250,0.013385,0.035764,1.187343,2.389783,1.286310,0.028546
0.192932,0.295349,1.165163,49.063348,47.568458,47.251301,0.963067,0.001250,0.013121,0.035754,1.191337,2.421746,1.227512,0.027564
0.191636,0.294646,1.162392,49.104783,47.239727,46.974971,0.956627,0.001250,0.013090,0.035669,1.191728,2.564068,1.224085,0.027435
0.191538,0.286636,1.130789,49.120094,48.195859,48.991039,0.997373,0.001250,0.012781,0.034151,1.186866,2.597716,1.305976,0.029008
0.190425,0.281735,1.111455,49.052448,47.002403,47.243394,0.963120,0.001250,0.012517,0.034106,1.191234,2.698902,1.235034,0.027703
0.189946,0.273403,1.078585,49.139386,47.656151,48.588210,0.988783,0.001250,0.012191,0.032574,1.187049,2.777145,1.301007,0.028862
0.189035,0.281412,1.110182,49.070181,47.738724,47.474541,0.967482,0.001250,0.012502,0.034067,1.191401,2.884880,1.245509,0.027902
0.188471,0.285131,1.124854,49.128487,48.824975,49.025830,0.997910,0.001250,0.012714,0.033971,1.186945,2.971884,1.317355,0.029218
0.187283,0.287715,1.135049,49.057032,47.058033,46.893363,0.955895,0.001250,0.012782,0.034830,1.191277,3.082163,1.238442,0.027716
0.186771,0.277295,1.093940,49.148037,47.399245,47.985802,0.976352,0.001250,0.012364,0.033038,1.187131,3.160869,1.299408,0.028770
0.185519,0.283897,1.119985,49.155304,48.640867,49.215977,1.001234,0.001250,0.012659,0.033824,1.187200,3.322469,1.336331,0.029571
0.185469,0.277170,1.093448,49.041290,47.080059,47.258806,0.963653,0.001250,0.012314,0.033553,1.191128,3.305848,1.256379,0.028093
0.184520,0.273826,1.080256,49.166118,47.327252,48.612919,0.988748,0.001250,0.012210,0.032624,1.187303,3.431512,1.327050,0.029331
0.183594,0.273839,1.080305,48.991898,47.259214,47.662166,0.972858,0.001250,0.012166,0.033150,1.190663,3.545488,1.276610,0.028544
0.183330,0.276129,1.089339,49.172693,47.747614,48.096939,0.978123,0.001250,0.012312,0.032899,1.187365,3.586269,1.320309,0.029153
0.181845,0.275714,1.087702,49.030648,48.049766,47.522275,0.969236,0.001250,0.012249,0.033377,1.191028,3.774717,1.281949,0.028592
0.181037,0.266251,1.050372,49.170699,50.537614,49.298988,1.002609,0.001250,0.011872,0.031722,1.187346,3.904407,1.362062,0.030049
0.180208,0.274753,1.083911,49.019833,46.316185,46.476848,0.948123,0.001250,0.012206,0.033261,1.190926,3.957195,1.268724,0.028244
0.178391,0.247267,0.975476,49.160841,46.803068,47.806457,0.972450,0.001250,0.011025,0.029460,1.187253,4.201673,1.346652,0.029634
0.178135,0.263332,1.038855,49.024942,47.788057,48.468619,0.988652,0.001250,0.011699,0.031878,1.190974,4.240063,1.329750,0.029573
0.177089,0.258631,1.020309,49.017504,46.317415,47.499612,0.969034,0.001250,0.011490,0.031309,1.190904,4.357707,1.315827,0.029219
0.176849,0.255355,1.007386,49.168542,49.306674,48.575131,0.987931,0.001250,0.011386,0.030424,1.187326,4.431839,1.374309,0.030217
0.175670,0.266675,1.052042,49.007294,46.401563,47.449446,0.968212,0.001250,0.011847,0.032283,1.190808,4.531501,1.324768,0.029387
0.174914,0.246783,0.973568,49.161361,48.028739,48.715863,0.990938,0.001250,0.011004,0.029402,1.187258,4.661117,1.394264,0.030613
0.174719,0.251644,0.992745,48.960752,46.597995,47.529054,0.970758,0.001250,0.011180,0.030463,1.190369,4.667943,1.334841,0.029619
0.173782,0.260057,1.025935,48.964905,47.029384,47.895334,0.978156,0.001250,0.011553,0.031482,1.190408,4.807807,1.351693,0.029966
0.173415,0.266574,1.051645,49.168889,48.416382,49.035134,0.997280,0.001250,0.011886,0.031760,1.187329,4.869361,1.414592,0.031019
0.172202,0.260280,1.026814,49.014473,47.416552,47.183073,0.962636,0.001250,0.011563,0.031508,1.190875,5.002430,1.347118,0.029765
0.171709,0.254675,1.004703,49.213092,47.097112,49.023255,0.996143,0.001250,0.011356,0.030343,1.187749,5.069594,1.430255,0.031278
0.169635,0.245047,0.966720,49.006343,46.504662,46.805487,0.955090,0.001250,0.010887,0.029664,1.190799,5.342173,1.364480,0.030055
0.169405,0.244930,0.966257,49.170012,47.910516,48.832036,0.993126,0.001250,0.010921,0.029182,1.187340,5.389917,1.445960,0.031596
0.167778,0.233162,0.919835,49.005306,47.149578,47.570251,0.970716,0.001250,0.010359,0.028226,1.190789,5.586960,1.398520,0.030766
0.167264,0.227824,0.898776,49.210061,45.654312,48.557591,0.986741,0.001250,0.010159,0.027144,1.187720,5.643811,1.463201,0.031866
0.166420,0.229999,0.907355,49.028917,47.128543,48.108131,0.981220,0.001250,0.010218,0.027843,1.191012,5.773538,1.425283,0.031297
0.165839,0.232045,0.915427,49.168886,46.228286,48.826052,0.993027,0.001250,0.010347,0.027646,1.187329,5.831316,1.482300,0.032288
0.165440,0.225164,0.888281,49.045184,46.105415,47.435218,0.967174,0.001250,0.010003,0.027258,1.191165,5.880154,1.420332,0.031125
0.164942,0.220540,0.870039,49.181860,47.980701,49.488192,1.006229,0.001250,0.009834,0.026276,1.187452,5.966090,1.504105,0.032746
0.164571,0.215711,0.850990,49.058763,47.321179,47.420178,0.966600,0.001250,0.009583,0.026113,1.191293,6.005938,1.426977,0.031236
0.163929,0.218741,0.862940,49.200978,48.793902,49.014713,0.996214,0.001250,0.009754,0.026061,1.187634,6.112078,1.502294,0.032655
0.163154,0.233896,0.922729,49.084284,47.290370,47.763218,0.973086,0.001250,0.010391,0.028315,1.191534,6.211561,1.451842,0.031713
0.162576,0.229913,0.907016,49.118364,48.859275,48.739624,0.992289,0.001250,0.010252,0.027392,1.186849,6.282236,1.509167,0.032837
0.161885,0.213695,0.843033,49.024853,47.835778,47.494556,0.968785,0.001250,0.009494,0.025869,1.190973,6.372595,1.457654,0.031849
0.160632,0.207491,0.818562,49.137484,47.972911,48.428444,0.985570,0.001250,0.009252,0.024721,1.187031,6.534179,1.525340,0.033105
0.160233,0.214433,0.845945,49.049769,47.880218,47.339977,0.965142,0.001250,0.009527,0.025958,1.191208,6.595396,1.472701,0.032096
0.159316,0.213949,0.844037,49.184540,48.276624,49.709854,1.010680,0.001250,0.009540,0.025490,1.187478,6.720383,1.569429,0.034010
0.158916,0.213470,0.842149,49.024507,49.610232,48.881132,0.997075,0.001250,0.009484,0.025842,1.190970,6.793058,1.519070,0.033134
0.157847,0.207605,0.819008,49.197085,48.257621,49.011539,0.996229,0.001250,0.009257,0.024735,1.187597,6.928110,1.571530,0.033982
0.157554,0.202907,0.800477,49.023299,44.084193,47.415253,0.967198,0.001250,0.009014,0.024563,1.190959,6.936315,1.515544,0.032935
0.156189,0.192521,0.759503,49.065334,47.572866,48.250485,0.983393,0.001250,0.008553,0.023306,1.191355,7.148938,1.543000,0.033491
0.155940,0.200792,0.792132,49.185408,45.261167,48.544753,0.986975,0.001250,0.008953,0.023923,1.187486,7.150093,1.589335,0.034299
0.155304,0.193056,0.761612,49.019317,48.050609,47.885680,0.976874,0.001250,0.008577,0.023371,1.190921,7.242612,1.541731,0.033476
0.154249,0.194350,0.766717,49.134629,48.415437,48.817182,0.993539,0.001250,0.008666,0.023155,1.187004,7.407303,1.609716,0.034758
0.153985,0.194350,0.766717,48.973381,46.682849,47.855667,0.977177,0.001250,0.008634,0.023527,1.190488,7.425707,1.562724,0.033913
0.152956,0.183933,0.725621,49.146219,46.887209,49.061400,0.998274,0.001250,0.008201,0.021914,1.187114,7.556554,1.633249,0.035219
0.152573,0.187790,0.740839,48.932291,48.609542,47.979690,0.980532,0.001250,0.008343,0.022733,1.190101,7.654858,1.581253,0.034314
0.152050,0.191594,0.755847,49.168367,47.604731,49.079670,0.998196,0.001250,0.008543,0.022827,1.187324,7.715657,1.646765,0.035459
0.151258,0.185936,0.733525,49.145182,47.986294,49.106547,0.999214,0.001250,0.008291,0.022153,1.187104,7.810351,1.655202,0.035646
0.151153,0.185936,0.733525,48.963436,46.402138,48.475947,0.990044,0.001250,0.008261,0.022509,1.190394,7.828066,1.614771,0.034967
0.150015,0.183376,0.723427,49.164471,50.140489,48.593921,0.988395,0.001250,0.008177,0.021848,1.187287,8.019574,1.657722,0.035637
0.149840,0.183110,0.722377,48.991376,45.604212,48.272596,0.985328,0.001250,0.008135,0.022167,1.190658,7.984448,1.628332,0.035183
0.148455,0.177951,0.702025,49.003226,48.868707,48.064482,0.980843,0.001250,0.007906,0.021542,1.190769,8.216902,1.637447,0.035329
0.148025,0.175896,0.693918,49.149941,47.379158,48.650088,0.989830,0.001250,0.007843,0.020957,1.187149,8.258132,1.690958,0.036297
0.146868,0.170971,0.674485,48.990769,47.020355,48.151887,0.982877,0.001250,0.007596,0.020697,1.190652,8.405371,1.663739,0.035851
0.146723,0.182477,0.719879,49.180219,49.278184,49.299318,1.002422,0.001250,0.008137,0.021741,1.187437,8.465009,1.718840,0.036855
0.145533,0.172792,0.681670,49.005046,49.600665,48.633579,0.992420,0.001250,0.007677,0.020918,1.190787,8.620861,1.687068,0.036323
0.145311,0.172792,0.681670,49.142242,44.755415,48.576496,0.988488,0.001250,0.007705,0.020587,1.187076,8.626633,1.734544,0.037142
0.143590,0.160884,0.634694,49.040081,47.116305,48.231136,0.983504,0.001250,0.007148,0.019476,1.191117,8.854244,1.711494,0.036726
0.143572,0.160884,0.634694,49.148554,49.265034,48.487734,0.986555,0.001250,0.007174,0.019168,1.187136,8.886371,1.744881,0.037331
0.141751,0.159614,0.629682,49.038000,46.436709,47.727696,0.973280,0.001250,0.007091,0.019322,1.191097,9.101512,1.730190,0.037048
0.140875,0.154238,0.608477,49.149421,47.365893,48.658244,0.990006,0.001250,0.006877,0.018376,1.187144,9.226735,1.789713,0.038212
0.140609,0.150121,0.592233,48.972258,47.954920,47.694859,0.973916,0.001250,0.006669,0.018173,1.190477,9.288859,1.745279,0.037398
0.140352,0.148086,0.584203,49.145614,46.299469,48.638546,0.989682,0.001250,0.006603,0.017643,1.187108,9.314420,1.802526,0.038463
0.139960,0.146090,0.576332,49.146046,50.354448,49.519522,1.007599,0.001250,0.006514,0.017406,1.187112,9.389342,1.814676,0.038762
0.139165,0.146858,0.579359,48.923985,48.043990,48.242612,0.986073,0.001250,0.006524,0.017778,1.190023,9.498384,1.777646,0.038112
0.138226,0.139679,0.551039,49.124937,47.329781,49.080528,0.999096,0.001250,0.006228,0.016642,1.186912,9.640654,1.842533,0.039293
0.137989,0.144860,0.571477,48.962483,47.419454,48.035990,0.981078,0.001250,0.006436,0.017536,1.190385,9.628928,1.790135,0.038300
0.137298,0.139331,0.549668,49.021653,43.253900,47.643006,0.971877,0.001250,0.006190,0.016867,1.190943,9.725173,1.807744,0.038555
0.136671,0.138713,0.547228,49.123121,50.132304,48.799148,0.993405,0.001250,0.006185,0.016527,1.186894,9.864389,1.851892,0.039457
0.136547,0.139656,0.550947,49.059456,46.234081,47.981330,0.978024,0.001250,0.006204,0.016906,1.191300,9.847749,1.817624,0.038735
0.135822,0.138507,0.546415,49.125367,46.478774,48.414665,0.985533,0.001250,0.006176,0.016502,1.186916,9.980620,1.869705,0.039776
0.135329,0.141723,0.559102,49.031946,47.094023,47.649641,0.971808,0.001250,0.006296,0.017156,1.191040,10.023754,1.828187,0.038942
0.135297,0.141723,0.559102,49.122432,46.072113,48.224977,0.981730,0.001250,0.006319,0.016885,1.186888,10.025628,1.872221,0.039815
0.134984,0.129000,0.508912,49.139733,48.132672,48.672588,0.990494,0.001250,0.005752,0.015369,1.187052,10.094590,1.881441,0.040009
0.134400,0.128438,0.506693,49.156515,48.058027,48.013019,0.976738,0.001250,0.005727,0.015302,1.187212,10.175890,1.878059,0.039883
0.134214,0.122688,0.484009,48.994406,44.835619,47.016948,0.959639,0.001250,0.005451,0.014852,1.190686,10.130112,1.836445,0.039093
0.133556,0.125776,0.496191,49.001584,46.765505,48.034580,0.980266,0.001250,0.005588,0.015226,1.190754,10.250721,1.861312,0.039644
0.132989,0.123304,0.486438,49.131257,44.175815,47.590416,0.968638,0.001250,0.005498,0.014691,1.186972,10.348669,1.902906,0.040366
0.132406,0.107156,0.422734,49.171219,49.407228,47.973860,0.975649,0.001250,0.004778,0.012767,1.187351,10.470018,1.905450,0.040401
0.132349,0.107156,0.422734,48.962914,46.408867,46.163002,0.942816,0.001250,0.004761,0.012972,1.190389,10.438708,1.851834,0.039363
0.131613,0.094150,0.371424,49.081168,38.610388,42.035651,0.856452,0.001250,0.004198,0.011217,1.186496,10.488946,1.839091,0.038807
0.131565,0.094150,0.371424,48.964645,41.777962,45.972920,0.938900,0.001250,0.004183,0.011397,1.190406,10.509155,1.872752,0.039756
0.131315,0.108214,0.426908,48.986360,43.785587,45.091131,0.920483,0.001250,0.004808,0.013100,1.190610,10.552016,1.855475,0.039338
0.131043,0.076678,0.302498,49.061013,28.549663,35.487249,0.723329,0.001250,0.003419,0.009136,1.186305,10.524147,1.775534,0.037189
0.130852,0.089552,0.353285,48.985663,39.694038,42.216187,0.861807,0.001250,0.003978,0.010841,1.190604,10.600773,1.828412,0.038619
0.130700,0.079225,0.312547,49.067672,27.649523,32.498036,0.662311,0.001250,0.003533,0.009439,1.186368,10.556220,1.739584,0.036312
0.130600,0.071628,0.282575,49.003921,31.782062,35.502237,0.724477,0.001250,0.003182,0.008671,1.190776,10.566665,1.752043,0.036690
0.130418,0.071628,0.282575,49.022948,31.212916,34.133320,0.696272,0.001250,0.003194,0.008534,1.185944,10.577362,1.751840,0.036679
0.130131,0.033643,0.132724,48.974680,26.757812,35.526038,0.725396,0.001250,0.001495,0.004073,1.190500,10.633974,1.780064,0.037272
0.129605,NaN,NaN,48.984285,37.509104,35.456817,0.723841,0.001250,NaN,NaN,1.190591,10.755507,1.753925,0.036742
0.129215,NaN,NaN,48.982292,35.595017,31.427703,0.641614,0.001250,NaN,NaN,1.190572,10.798322,1.712900,0.035712
0.128884,NaN,NaN,49.032639,32.692523,34.514837,0.703916,0.001250,NaN,NaN,1.191047,10.836771,1.769800,0.036963
0.128296,NaN,NaN,48.982723,42.159419,34.778656,0.710019,0.001250,NaN,NaN,1.190576,11.005763,1.759136,0.036810
0.127142,NaN,NaN,49.004612,17.270751,24.190653,0.493640,0.001250,NaN,NaN,1.190782,10.977654,1.727645,0.035667
0.126158,NaN,NaN,49.012567,26.533904,21.935545,0.447549,0.001250,NaN,NaN,1.190857,11.219842,1.703430,0.035092
0.125348,NaN,NaN,48.435465,12.376164,17.719366,0.365835,0.001250,NaN,NaN,1.185434,11.225342,1.726735,0.035871
